            EDP         lambda
           0.05       0.106737
      0.0511766       0.103038
      0.0523808      0.0986402
      0.0536134      0.0952175
      0.0548749      0.0918931
      0.0561662      0.0886885
      0.0574878      0.0856047
      0.0588406      0.0826125
      0.0602252      0.0797345
      0.0616423      0.0769571
      0.0630928      0.0742866
      0.0645775      0.0716228
      0.0660971      0.0691513
      0.0676524      0.0667316
      0.0692443      0.0644161
      0.0708737      0.0621515
      0.0725414      0.0599599
      0.0742484       0.057836
      0.0759956       0.055811
      0.0777838      0.0537797
      0.0796141      0.0518088
      0.0814875      0.0499208
       0.083405      0.0481071
      0.0853676      0.0462994
      0.0873764      0.0445806
      0.0894325      0.0429204
      0.0915369      0.0413171
      0.0936909      0.0397719
      0.0958955      0.0382748
       0.098152      0.0368384
       0.100462      0.0354501
       0.102826      0.0340787
       0.105245      0.0328104
       0.107722      0.0315746
       0.110257      0.0303934
       0.112851      0.0292421
       0.115506      0.0281329
       0.118224      0.0270642
       0.121006      0.0260394
       0.123854      0.0250432
       0.126768      0.0240936
       0.129751      0.0231737
       0.132804      0.0222879
       0.135929      0.0214385
       0.139128      0.0206173
       0.142402      0.0198266
       0.145753      0.0190625
       0.149182      0.0183381
       0.152693       0.017631
       0.156286      0.0169487
       0.159963      0.0162898
       0.163727      0.0156531
        0.16758      0.0150466
       0.171523      0.0144572
        0.17556       0.013879
       0.179691      0.0133179
       0.183919      0.0127728
       0.188247      0.0122427
       0.192676      0.0117284
        0.19721      0.0112257
       0.201851      0.0107297
       0.206601      0.0102609
       0.211462     0.00979554
       0.216438     0.00934272
       0.221531     0.00890227
       0.226744     0.00847414
       0.232079      0.0080579
       0.237541     0.00765457
        0.24313     0.00725983
       0.248851     0.00688206
       0.254707     0.00651245
         0.2607     0.00616096
       0.266835     0.00582281
       0.273114     0.00549826
       0.279541     0.00518674
       0.286118      0.0048888
       0.292851     0.00460414
       0.299742     0.00433303
       0.306795     0.00407433
       0.314015     0.00382607
       0.321404     0.00359451
       0.328967      0.0033782
       0.336708     0.00316251
       0.344631     0.00296309
        0.35274     0.00277411
        0.36104     0.00260156
       0.369536      0.0024252
       0.378232     0.00226458
       0.387132     0.00211251
       0.396241     0.00196874
       0.405565      0.0018325
       0.415109     0.00170868
       0.424877     0.00158685
       0.434875     0.00147172
       0.445108     0.00136304
       0.455581      0.0012606
       0.466302     0.00116458
       0.477274     0.00107424
       0.488505    0.000989107
            0.5    0.000909808
       0.511766    0.000836008
       0.523808    0.000767389
       0.536134    0.000699369
       0.548749     0.00064145
       0.561662    0.000588765
       0.574878    0.000544035
       0.588406    0.000500422
       0.602252      0.0004612
       0.616423      0.0004264
       0.630928    0.000395268
       0.645775    0.000367629
       0.660971    0.000343601
       0.676524    0.000322713
       0.692443    0.000304687
       0.708737    0.000289094
       0.725414    0.000275967
       0.742484    0.000264886
       0.759956    0.000255138
       0.777838    0.000246175
       0.796141    0.000239842
       0.814875    0.000235751
        0.83405     0.00023148
       0.853676    0.000228024
       0.873764    0.000225246
       0.894325    0.000223028
       0.915369    0.000221268
       0.936909     0.00021988
       0.958955    0.000218793
        0.98152    0.000217867
        1.00462    0.000217211
        1.02826    0.000216705
        1.05245    0.000216318
        1.07722    0.000216024
        1.10257      0.0002158
        1.12851    0.000215632
        1.15506    0.000215506
        1.18224    0.000215412
        1.21006    0.000215343
        1.23854    0.000215291
        1.26768    0.000215254
        1.29751    0.000215226
        1.32804    0.000215206
        1.35929    0.000215192
        1.39128    0.000215181
        1.42402    0.000215174
        1.45753    0.000215168
        1.49182    0.000215165
        1.52693    0.000215162
        1.56286     0.00021516
        1.59963    0.000215159
        1.63727    0.000215158
         1.6758    0.000215157
        1.71523    0.000215157
         1.7556    0.000215157
        1.79691    0.000215156
        1.83919    0.000215156
        1.88247    0.000215156
        1.92676    0.000215156
         1.9721    0.000215156
        2.01851    0.000215156
        2.06601    0.000215156
        2.11462    0.000215156
        2.16438    0.000215156
        2.21531    0.000215156
        2.26744    0.000215156
        2.32079    0.000215156
        2.37541    0.000215156
         2.4313    0.000215156
        2.48851    0.000215156
        2.54707    0.000215156
          2.607    0.000215156
        2.66835    0.000215156
        2.73114    0.000215156
        2.79541    0.000215156
        2.86118    0.000215156
        2.92851    0.000215156
        2.99742    0.000215156
        3.06795    0.000215156
        3.14015    0.000215156
        3.21404    0.000215156
        3.28967    0.000215156
        3.36708    0.000215156
        3.44631    0.000215156
         3.5274    0.000215156
         3.6104    0.000215156
        3.69536    0.000215156
        3.78232    0.000215156
        3.87132    0.000215156
        3.96241    0.000215156
        4.05565    0.000215156
        4.15109    0.000215156
        4.24877    0.000215156
        4.34875    0.000215156
        4.45108    0.000215156
        4.55581    0.000215156
        4.66302    0.000215156
        4.77274    0.000215156
        4.88505    0.000215156
            5.0    0.000215156
