           IM.1         mean_x        sd_ln_x
           0.01    0.000839014        4.29423
       0.025101      0.0382076        3.76864
       0.040202         0.1881        3.55087
       0.055303       0.527616        3.40254
       0.070404         1.1284        3.28893
      0.0855051        2.06135        3.19602
       0.100606        3.36861        3.11823
       0.115707        4.20524        3.08246
       0.130808        5.14674        3.04951
       0.145909        6.19421        3.01899
        0.16101        7.34808        2.99056
       0.176111        8.60921        2.96396
       0.191212        9.97591          2.939
       0.206313        11.3977        2.91624
       0.221414        12.8499        2.89561
       0.236515        14.4046        2.87582
       0.251616        16.0651        2.85679
       0.266717        17.8246        2.83854
       0.281818        19.6949        2.82091
       0.296919        21.6736        2.80389
        0.31202        22.8479        2.79446
       0.327121        23.8296        2.78693
       0.342222        24.8241        2.77958
       0.357323        25.8377        2.77237
       0.372424        26.8706        2.76529
       0.387525        27.9231        2.75834
       0.402626        29.0194        2.75135
       0.417727        30.2544        2.74377
       0.432828        31.5145        2.73632
       0.447929        32.7994        2.72901
        0.46303        34.1091        2.72182
       0.478131         35.443        2.71477
       0.493232        36.8019        2.70783
       0.508333        37.9297        2.70225
       0.523434        38.8754        2.69769
       0.538535        39.8475        2.69311
       0.553636        40.8465        2.68851
       0.568737        41.8717        2.68389
       0.583838        42.9267        2.67925
       0.598939         44.014        2.67458
        0.61404        43.4222        2.67711
       0.629141        42.7283        2.68012
       0.644242        42.0587        2.68306
       0.659343        41.4097        2.68596
       0.674444        40.7823         2.6888
       0.689545        40.1761        2.69158
       0.704646        39.7842         2.6934
       0.719747        39.8355        2.69316
       0.734848        39.8883        2.69292
       0.749949        39.9424        2.69267
       0.765051         39.998        2.69241
       0.780152        40.0551        2.69214
       0.795253        40.1135        2.69187
       0.810354        40.6714        2.68931
       0.825455        41.4721        2.68568
       0.840556        42.2905        2.68204
       0.855657        43.1311        2.67837
       0.870758         43.987         2.6747
       0.885859        44.8791        2.67094
        0.90096        45.6821        2.66762
       0.916061        45.2366        2.66945
       0.931162        44.7987        2.67128
       0.946263        44.3696        2.67308
       0.961364        43.9615         2.6748
       0.976465        43.5661        2.67649
       0.991566        43.1605        2.67824
        1.00667        43.1934         2.6781
        1.02177        43.7663        2.67564
        1.03687        44.3456        2.67318
        1.05197        44.9285        2.67073
        1.06707         45.516         2.6683
        1.08217        46.1085        2.66588
        1.09727         46.684        2.66355
        1.11237        46.8879        2.66273
        1.12747        47.0056        2.66226
        1.14258        47.1235        2.66179
        1.15768        47.2415        2.66132
        1.17278        47.3815        2.66076
        1.18788        47.5039        2.66028
        1.20298        47.9793        2.65841
        1.21808         49.926        2.65091
        1.23318        51.9142        2.64354
        1.24828        53.9328        2.63631
        1.26338        55.9906         2.6292
        1.27848        58.0836        2.62221
        1.29359        60.1934         2.6154
        1.30869        60.6953        2.61381
        1.32379        60.0127        2.61598
        1.33889        59.3218        2.61819
        1.35399        58.6387         2.6204
        1.36909        57.9612        2.62262
        1.38419          57.29        2.62484
        1.39929        56.6235        2.62706
        1.41439        56.3868        2.62786
        1.42949        56.1174        2.62877
         1.4446        55.8518        2.62967
         1.4597        55.5907        2.63057
         1.4748        55.3336        2.63145
         1.4899        55.0802        2.63232
          1.505        54.9133        2.63289
         1.5201        54.9133        2.63289
         1.5352        54.9133        2.63289
         1.5503        54.9133        2.63289
         1.5654        54.9133        2.63289
