              t           Rate
         0.0001      0.0522719
         0.0049      0.0316104
         0.0097      0.0287391
         0.0145       0.027128
         0.0193      0.0260237
         0.0241      0.0251826
         0.0289      0.0245074
         0.0337       0.023945
         0.0385      0.0234583
         0.0433      0.0230382
         0.0481       0.022666
         0.0529      0.0223323
         0.0577      0.0220355
         0.0625      0.0217595
         0.0673      0.0215057
         0.0721      0.0212708
         0.0769      0.0210522
         0.0817      0.0208481
         0.0865      0.0206565
         0.0913       0.020476
         0.0961      0.0203056
         0.1009      0.0201442
         0.1057       0.019991
         0.1105      0.0198451
         0.1153      0.0197059
         0.1201      0.0195728
         0.1249      0.0194486
         0.1297      0.0193258
         0.1345      0.0192169
         0.1393       0.019103
         0.1441      0.0189942
         0.1489      0.0188892
         0.1537      0.0187877
         0.1585      0.0186897
         0.1633      0.0185948
         0.1681      0.0185029
         0.1729      0.0184138
         0.1777      0.0183273
         0.1825      0.0182433
         0.1873      0.0181617
         0.1921      0.0180822
         0.1969      0.0180049
         0.2017      0.0179297
         0.2065      0.0178563
         0.2113      0.0177847
         0.2161      0.0177149
         0.2209      0.0176467
         0.2257      0.0175801
         0.2305      0.0175073
         0.2353      0.0174437
         0.2401      0.0173814
         0.2449      0.0173205
         0.2497      0.0172609
         0.2545      0.0172025
         0.2593      0.0171452
         0.2641      0.0170891
         0.2689      0.0170341
         0.2737      0.0169801
         0.2785      0.0169272
         0.2833      0.0168752
         0.2881      0.0168242
         0.2929       0.016774
         0.2977      0.0167248
         0.3025      0.0166764
         0.3073      0.0166288
         0.3121      0.0165821
         0.3169      0.0165361
         0.3217      0.0164908
         0.3265      0.0164463
         0.3313      0.0164024
         0.3361      0.0163593
         0.3409      0.0163168
         0.3457      0.0162749
         0.3505      0.0162337
         0.3553      0.0161931
         0.3601       0.016153
         0.3649      0.0161136
         0.3697      0.0160747
         0.3745      0.0160363
         0.3793      0.0159985
         0.3841      0.0159612
         0.3889      0.0159243
         0.3937       0.015888
         0.3985      0.0158521
         0.4033      0.0158167
         0.4081      0.0157818
         0.4129      0.0157473
         0.4177      0.0157132
         0.4225      0.0156796
         0.4273      0.0156463
         0.4321      0.0156135
         0.4369      0.0155811
         0.4417       0.015549
         0.4465      0.0155173
         0.4513       0.015486
         0.4561       0.015455
         0.4609      0.0154244
         0.4657      0.0153941
         0.4705      0.0153642
         0.4753      0.0153346
         0.4801      0.0153053
         0.4849      0.0152763
         0.4897      0.0152477
         0.4945      0.0152193
         0.4993      0.0151913
         0.5041      0.0151635
         0.5089       0.015136
         0.5137       0.015982
         0.5185      0.0150819
         0.5233      0.0150552
         0.5281      0.0150363
         0.5329      0.0150102
         0.5377      0.0149843
         0.5425      0.0149586
         0.5473      0.0149328
         0.5521      0.0149077
         0.5569      0.0148827
         0.5617       0.014858
         0.5665      0.0148336
         0.5713      0.0148093
         0.5761      0.0147853
         0.5809      0.0147615
         0.5857      0.0147379
         0.5905      0.0147145
         0.5953      0.0146914
         0.6001      0.0146684
         0.6049      0.0146456
         0.6097       0.014623
         0.6145      0.0146006
         0.6193      0.0145784
         0.6241      0.0145564
         0.6289      0.0145346
         0.6337      0.0145129
         0.6385      0.0144914
         0.6433      0.0144701
         0.6481       0.014449
         0.6529       0.014428
         0.6577      0.0144072
         0.6625      0.0143866
         0.6673      0.0143661
         0.6721      0.0143458
         0.6769      0.0143257
         0.6817      0.0143057
         0.6865      0.0142858
         0.6913      0.0142661
         0.6961      0.0142466
         0.7009      0.0142272
         0.7057      0.0142079
         0.7105      0.0141888
         0.7153      0.0141698
         0.7201       0.014151
         0.7249      0.0141323
         0.7297      0.0141137
         0.7345      0.0140952
         0.7393      0.0140769
         0.7441      0.0140587
         0.7489      0.0140407
         0.7537      0.0140228
         0.7585       0.014005
         0.7633      0.0139873
         0.7681      0.0139697
         0.7729      0.0139523
         0.7777      0.0139349
         0.7825      0.0139177
         0.7873      0.0139006
         0.7921      0.0140703
         0.7969      0.0140549
         0.8017        0.01385
         0.8065      0.0138333
         0.8113      0.0138168
         0.8161      0.0138004
         0.8209       0.013784
         0.8257      0.0137678
         0.8305      0.0137517
         0.8353      0.0137356
         0.8401      0.0137197
         0.8449      0.0137039
         0.8497      0.0136881
         0.8545      0.0136725
         0.8593       0.013657
         0.8641      0.0136415
         0.8689      0.0136261
         0.8737      0.0136109
         0.8785      0.0135957
         0.8833      0.0135806
         0.8881      0.0135656
         0.8929      0.0135507
         0.8977      0.0135359
         0.9025      0.0135212
         0.9073      0.0135065
         0.9121       0.013492
         0.9169      0.0134775
         0.9217      0.0134631
         0.9265      0.0134571
         0.9313      0.0134429
         0.9361      0.0134287
         0.9409      0.0134146
         0.9457      0.0134006
         0.9505      0.0133867
         0.9553      0.0133729
         0.9601      0.0133591
         0.9649      0.0133454
         0.9697      0.0133318
         0.9745      0.0133182
         0.9793      0.0133047
         0.9841      0.0132913
         0.9889       0.013278
         0.9937      0.0132647
         0.9985      0.0132515
         1.0033      0.0132384
         1.0081      0.0132253
         1.0129      0.0132123
         1.0177      0.0131994
         1.0225      0.0131865
         1.0273      0.0131738
         1.0321       0.013161
         1.0369      0.0131484
         1.0417      0.0131358
         1.0465      0.0131232
         1.0513      0.0131107
         1.0561      0.0130983
         1.0609       0.013086
         1.0657      0.0130737
         1.0705      0.0130615
         1.0753      0.0130493
         1.0801      0.0130372
         1.0849      0.0130251
         1.0897      0.0130131
         1.0945      0.0130012
         1.0993      0.0129893
         1.1041      0.0129775
         1.1089      0.0129657
         1.1137       0.012954
         1.1185      0.0129423
         1.1233      0.0129307
         1.1281      0.0129192
         1.1329      0.0129077
         1.1377      0.0128963
         1.1425      0.0128849
         1.1473      0.0128735
         1.1521      0.0128622
         1.1569       0.012851
         1.1617      0.0128398
         1.1665      0.0128287
         1.1713      0.0128176
         1.1761      0.0128066
         1.1809      0.0127956
         1.1857      0.0127846
         1.1905      0.0127738
         1.1953      0.0127629
         1.2001      0.0127521
