           IM.1         mean_x        sd_ln_x
           0.01    5.05069e-22        7.69692
       0.025101    2.39907e-12        6.07331
       0.040202    3.72391e-08        5.21822
       0.055303    1.35683e-05        4.61864
       0.070404    0.000829268         4.1499
      0.0855051      0.0177636        3.76327
       0.100606       0.179762         3.4431
       0.115707       0.359374        3.34131
       0.130808       0.671032        3.24687
       0.145909        1.18272        3.15875
        0.16101         2.0122        3.07151
       0.176111        3.18533        2.99864
       0.191212        4.92698        2.92544
       0.206313        7.58864        2.85133
       0.221414        11.8461        2.77321
       0.236515        18.0396        2.69759
       0.251616        26.8196        2.62455
       0.266717        38.9676        2.55406
       0.281818        55.3278        2.48652
       0.296919        76.9064        2.42167
        0.31202        105.304        2.35847
       0.327121        140.325        2.30145
       0.342222        186.454        2.24029
       0.357323         241.42        2.18544
       0.372424        307.424        2.13335
       0.387525        385.489        2.08389
       0.402626        472.847        2.03867
       0.417727        553.392        2.00335
       0.432828        642.736        1.97001
       0.447929        741.097        1.93779
        0.46303        848.685         1.9069
       0.478131        965.619        1.87732
       0.493232        1091.99        1.84898
       0.508333        1153.98        1.83583
       0.523434        1158.07        1.83432
       0.538535        1162.16        1.83282
       0.553636        1166.23        1.83133
       0.568737        1170.28        1.82984
       0.583838        1174.33        1.82836
       0.598939        1178.38        1.82688
        0.61404        1511.97        1.77076
       0.629141        1924.48        1.71637
       0.644242        2390.23        1.66731
       0.659343        2905.02        1.62299
       0.674444        3464.44        1.58265
       0.689545        4063.16        1.54602
       0.704646        4501.94        1.52185
       0.719747        4515.38        1.51967
       0.734848        4528.48         1.5175
       0.749949        4541.25        1.51535
       0.765051        4553.69         1.5132
       0.780152        4565.83        1.51107
       0.795253        4577.67        1.50892
       0.810354        4607.32        1.50596
       0.825455        4645.12        1.50263
       0.840556        4682.83        1.49931
       0.855657        4720.44        1.49601
       0.870758        4757.96        1.49272
       0.885859         4795.4        1.48945
        0.90096        4832.48        1.48622
       0.916061        4865.36        1.48338
       0.931162         4898.2        1.48055
       0.946263         4931.0        1.47773
       0.961364        4963.76        1.47492
       0.976465         4996.5        1.47211
       0.991566        5029.22        1.46932
        1.00667        5251.52        1.45837
        1.02177        5722.63        1.43786
        1.03687        6203.98        1.41859
        1.05197        6695.75        1.40025
        1.06707        7196.56        1.38282
        1.08217         7703.2        1.36638
        1.09727        8215.11        1.35079
        1.11237        9062.45        1.32146
        1.12747        9989.05        1.29134
        1.14258        10918.9        1.26345
        1.15768        11849.1        1.23749
        1.17278        12776.4         1.2133
        1.18788        13698.2         1.1907
        1.20298        14399.0        1.17438
        1.21808        14232.8        1.17809
        1.23318        14066.3        1.18184
        1.24828        13899.5        1.18564
        1.26338        13733.2        1.18944
        1.27848        13565.9        1.19333
        1.29359        13398.3        1.19727
        1.30869        13695.7        1.18977
        1.32379        14335.1        1.17425
        1.33889        14970.3        1.15938
        1.35399        15601.0        1.14512
        1.36909        16226.6        1.13143
        1.38419        16846.8        1.11828
        1.39929        17461.3        1.10563
        1.41439        15860.0        1.12676
        1.42949        14099.8        1.15301
         1.4446        12302.6        1.18371
         1.4597        10493.0         1.2197
         1.4748        8707.28        1.26188
         1.4899        6993.02         1.3125
          1.505        5914.33        1.35197
         1.5201        5914.33        1.35197
         1.5352        5914.33        1.35197
         1.5503        5914.33        1.35197
         1.5654        5914.33        1.35197
        1.58051        5914.33        1.35197
        1.59561        5914.33        1.35197
        1.61071        5914.33        1.35197
        1.62581        5914.33        1.35197
        1.64091        5914.33        1.35197
        1.65601        5914.33        1.35197
        1.67111        5914.33        1.35197
        1.68621        5914.33        1.35197
        1.70131        5914.33        1.35197
        1.71641        5914.33        1.35197
        1.73152        5914.33        1.35197
        1.74662        5914.33        1.35197
        1.76172        5914.33        1.35197
        1.77682        5914.33        1.35197
        1.79192        5914.33        1.35197
        1.80702        5914.33        1.35197
        1.82212        5914.33        1.35197
        1.83722        5914.33        1.35197
        1.85232        5914.33        1.35197
        1.86742        5914.33        1.35197
        1.88253        5914.33        1.35197
        1.89763        5914.33        1.35197
        1.91273        5914.33        1.35197
        1.92783        5914.33        1.35197
        1.94293        5914.33        1.35197
        1.95803        5914.33        1.35197
        1.97313        5914.33        1.35197
        1.98823        5914.33        1.35197
        2.00333        5914.33        1.35197
        2.01843        5914.33        1.35197
        2.03354        5914.33        1.35197
        2.04864        5914.33        1.35197
        2.06374        5914.33        1.35197
        2.07884        5914.33        1.35197
        2.09394        5914.33        1.35197
        2.10904        5914.33        1.35197
        2.12414        5914.33        1.35197
        2.13924        5914.33        1.35197
        2.15434        5914.33        1.35197
        2.16944        5914.33        1.35197
        2.18455        5914.33        1.35197
        2.19965        5914.33        1.35197
        2.21475        5914.33        1.35197
        2.22985        5914.33        1.35197
        2.24495        5914.33        1.35197
        2.26005        5914.33        1.35197
        2.27515        5914.33        1.35197
        2.29025        5914.33        1.35197
        2.30535        5914.33        1.35197
        2.32045        5914.33        1.35197
        2.33556        5914.33        1.35197
        2.35066        5914.33        1.35197
        2.36576        5914.33        1.35197
        2.38086        5914.33        1.35197
        2.39596        5914.33        1.35197
        2.41106        5914.33        1.35197
        2.42616        5914.33        1.35197
        2.44126        5914.33        1.35197
        2.45636        5914.33        1.35197
        2.47146        5914.33        1.35197
        2.48657        5914.33        1.35197
        2.50167        5914.33        1.35197
        2.51677        5914.33        1.35197
