           IM.1            DS1            DS2            DS3            DS4          E(DS)
           0.01    1.35765e-06     2.5227e-09    1.27914e-12    1.75348e-16    1.36017e-06
       0.025101    0.000826658    8.68492e-06    2.57338e-08    2.11042e-11    0.000835368
       0.040202     0.00943399    0.000241609    1.81374e-06     3.8844e-09     0.00967741
       0.055303      0.0356017     0.00167148    2.40595e-05      1.026e-07      0.0372974
       0.070404      0.0819797     0.00608034     0.00014572    1.07831e-06      0.0882068
      0.0855051       0.144012      0.0153772    0.000561027    6.63136e-06       0.159957
       0.100606       0.213319      0.0304608     0.00157412    2.77132e-05       0.245382
       0.115707       0.249491      0.0395628     0.00229013    4.52554e-05       0.291389
       0.130808       0.285979       0.049927     0.00320586    7.05213e-05       0.339183
       0.145909       0.322196       0.061442     0.00434529    0.000105617       0.388089
        0.16101       0.357812      0.0740395      0.0057294    0.000152857       0.437733
       0.176111       0.392557      0.0876261     0.00737681    0.000214787       0.487775
       0.191212       0.426227       0.102111     0.00930359    0.000294155       0.537936
       0.206313       0.464631       0.120626      0.0120721    0.000422026       0.597751
       0.221414        0.50863       0.144863      0.0162158    0.000642222       0.670351
       0.236515        0.54945       0.170219      0.0211274    0.000939798       0.741736
       0.251616       0.587163       0.196321      0.0268198     0.00132966       0.811633
       0.266717       0.621647       0.222911      0.0332902     0.00182717       0.879675
       0.281818       0.653205       0.249721      0.0405256     0.00244773       0.945899
       0.296919       0.681991       0.276532      0.0485027     0.00320627        1.01023
        0.31202       0.702249       0.298154      0.0558908      0.0040138        1.06031
       0.327121       0.719481       0.318258      0.0634322      0.0049337        1.10611
       0.342222       0.735452       0.337843      0.0714006     0.00599967         1.1507
       0.357323       0.749782       0.357105      0.0798284     0.00722328        1.19394
       0.372424       0.763147       0.375914      0.0886521      0.0086155        1.23633
       0.387525       0.775545       0.394219      0.0978545      0.0101866         1.2778
       0.402626       0.786703       0.410589       0.106187      0.0116617        1.31514
       0.417727        0.79622        0.42011       0.109088      0.0118743        1.33729
       0.432828       0.805444        0.42959       0.112073       0.012099        1.35921
       0.447929        0.81437       0.439297       0.115147      0.0123379        1.38115
        0.46303       0.822731       0.448948       0.118316      0.0125918        1.40259
       0.478131       0.831306       0.458629       0.121582      0.0128628        1.42438
       0.493232       0.839311       0.468328       0.124953      0.0131526        1.44575
       0.508333       0.842331       0.472562        0.12678      0.0133918        1.45506
       0.523434       0.841478       0.472353       0.127297      0.0135817        1.45471
       0.538535       0.840615       0.472146       0.127824      0.0137766        1.45436
       0.553636       0.839741       0.471942       0.128361      0.0139764        1.45402
       0.568737       0.838859        0.47174       0.128907      0.0141813        1.45369
       0.583838       0.837966        0.47154       0.129463      0.0143913        1.45336
       0.598939       0.837065       0.471342       0.130029      0.0146063        1.45304
        0.61404       0.845599       0.484714       0.136901      0.0157601        1.48297
       0.629141        0.85435       0.498859       0.144348       0.017041         1.5146
       0.644242        0.86261       0.512734       0.151918      0.0183835        1.54565
       0.659343       0.870405        0.52634       0.159595      0.0197802        1.57612
       0.674444       0.877761       0.539702        0.16737      0.0212385        1.60607
       0.689545       0.884696        0.55273       0.175237      0.0227563        1.63542
       0.704646       0.888215       0.559747       0.179717      0.0236726        1.65135
       0.719747       0.884729       0.553677        0.17643      0.0231257        1.63796
       0.734848        0.88115       0.547566       0.173169      0.0225905        1.62448
       0.749949       0.877469       0.541415       0.169935      0.0220645        1.61088
       0.765051       0.873689       0.535224       0.166727      0.0215476        1.59719
       0.780152       0.869807       0.528992       0.163546      0.0210395        1.58338
       0.795253       0.865821       0.522726       0.160391      0.0205401        1.56948
       0.810354       0.865856       0.523601       0.161419      0.0208523        1.57173
       0.825455       0.867729       0.527723       0.164373      0.0215463        1.58137
       0.840556       0.869561       0.531799       0.167337      0.0222549        1.59095
       0.855657       0.871351       0.535832       0.170311      0.0229782        1.60047
       0.870758       0.873102       0.539821       0.173294      0.0237169        1.60993
       0.885859       0.874815       0.543765         0.1763      0.0244694        1.61935
        0.90096        0.87658       0.547694       0.179217      0.0251965        1.62869
       0.916061       0.879645       0.552032       0.180977      0.0253421          1.638
       0.931162        0.88265        0.55634        0.18276      0.0254936        1.64724
       0.946263       0.885597       0.560657       0.184568        0.02565        1.65647
       0.961364        0.88848        0.56498       0.186375      0.0258139        1.66565
       0.976465       0.891304       0.569287       0.188239      0.0259845        1.67481
       0.991566       0.894072       0.573585       0.190118      0.0261622        1.68394
        1.00667       0.894423       0.572922       0.188684      0.0256262        1.68165
        1.02177       0.891699       0.565885        0.18305      0.0242196        1.66485
        1.03687       0.888859       0.558693       0.177444      0.0228619        1.64786
        1.05197       0.885893       0.551346       0.171871      0.0215606        1.63067
        1.06707       0.882793       0.543844       0.166333      0.0202987        1.61327
        1.08217       0.879553       0.536195       0.160835      0.0190922        1.59568
        1.09727       0.876167       0.528381       0.155381       0.017935        1.57786
        1.11237       0.883325       0.539287       0.159992      0.0184182        1.60102
        1.12747       0.892223       0.554189       0.167071      0.0193238        1.63281
        1.14258       0.900659       0.569116       0.174413      0.0202978        1.66449
        1.15768       0.908698       0.583755          0.182      0.0213604        1.69581
        1.17278       0.915245       0.597655        0.18986      0.0225225        1.72528
        1.18788       0.921517       0.611416       0.197905      0.0237838        1.75462
        1.20298       0.926398       0.622737       0.204957      0.0249592        1.77905
        1.21808       0.927226       0.625089       0.206791      0.0253437        1.78445
        1.23318       0.928047       0.627453       0.208627        0.02574        1.78987
        1.24828       0.928858       0.629776       0.210467      0.0261402        1.79524
        1.26338       0.929659       0.632086       0.212368      0.0265443        1.80066
        1.27848       0.930452       0.634384       0.214155      0.0269526        1.80594
        1.29359       0.931268       0.636669       0.216004      0.0273648         1.8113
        1.30869       0.931599       0.637621       0.216761      0.0275312        1.81351
        1.32379       0.931602       0.637594       0.216711      0.0275142        1.81342
        1.33889       0.931604       0.637567       0.216662      0.0274971        1.81333
        1.35399       0.931606        0.63754       0.216612      0.0274802        1.81324
        1.36909       0.931609       0.637513       0.216563      0.0274632        1.81315
        1.38419       0.931611       0.637487       0.216513      0.0274463        1.81306
        1.39929       0.931614        0.63746       0.216464      0.0274294        1.81297
        1.41439       0.931217        0.63795       0.218311      0.0281866        1.81566
        1.42949       0.930484       0.637861       0.220349      0.0290538        1.81775
         1.4446       0.929262       0.637936       0.222513      0.0300271        1.81974
         1.4597       0.928254       0.637984       0.224834      0.0310964        1.82217
         1.4748       0.927285       0.637986       0.227278       0.032263        1.82481
         1.4899       0.925714       0.637944       0.229837       0.033528        1.82702
          1.505       0.924788       0.637597       0.231611      0.0344298        1.82843
         1.5201       0.924788       0.637597       0.231611      0.0344298        1.82843
         1.5352       0.924788       0.637597       0.231611      0.0344298        1.82843
         1.5503       0.924788       0.637597       0.231611      0.0344298        1.82843
         1.5654       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.58051       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.59561       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.61071       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.62581       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.64091       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.65601       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.67111       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.68621       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.70131       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.71641       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.73152       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.74662       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.76172       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.77682       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.79192       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.80702       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.82212       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.83722       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.85232       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.86742       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.88253       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.89763       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.91273       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.92783       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.94293       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.95803       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.97313       0.924788       0.637597       0.231611      0.0344298        1.82843
        1.98823       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.00333       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.01843       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.03354       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.04864       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.06374       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.07884       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.09394       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.10904       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.12414       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.13924       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.15434       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.16944       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.18455       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.19965       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.21475       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.22985       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.24495       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.26005       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.27515       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.29025       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.30535       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.32045       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.33556       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.35066       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.36576       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.38086       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.39596       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.41106       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.42616       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.44126       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.45636       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.47146       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.48657       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.50167       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.51677       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.53187       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.54697       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.56207       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.57717       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.59227       0.924788       0.637597       0.231611      0.0344298        1.82843
        2.60737       0.924788       0.637597       0.231611      0.0344298        1.82843
