           IM.1  EDP.01.mean_x  EDP.02.mean_x  EDP.03.mean_x  EDP.04.mean_x  EDP.05.mean_x  EDP.06.mean_x  EDP.07.mean_x  EDP.08.mean_x  EDP.09.mean_x  EDP.10.mean_x  EDP.11.mean_x  EDP.12.mean_x  EDP.13.mean_x  EDP.14.mean_x  EDP.15.mean_x  EDP.16.mean_x  EDP.17.mean_x  EDP.18.mean_x  EDP.19.mean_x  EDP.20.mean_x  EDP.21.mean_x
       0.372424    1.04145e+05        50713.0    1.35682e+05     2.1938e+05     3.0568e+05    2.41817e+05        79742.5    2.55203e+05        58997.4    2.58689e+05    1.65351e+05    2.46881e+05        36383.2    1.26609e+05        47346.0        34321.6        21419.6        7706.47        84705.9        1218.19        25255.8
       0.387525    1.09367e+05        60413.5    1.45032e+05    2.28971e+05    3.20867e+05    2.50181e+05        85077.6    2.62356e+05        63477.7    2.66789e+05    1.80797e+05    2.57832e+05        40097.0     1.3226e+05        51695.0        37012.3        21798.3        8986.21        88595.4        1551.35        26692.5
       0.402626    1.14305e+05        71335.1    1.53321e+05    2.38017e+05    3.37553e+05    2.58212e+05        90004.2    2.70738e+05        67930.3    2.74332e+05    1.96051e+05    2.66729e+05        43865.1    1.37745e+05        55658.9        39934.3        22373.9        10579.9        93330.6        1931.88        28253.5
       0.417727    1.18788e+05        87635.0    1.56387e+05    2.47619e+05    3.59764e+05    2.67261e+05        92503.1    2.78838e+05        71825.6    2.81581e+05    2.09252e+05    2.70767e+05        47363.8    1.42994e+05        56998.5        43785.9        23782.5        13440.2    1.02881e+05        2288.43        30217.5
       0.432828    1.23074e+05    1.03275e+05    1.62281e+05    2.56734e+05    3.81474e+05    2.75849e+05        95018.9    2.87536e+05        75729.4     2.8848e+05    2.22639e+05    2.72504e+05        50949.3     1.4802e+05        58365.8        47725.9        25233.9        16638.7    1.12796e+05        2687.62        32258.0
       0.447929    1.27185e+05    1.18036e+05    1.66845e+05    2.65533e+05     4.0263e+05    2.84003e+05        97551.1    2.95719e+05        79707.9    2.95017e+05    2.36221e+05    2.75285e+05        54613.4    1.52837e+05        59778.0        51731.2        26730.6        20161.6     1.2306e+05        3130.35        34375.0
        0.46303    1.31129e+05    1.31829e+05    1.71464e+05    2.73525e+05    4.23189e+05    2.91722e+05    1.00128e+05    3.03418e+05        83699.8    3.01288e+05    2.49967e+05    2.78004e+05        58348.6    1.57455e+05        61222.0        55765.6        28270.4        23980.5    1.33644e+05        3617.45        36568.8
       0.478131    1.34919e+05    1.44636e+05    1.76139e+05    2.81272e+05    4.43123e+05     2.9961e+05    1.02674e+05     3.1066e+05        87660.4    3.07225e+05     2.6386e+05    2.80664e+05        62134.3     1.6188e+05        62705.9        59815.1        29852.2        28053.2    1.44516e+05        4148.39        38838.3
       0.493232    1.38566e+05    1.56475e+05    1.80869e+05    2.88685e+05    4.62407e+05    3.05969e+05     1.0525e+05    3.17474e+05        91644.5     3.1287e+05     2.7787e+05    2.83261e+05        65939.9    1.66125e+05        64231.8        63854.1        31473.3        32329.6    1.55646e+05        4725.21        41183.5
       0.508333    1.41699e+05    1.62952e+05    1.83869e+05    2.92048e+05    4.76795e+05    3.09745e+05    1.08001e+05    3.19824e+05        94012.3    3.15348e+05    2.83761e+05    2.83712e+05        69338.6      1.683e+05        65075.4        66052.3        32559.6        32878.0    1.59823e+05        5006.74        43272.1
       0.523434    1.44431e+05    1.65591e+05    1.85407e+05    2.92361e+05     4.8753e+05     3.1117e+05    1.10871e+05    3.18782e+05        95069.8    3.15392e+05    2.83007e+05    2.82455e+05        72271.9    1.68898e+05        65341.3        66770.5        33190.8        32900.9    1.58222e+05        5021.83        45162.0
       0.538535    1.47082e+05    1.68642e+05    1.86911e+05    2.92648e+05    4.98154e+05    3.12547e+05     1.1372e+05    3.17722e+05        96128.1    3.15408e+05    2.82264e+05    2.81207e+05        75223.0    1.69492e+05        65612.8        67487.7        33827.5        27864.9    1.56627e+05        5036.61        47108.2
       0.553636    1.49658e+05    1.70738e+05    1.88382e+05    2.92925e+05    5.08668e+05    3.13905e+05    1.16545e+05    3.16648e+05        97187.0    3.15403e+05     2.8154e+05    2.79966e+05        78199.9    1.70083e+05        65888.8        68204.7        34471.9        25461.9    1.55036e+05        5051.47        49123.1
       0.568737    1.52157e+05    1.73247e+05     1.8982e+05    2.93192e+05    5.19067e+05    3.15191e+05    1.19345e+05     3.1554e+05        98246.5    3.15374e+05    2.80819e+05    2.78724e+05        81200.7     1.7067e+05        66171.1        68921.3        35119.7        23145.2    1.53452e+05        5066.23        51200.6
       0.583838    1.54591e+05    1.75714e+05    1.91226e+05    2.93449e+05    5.14857e+05     3.1643e+05    1.22117e+05     3.1444e+05        99306.4    3.15186e+05    2.80109e+05    2.77496e+05        84223.4    1.71253e+05        66458.8        69637.6        35772.7        20927.2    1.51872e+05        5080.89        53347.9
       0.598939     1.5696e+05    1.78141e+05    1.92601e+05    2.93694e+05    5.39516e+05    3.17621e+05     1.2486e+05    3.13331e+05    1.00367e+05    3.15227e+05     2.7941e+05    2.76295e+05        87266.1    1.71833e+05        66751.7        70353.5        36431.1        18817.7    1.50299e+05        5095.46        55551.4
        0.61404     1.5996e+05    1.94536e+05    1.97391e+05    2.93402e+05     5.4881e+05    3.18907e+05    1.29323e+05    3.15425e+05    1.05862e+05    3.15886e+05    2.93133e+05     2.7457e+05        85760.2    1.71564e+05        69985.0        75575.1        37030.3        20330.2    1.51688e+05        6579.54        54253.0
       0.629141    1.62917e+05    2.10596e+05    2.02417e+05    2.93068e+05    5.58086e+05    3.20172e+05    1.33893e+05    3.17734e+05    1.11705e+05    3.16596e+05    3.07784e+05    2.72779e+05        83935.1    1.71232e+05        73501.5        81038.1        37629.4        22182.7    1.53306e+05        8558.02        52727.9
       0.644242    1.65781e+05    2.24837e+05    2.07413e+05    2.92727e+05    5.67394e+05    3.21346e+05    1.38423e+05    3.20028e+05    1.17525e+05    3.17319e+05    3.22537e+05     2.7096e+05        82070.2    1.71209e+05        77079.7        86379.3        38233.8        24106.1    1.54933e+05        10744.6        51252.5
