            EDP         mean_x        sd_ln_x
           0.05        22.0675        2.51499
          0.075        146.837        2.17057
            0.1        458.093        1.95651
          0.125         997.36        1.80835
           0.15        1773.16        1.69845
          0.175        2776.39          1.613
            0.2        3990.05        1.54435
          0.225        5394.51        1.48788
           0.25        6970.02        1.44061
          0.275        8698.07        1.40048
            0.3        10561.8          1.366
          0.325        12546.4        1.33607
           0.35        14638.5        1.30984
          0.375        16826.9        1.28663
            0.4        19101.3        1.26593
          0.425        21453.1        1.24729
           0.45        23874.5        1.23037
          0.475        26358.6        1.21488
            0.5        28899.3         1.2006
          0.525        31491.1        1.18734
           0.55        34128.9        1.17493
          0.575        36808.0        1.16324
            0.6        39524.2        1.15217
          0.625        42273.4        1.14164
           0.65        45051.8        1.13156
          0.675        47855.9        1.12188
            0.7        50682.2        1.11254
          0.725        53527.5        1.10351
           0.75        56388.7        1.09475
          0.775        59262.8        1.08623
            0.8        62146.9        1.07793
          0.825        65038.4        1.06983
           0.85        67934.5        1.06191
          0.875        70832.8        1.05415
            0.9        73730.8        1.04655
          0.925        76626.3         1.0391
           0.95        79517.1        1.03179
          0.975        82401.0        1.02461
            1.0        85276.1        1.01756
          1.025        88140.5        1.01062
           1.05        90992.3        1.00381
          1.075        93830.0        0.99711
            1.1        96651.7       0.990521
          1.125        99456.2       0.984041
           1.15    1.02242e+05       0.977667
          1.175    1.05007e+05       0.971398
            1.2    1.07752e+05       0.965231
          1.225    1.10473e+05       0.959166
           1.25    1.13172e+05         0.9532
          1.275    1.15845e+05       0.947332
            1.3    1.18493e+05       0.941561
          1.325    1.21115e+05       0.935885
           1.35     1.2371e+05       0.930304
          1.375    1.26277e+05       0.924816
            1.4    1.28815e+05        0.91942
          1.425    1.31325e+05       0.914115
           1.45    1.33805e+05       0.908901
          1.475    1.36255e+05       0.903774
            1.5    1.38674e+05       0.898736
          1.525    1.41063e+05       0.893785
           1.55    1.43421e+05       0.888918
          1.575    1.45748e+05       0.884137
            1.6    1.48043e+05       0.879439
          1.625    1.50307e+05       0.874823
           1.65    1.52539e+05       0.870289
          1.675    1.54739e+05       0.865834
            1.7    1.56908e+05       0.861459
          1.725    1.59044e+05       0.857162
           1.75    1.61149e+05       0.852942
          1.775    1.63222e+05       0.848797
            1.8    1.65264e+05       0.844728
          1.825    1.67274e+05       0.840732
           1.85    1.69253e+05       0.836808
          1.875      1.712e+05       0.832956
            1.9    1.73116e+05       0.829175
          1.925    1.75002e+05       0.825462
           1.95    1.76857e+05       0.821818
          1.975    1.78681e+05       0.818241
