            EDP         mean_x        sd_ln_x
          0.001        7.07147        2.51605
         0.0015        65.3061        2.05265
          0.002        227.935        1.76193
         0.0025        509.109        1.56651
          0.003        893.511        1.42817
         0.0035        1356.93         1.3255
          0.004        1876.17        1.24632
         0.0045        2431.83        1.18384
          0.005        3008.66        1.13431
         0.0055        3595.31        1.09557
          0.006         4184.0        1.06627
         0.0065         4770.1        1.04533
          0.007         5351.6        1.03167
         0.0075        5928.57        1.02418
          0.008        6502.61        1.02166
         0.0085        7076.31         1.0229
          0.009        7652.89        1.02679
         0.0095        8235.72        1.03233
           0.01        8828.18        1.03866
         0.0105        9433.35        1.04514
          0.011        10053.9        1.05125
         0.0115        10692.2        1.05665
          0.012        11350.0        1.06112
         0.0125        12028.5        1.06452
          0.013        12728.6         1.0668
         0.0135        13450.7        1.06797
          0.014        14194.7        1.06806
         0.0145        14960.4        1.06714
          0.015        15747.2        1.06531
         0.0155        16554.2        1.06264
          0.016        17380.4        1.05923
         0.0165        18224.7        1.05517
          0.017        19085.7        1.05056
         0.0175        19962.2        1.04547
          0.018        20852.7        1.03998
         0.0185        21755.8        1.03417
          0.019        22670.2        1.02809
         0.0195        23594.4        1.02179
           0.02        24527.1        1.01534
         0.0205        25466.9        1.00877
          0.021        26412.6        1.00212
         0.0215        27363.0       0.995428
          0.022        28316.9       0.988717
         0.0225        29273.1       0.982013
          0.023        30230.7       0.975338
         0.0235        31188.7       0.968709
          0.024        32146.2        0.96214
         0.0245        33102.2       0.955644
          0.025        34056.1       0.949232
         0.0255        35007.0       0.942911
          0.026        35954.3       0.936687
         0.0265        36897.3       0.930567
          0.027        37835.5       0.924553
         0.0275        38768.3        0.91865
          0.028        39695.1       0.912857
         0.0285        40615.7       0.907178
          0.029        41529.5       0.901611
         0.0295        42436.1       0.896158
           0.03        43335.3       0.890817
         0.0305        44226.6       0.885588
          0.031        45109.9       0.880469
         0.0315        45984.8        0.87546
          0.032        46851.2       0.870557
         0.0325        47708.7        0.86576
          0.033        48557.4       0.861066
         0.0335        49396.8       0.856473
          0.034        50227.1        0.85198
         0.0345        51047.9       0.847583
          0.035        51859.2       0.843281
         0.0355        52660.9       0.839072
          0.036        53453.0       0.834952
         0.0365        54235.3       0.830921
          0.037        55007.8       0.826976
         0.0375        55770.5       0.823115
          0.038        56523.3       0.819335
         0.0385        57266.2       0.815635
          0.039        57999.3       0.812013
         0.0395        58722.4       0.808466
           0.04        59435.6       0.804993
         0.0405        60139.0       0.801592
          0.041        60832.5       0.798261
         0.0415        61516.2       0.794998
          0.042        62190.1       0.791802
         0.0425        62854.2       0.788671
          0.043        63508.6       0.785604
         0.0435        64153.4       0.782598
          0.044        64788.5       0.779653
         0.0445        65414.1       0.776767
          0.045        66030.2       0.773938
         0.0455        66636.9       0.771166
          0.046        67234.3       0.768449
         0.0465        67822.4       0.765785
          0.047        68401.3       0.763174
         0.0475        68971.0       0.760615
          0.048        69531.7       0.758105
         0.0485        70083.5       0.755645
          0.049        70626.4       0.753232
         0.0495        71160.5       0.750867
           0.05        71685.9       0.748547
         0.0505        72202.8       0.746273
          0.051        72711.1       0.744042
         0.0515        73211.0       0.741855
          0.052        73702.5       0.739709
         0.0525        74185.9       0.737605
          0.053        74661.1       0.735542
         0.0535        75128.3       0.733518
          0.054        75587.6       0.731533
         0.0545        76039.0       0.729587
          0.055        76482.7       0.727677
         0.0555        76918.7       0.725804
          0.056        77347.3       0.723967
         0.0565        77768.4       0.722166
          0.057        78182.1       0.720398
         0.0575        78588.6       0.718665
          0.058        78988.0       0.716964
         0.0585        79380.4       0.715297
          0.059        79765.8       0.713661
         0.0595        80144.4       0.712056
           0.06        80516.2       0.710482
         0.0605        80881.4       0.708938
          0.061        81240.1       0.707424
         0.0615        81592.3       0.705938
          0.062        81938.2       0.704481
         0.0625        82277.8       0.703052
          0.063        82611.3        0.70165
         0.0635        82938.7       0.700276
          0.064        83260.2       0.698927
         0.0645        83575.8       0.697604
          0.065        83885.6       0.696307
         0.0655        84189.7       0.695034
          0.066        84488.2       0.693786
         0.0665        84781.3       0.692562
          0.067        85068.9       0.691361
         0.0675        85351.2       0.690184
          0.068        85628.3       0.689029
         0.0685        85900.2       0.687896
          0.069        86167.1       0.686785
         0.0695        86429.0       0.685696
           0.07        86686.0       0.684627
         0.0705        86938.1       0.683579
          0.071        87185.6       0.682551
         0.0715        87428.4       0.681543
          0.072        87666.7       0.680555
         0.0725        87900.5       0.679585
          0.073        88129.8       0.678635
         0.0735        88354.9       0.677702
          0.074        88575.6       0.676788
         0.0745        88792.2       0.675891
          0.075        89004.7       0.675012
         0.0755        89213.2        0.67415
          0.076        89417.7       0.673304
         0.0765        89618.3       0.672475
          0.077        89815.1       0.671662
         0.0775        90008.2       0.670865
          0.078        90197.6       0.670083
         0.0785        90383.3       0.669316
          0.079        90565.5       0.668564
         0.0795        90744.3       0.667827
           0.08        90919.6       0.667104
         0.0805        91091.5       0.666395
          0.081        91260.2         0.6657
         0.0815        91425.6       0.665019
          0.082        91587.9        0.66435
         0.0825        91747.0       0.663695
          0.083        91903.1       0.663053
         0.0835        92056.2       0.662422
          0.084        92206.3       0.661805
         0.0845        92353.6       0.661199
          0.085        92498.0       0.660605
         0.0855        92639.6       0.660023
