              t           Rate
         0.0001        0.26373
         0.0049        0.16997
         0.0097       0.154498
         0.0145       0.145695
         0.0193       0.139547
         0.0241       0.134827
         0.0289       0.131048
         0.0337       0.127892
         0.0385       0.125186
         0.0433       0.122814
         0.0481        0.12072
         0.0529       0.118841
         0.0577       0.117137
         0.0625       0.115581
         0.0673       0.114078
         0.0721       0.112753
         0.0769       0.111521
         0.0817        0.11037
         0.0865        0.10929
         0.0913       0.108274
         0.0961       0.107315
         0.1009       0.106406
         0.1057       0.105544
         0.1105       0.104723
         0.1153        0.10394
         0.1201       0.103192
         0.1249       0.102476
         0.1297        0.10179
         0.1345       0.101131
         0.1393       0.100497
         0.1441      0.0998868
         0.1489      0.0992984
         0.1537      0.0987304
         0.1585      0.0981816
         0.1633      0.0976508
         0.1681      0.0971368
         0.1729      0.0966387
         0.1777      0.0961555
         0.1825      0.0956865
         0.1873      0.0952309
         0.1921      0.0947879
         0.1969       0.094357
         0.2017      0.0939375
         0.2065      0.0935288
         0.2113      0.0931304
         0.2161      0.0927419
         0.2209      0.0923628
         0.2257      0.0919927
         0.2305      0.0916311
         0.2353      0.0912777
         0.2401      0.0909323
         0.2449      0.0905943
         0.2497      0.0902636
         0.2545      0.0899398
         0.2593      0.0896227
         0.2641       0.089312
         0.2689      0.0890075
         0.2737      0.0887089
         0.2785      0.0884161
         0.2833      0.0881288
         0.2881      0.0878428
         0.2929      0.0875661
         0.2977      0.0872943
         0.3025      0.0870273
         0.3073      0.0867649
         0.3121      0.0865469
         0.3169      0.0862928
         0.3217      0.0860429
         0.3265      0.0857971
         0.3313      0.0855296
         0.3361      0.0852919
         0.3409      0.0850579
         0.3457      0.0848275
         0.3505      0.0846006
         0.3553      0.0843772
         0.3601      0.0841571
         0.3649      0.0839402
         0.3697      0.0837265
         0.3745      0.0835158
         0.3793      0.0833081
         0.3841      0.0831033
         0.3889      0.0829013
         0.3937      0.0827021
         0.3985      0.0825055
         0.4033      0.0823116
         0.4081      0.0821202
         0.4129      0.0819313
         0.4177      0.0817448
         0.4225      0.0815607
         0.4273      0.0813789
         0.4321      0.0811994
         0.4369       0.081022
         0.4417      0.0808469
         0.4465      0.0806738
         0.4513      0.0805027
         0.4561      0.0803337
         0.4609      0.0801667
         0.4657      0.0800016
         0.4705      0.0798383
         0.4753      0.0796769
         0.4801      0.0795174
         0.4849      0.0793595
         0.4897      0.0792034
         0.4945       0.079049
         0.4993      0.0788963
         0.5041      0.0787452
         0.5089      0.0785957
         0.5137      0.0784477
         0.5185      0.0783013
         0.5233      0.0781564
         0.5281      0.0780129
         0.5329      0.0778709
         0.5377      0.0777303
         0.5425      0.0775911
         0.5473      0.0774533
         0.5521      0.0773168
         0.5569      0.0771816
         0.5617      0.0770478
         0.5665      0.0769152
         0.5713      0.0767838
         0.5761      0.0766537
         0.5809      0.0765247
         0.5857       0.076397
         0.5905      0.0762704
         0.5953      0.0761449
         0.6001      0.0760206
         0.6049      0.0758974
         0.6097      0.0757753
         0.6145      0.0756542
         0.6193      0.0755342
         0.6241      0.0754152
         0.6289      0.0752973
         0.6337      0.0751803
         0.6385      0.0750643
         0.6433      0.0749493
         0.6481      0.0748353
         0.6529      0.0747222
         0.6577        0.07461
         0.6625      0.0744987
         0.6673      0.0743883
         0.6721      0.0742788
         0.6769      0.0741702
         0.6817       0.074018
         0.6865       0.073911
         0.6913      0.0738049
         0.6961      0.0736997
         0.7009      0.0735952
         0.7057      0.0734915
         0.7105      0.0733886
         0.7153      0.0732865
         0.7201      0.0731852
         0.7249      0.0730846
         0.7297      0.0729847
         0.7345      0.0728856
         0.7393      0.0727872
         0.7441      0.0726895
         0.7489      0.0725926
         0.7537      0.0725036
         0.7585       0.072408
         0.7633      0.0723131
         0.7681      0.0722188
         0.7729      0.0721252
         0.7777      0.0720322
         0.7825      0.0719399
         0.7873      0.0718481
         0.7921      0.0717571
         0.7969      0.0716666
         0.8017      0.0715767
         0.8065      0.0714875
         0.8113      0.0713988
         0.8161      0.0713107
         0.8209      0.0712232
         0.8257      0.0711363
         0.8305      0.0710499
         0.8353      0.0709641
         0.8401      0.0708789
         0.8449      0.0707941
         0.8497        0.07071
         0.8545      0.0706263
         0.8593      0.0705432
         0.8641      0.0704606
         0.8689      0.0703785
         0.8737      0.0702969
         0.8785      0.0702158
         0.8833      0.0701352
         0.8881      0.0700551
         0.8929      0.0699755
         0.8977      0.0698964
         0.9025      0.0698177
         0.9073      0.0697395
         0.9121      0.0696618
         0.9169      0.0695845
         0.9217      0.0695076
         0.9265      0.0694313
         0.9313      0.0693553
         0.9361      0.0692798
         0.9409      0.0692048
         0.9457      0.0691301
         0.9505      0.0690559
         0.9553      0.0689821
         0.9601      0.0689087
         0.9649      0.0688357
         0.9697      0.0687632
         0.9745       0.068691
         0.9793      0.0686192
         0.9841      0.0685483
         0.9889      0.0684773
         0.9937      0.0684067
         0.9985      0.0683365
         1.0033      0.0682667
         1.0081      0.0681972
         1.0129      0.0681281
         1.0177      0.0680594
         1.0225       0.067991
         1.0273       0.067923
         1.0321      0.0678553
         1.0369       0.067788
         1.0417      0.0677211
         1.0465      0.0676545
         1.0513      0.0675882
         1.0561      0.0675223
         1.0609      0.0674567
         1.0657      0.0673914
         1.0705      0.0673265
         1.0753      0.0672619
         1.0801      0.0671976
         1.0849      0.0671336
         1.0897        0.06707
         1.0945      0.0670067
         1.0993      0.0669436
         1.1041      0.0668809
         1.1089      0.0668185
         1.1137      0.0667564
         1.1185      0.0666946
         1.1233      0.0666331
         1.1281      0.0665719
         1.1329       0.066511
         1.1377      0.0664504
         1.1425        0.06639
         1.1473        0.06633
         1.1521      0.0662702
         1.1569      0.0662107
         1.1617      0.0661515
         1.1665      0.0660925
         1.1713      0.0660338
         1.1761      0.0659754
         1.1809      0.0659173
         1.1857      0.0658594
         1.1905      0.0658018
         1.1953      0.0657444
         1.2001      0.0656874
