           IM.1            DS1            DS2          E(DS)
           0.01    7.62736e-20    3.08586e-26    7.62736e-20
       0.025101     1.8435e-11    3.37047e-16    1.84354e-11
       0.040202    6.60567e-08    1.16257e-11    6.60683e-08
       0.055303    8.03024e-06    7.74654e-09    8.03799e-06
       0.070404    0.000182774    6.74927e-07    0.000183449
      0.0855051     0.00153352    1.64285e-05     0.00154995
       0.100606     0.00665489    0.000162804     0.00681769
       0.115707      0.0140134    0.000476591        0.01449
       0.130808      0.0253534     0.00114585      0.0264993
       0.145909      0.0410128      0.0023759      0.0433887
        0.16101      0.0609015     0.00439325      0.0652948
       0.176111      0.0846415     0.00742189      0.0920634
       0.191212        0.11168      0.0116593       0.123339
       0.206313       0.145883      0.0180394       0.163922
       0.221414       0.189397      0.0276625       0.217059
       0.236515       0.234938       0.039772        0.27471
       0.251616       0.281187      0.0542552       0.335442
       0.266717       0.327119      0.0711216       0.398241
       0.281818       0.371925      0.0899733       0.461898
       0.296919       0.415026       0.110591       0.525617
        0.31202       0.448171       0.124544       0.572714
       0.327121       0.478983       0.137065       0.616048
       0.342222       0.509634       0.150171       0.659805
       0.357323       0.540032       0.163875       0.703907
       0.372424       0.570061       0.178215       0.748276
       0.387525       0.599606       0.193153       0.792759
       0.402626       0.625707       0.207241       0.832948
       0.417727       0.637887       0.214603        0.85249
       0.432828       0.649889       0.222075       0.871964
       0.447929       0.660737       0.229645       0.890382
        0.46303        0.67227       0.237333       0.909603
       0.478131       0.683597       0.245126       0.928723
       0.493232       0.694711       0.253025       0.947735
       0.508333       0.704661       0.261984       0.966645
       0.523434       0.711142       0.271696       0.982837
       0.538535        0.71732       0.281334       0.998654
       0.553636       0.723208       0.290892         1.0141
       0.568737        0.72882       0.300339        1.02916
       0.583838       0.734167       0.309688        1.04386
       0.598939       0.739261       0.318915        1.05818
        0.61404       0.752342       0.333382        1.08572
       0.629141       0.765418       0.348213        1.11363
       0.644242       0.777873       0.362985        1.14086
       0.659343       0.789831        0.37769        1.16752
       0.674444       0.801098       0.392261        1.19336
       0.689545       0.811808       0.406765        1.21857
       0.704646       0.819782       0.415747        1.23553
       0.719747        0.82261       0.412533        1.23514
       0.734848       0.825372       0.409203        1.23458
       0.749949       0.828108       0.370261        1.19837
       0.765051       0.830795       0.402374        1.23317
       0.780152       0.833491       0.398853        1.23234
       0.795253       0.836071       0.395277        1.23135
       0.810354       0.840832       0.400088        1.24092
       0.825455       0.846471       0.408736        1.25521
       0.840556       0.851923       0.417352        1.26928
       0.855657       0.857201       0.425932        1.28313
       0.870758       0.862345       0.434472        1.29682
       0.885859       0.867312        0.44297        1.31028
        0.90096       0.872102       0.451476        1.32358
       0.916061       0.877831       0.460792        1.33862
       0.931162       0.883357        0.47002        1.35338
       0.946263       0.888685       0.479181        1.36787
       0.961364       0.893817        0.48837        1.38219
       0.976465       0.898759        0.49753        1.39629
       0.991566       0.903515       0.506657        1.41017
        1.00667       0.903009       0.506186         1.4092
        1.02177       0.895748       0.493609        1.38936
        1.03687       0.888095       0.481043        1.36914
        1.05197       0.880042       0.468496        1.34854
        1.06707       0.871587       0.455991        1.32758
        1.08217       0.862749       0.443571        1.30632
        1.09727       0.853433       0.431171         1.2846
        1.11237       0.852231       0.425204        1.27744
        1.12747       0.852817       0.420608        1.27342
        1.14258       0.853318       0.415924        1.26924
        1.15768       0.853742       0.411155         1.2649
        1.17278       0.854094       0.406305         1.2604
        1.18788       0.854354       0.401378        1.25573
        1.20298       0.856304       0.400188        1.25649
        1.21808       0.865396       0.414427        1.27982
        1.23318       0.873551        0.42861        1.30216
        1.24828       0.881451        0.44272        1.32417
        1.26338       0.888941       0.456766        1.34571
        1.27848       0.896014       0.470684         1.3667
        1.29359       0.902681       0.484486        1.38717
        1.30869       0.908544       0.494002        1.40255
        1.32379       0.913867        0.50052        1.41439
        1.33889       0.918841       0.507143        1.42598
        1.35399       0.923495       0.513862        1.43736
        1.36909       0.927938       0.520694        1.44863
        1.38419       0.932094       0.527531        1.45963
        1.39929       0.935932       0.534475        1.47041
        1.41439        0.93634       0.538546        1.47489
        1.42949       0.936472       0.542464        1.47894
         1.4446       0.936611       0.546246        1.48286
         1.4597       0.936575       0.549958        1.48653
         1.4748       0.936528       0.553584        1.49011
         1.4899       0.936418       0.557121        1.49354
          1.505       0.936309       0.559437        1.49575
         1.5201       0.936309       0.559437        1.49575
         1.5352       0.936309       0.559437        1.49575
         1.5503       0.936309       0.559437        1.49575
         1.5654       0.936309       0.559437        1.49575
        1.58051       0.936309       0.559437        1.49575
        1.59561       0.936309       0.559437        1.49575
        1.61071       0.936309       0.559437        1.49575
        1.62581       0.936309       0.559437        1.49575
        1.64091       0.936309       0.559437        1.49575
        1.65601       0.936309       0.559437        1.49575
        1.67111       0.936309       0.559437        1.49575
        1.68621       0.936309       0.559437        1.49575
        1.70131       0.936309       0.559437        1.49575
        1.71641       0.936309       0.559437        1.49575
        1.73152       0.936309       0.559437        1.49575
        1.74662       0.936309       0.559437        1.49575
        1.76172       0.936309       0.559437        1.49575
        1.77682       0.936309       0.559437        1.49575
        1.79192       0.936309       0.559437        1.49575
        1.80702       0.936309       0.559437        1.49575
        1.82212       0.936309       0.559437        1.49575
        1.83722       0.936309       0.559437        1.49575
        1.85232       0.936309       0.559437        1.49575
