              t           Rate
         0.0001       0.267793
         0.0049       0.173388
         0.0097       0.157708
         0.0145        0.14877
         0.0193       0.142516
         0.0241       0.137741
         0.0289       0.133864
         0.0337       0.130651
         0.0385       0.127895
         0.0433       0.125488
         0.0481       0.123352
         0.0529       0.121422
         0.0577       0.119686
         0.0625         0.1181
         0.0673       0.116641
         0.0721       0.115218
         0.0769       0.113962
         0.0817       0.112788
         0.0865       0.111688
         0.0913       0.110651
         0.0961       0.109673
         0.1009       0.108746
         0.1057       0.107866
         0.1105       0.107029
         0.1153       0.106231
         0.1201       0.105468
         0.1249       0.104738
         0.1297       0.104037
         0.1345       0.103365
         0.1393       0.102718
         0.1441       0.102096
         0.1489       0.101495
         0.1537       0.100916
         0.1585       0.100356
         0.1633      0.0998142
         0.1681      0.0992897
         0.1729      0.0987814
         0.1777      0.0982883
         0.1825      0.0978097
         0.1873      0.0973446
         0.1921      0.0968925
         0.1969      0.0964527
         0.2017      0.0960245
         0.2065      0.0956074
         0.2113      0.0952008
         0.2161      0.0948042
         0.2209      0.0944172
         0.2257      0.0940394
         0.2305      0.0936703
         0.2353      0.0933096
         0.2401      0.0929569
         0.2449      0.0926119
         0.2497      0.0922742
         0.2545      0.0919437
         0.2593      0.0916199
         0.2641      0.0913027
         0.2689      0.0909918
         0.2737       0.090687
         0.2785       0.090388
         0.2833      0.0900947
         0.2881      0.0898068
         0.2929      0.0895241
         0.2977      0.0892465
         0.3025      0.0889738
         0.3073      0.0887059
         0.3121      0.0884425
         0.3169      0.0881768
         0.3217      0.0879222
         0.3265      0.0876717
         0.3313      0.0874252
         0.3361      0.0871788
         0.3409      0.0869401
         0.3457      0.0867051
         0.3505      0.0864737
         0.3553      0.0862458
         0.3601      0.0860212
         0.3649         0.0858
         0.3697      0.0856215
         0.3745       0.085381
         0.3793      0.0851687
         0.3841      0.0849595
         0.3889      0.0847531
         0.3937      0.0845495
         0.3985      0.0843487
         0.4033      0.0841505
         0.4081       0.083955
         0.4129      0.0837619
         0.4177      0.0835714
         0.4225      0.0833833
         0.4273      0.0831975
         0.4321       0.083014
         0.4369      0.0828328
         0.4417      0.0826538
         0.4465      0.0824769
         0.4513      0.0823021
         0.4561      0.0821294
         0.4609      0.0819587
         0.4657        0.08179
         0.4705      0.0816232
         0.4753      0.0814582
         0.4801      0.0812951
         0.4849      0.0811339
         0.4897      0.0809743
         0.4945      0.0808165
         0.4993      0.0806604
         0.5041       0.080506
         0.5089      0.0803532
         0.5137       0.080202
         0.5185      0.0800523
         0.5233      0.0799042
         0.5281      0.0797576
         0.5329      0.0796125
         0.5377      0.0794688
         0.5425      0.0793265
         0.5473      0.0791857
         0.5521      0.0790462
         0.5569       0.078908
         0.5617      0.0787712
         0.5665      0.0786356
         0.5713      0.0785014
         0.5761      0.0783684
         0.5809      0.0782366
         0.5857       0.078106
         0.5905      0.0779766
         0.5953      0.0778484
         0.6001      0.0777213
         0.6049      0.0775954
         0.6097      0.0774705
         0.6145      0.0773468
         0.6193      0.0772241
         0.6241       0.077094
         0.6289      0.0769734
         0.6337      0.0768538
         0.6385      0.0767353
         0.6433      0.0766177
         0.6481      0.0765011
         0.6529      0.0763855
         0.6577      0.0762708
         0.6625       0.076157
         0.6673      0.0760442
         0.6721      0.0759322
         0.6769      0.0758212
         0.6817       0.075711
         0.6865      0.0756017
         0.6913      0.0754932
         0.6961      0.0753856
         0.7009      0.0752788
         0.7057      0.0751728
         0.7105      0.0750676
         0.7153      0.0749632
         0.7201      0.0748596
         0.7249      0.0747567
         0.7297      0.0746547
         0.7345      0.0745533
         0.7393      0.0744527
         0.7441      0.0743528
         0.7489      0.0742537
         0.7537      0.0741552
         0.7585       0.074013
         0.7633      0.0739159
         0.7681      0.0738196
         0.7729      0.0737238
         0.7777      0.0736288
         0.7825      0.0735344
         0.7873      0.0734406
         0.7921      0.0733475
         0.7969       0.073255
         0.8017      0.0731632
         0.8065      0.0730719
         0.8113      0.0729813
         0.8161      0.0728912
         0.8209      0.0728018
         0.8257      0.0727129
         0.8305      0.0726246
         0.8353      0.0725369
         0.8401      0.0724497
         0.8449      0.0723631
         0.8497      0.0722843
         0.8545      0.0721988
         0.8593      0.0721138
         0.8641      0.0720293
         0.8689      0.0719454
         0.8737       0.071862
         0.8785       0.071779
         0.8833      0.0716966
