           IM.1            DS1            DS2            DS3            DS4          E(DS)
           0.01    6.07016e-11    2.59201e-15    2.79705e-24     7.9787e-31    6.07042e-11
       0.025101    2.40696e-06    1.34362e-09    1.07787e-16    4.40458e-22     2.4083e-06
       0.040202    0.000159204    3.49202e-07    2.97178e-13    5.43381e-18    0.000159553
       0.055303     0.00170367    9.73703e-06    4.65976e-11    2.64052e-15     0.00171341
       0.070404     0.00787612    9.50496e-05    1.84928e-09    2.70958e-13     0.00797118
      0.0855051      0.0227677    0.000505376    3.24943e-08    1.09804e-11      0.0232731
       0.100606      0.0486486      0.0017801    3.17738e-07     2.2368e-10      0.0504291
       0.115707      0.0737615     0.00345227    9.62073e-07     9.0351e-10      0.0772148
       0.130808       0.103749     0.00603489    2.50579e-06    3.05131e-09       0.109787
       0.145909       0.137737     0.00972512     5.7914e-06    8.93347e-09       0.147468
        0.16101        0.17474      0.0146877     1.2151e-05    2.32791e-08        0.18944
       0.176111       0.213777      0.0210478    2.35324e-05    5.50976e-08       0.234848
       0.191212       0.253984      0.0288707    4.26263e-05     1.2027e-07       0.282897
       0.206313       0.313808       0.045538    0.000121225    5.44519e-07       0.359468
       0.221414       0.394309      0.0806439    0.000551617    5.52631e-06        0.47551
       0.236515       0.462885       0.124372     0.00188336     3.7859e-05       0.589178
       0.251616       0.518578        0.17251     0.00503244    0.000182158       0.696302
       0.266717       0.562669       0.221198      0.0110043     0.00064972       0.795522
       0.281818       0.597024       0.267632      0.0205209      0.0018135       0.886991
       0.296919       0.623848       0.310218      0.0337683     0.00415915       0.971993
        0.31202       0.644811        0.33437       0.040789     0.00553069         1.0255
       0.327121       0.664016       0.354018      0.0458894     0.00649772        1.07042
       0.342222       0.681959       0.373127      0.0512318     0.00755939        1.11388
       0.357323       0.698626        0.39168      0.0567974      0.0087169        1.15582
       0.372424       0.714204        0.40967      0.0625702     0.00997099        1.19642
       0.387525        0.72875       0.427095      0.0685341      0.0112946        1.23567
       0.402626       0.741032       0.443649      0.0753233      0.0130311        1.27304
       0.417727       0.746307       0.457909      0.0855011      0.0162823          1.306
       0.432828       0.750929       0.471176      0.0960155      0.0199805         1.3381
       0.447929       0.754974       0.483474       0.106785      0.0241212        1.36935
        0.46303       0.758506       0.494934       0.117716      0.0286883        1.39984
       0.478131       0.761584       0.505579       0.128767      0.0336687         1.4296
       0.493232       0.764257       0.515467       0.139863      0.0390353        1.45862
       0.508333       0.765501       0.520408        0.14577      0.0420351        1.47371
       0.523434       0.765797       0.521738       0.147434      0.0429052        1.47787
       0.538535       0.766085       0.523054       0.149096      0.0437829        1.48202
       0.553636       0.766367       0.524355       0.150757      0.0446681        1.48615
       0.568737       0.766642       0.525642       0.152416      0.0455608        1.49026
       0.583838        0.76691       0.526915       0.154073      0.0464608        1.49436
       0.598939       0.767172       0.528173       0.155729       0.047368        1.49844
        0.61404       0.765903        0.52718       0.155778      0.0475509        1.49641
       0.629141       0.764518       0.526018       0.155704       0.047678        1.49392
       0.644242       0.763133       0.524859        0.15563      0.0478042        1.49143
       0.659343       0.761747       0.523702       0.155554      0.0479295        1.48893
       0.674444        0.76036       0.522546       0.155477       0.048054        1.48644
       0.689545       0.758973       0.521393       0.155399      0.0481776        1.48394
       0.704646       0.759589       0.523547        0.15805      0.0496438        1.49083
       0.719747       0.764463       0.532816       0.166816      0.0542361        1.51833
       0.734848       0.768981       0.541614       0.175541      0.0589767        1.54511
       0.749949       0.773171       0.549966       0.184187       0.063853        1.57118
       0.765051       0.777056       0.557894       0.192751      0.0688448        1.59655
       0.780152       0.780663       0.565423       0.201221      0.0739535        1.62126
       0.795253       0.784011       0.572557       0.209584      0.0791601        1.64531
       0.810354       0.808872       0.604315       0.230643      0.0891631        1.73299
       0.825455       0.839194       0.644012       0.256892       0.101176        1.84127
       0.840556       0.865064       0.680181       0.282431       0.112994        1.94067
       0.855657       0.887214       0.713299       0.307353        0.12463         2.0325
       0.870758       0.906184       0.743683       0.331776       0.136102        2.11775
       0.885859       0.921529       0.771627       0.355776       0.147435        2.19637
        0.90096       0.935162       0.794872       0.376708       0.157155         2.2639
       0.916061       0.928493       0.779963       0.356962       0.144725        2.21014
       0.931162       0.920872       0.763534       0.336506       0.132337        2.15325
       0.946263       0.912124       0.745389       0.315342       0.120036        2.09289
       0.961364       0.902033         0.7253       0.293496       0.107885        2.02871
       0.976465       0.890356       0.703002       0.270981      0.0959113        1.96025
       0.991566       0.876705       0.678167       0.247827         0.0842         1.8869
        1.00667       0.866985       0.658885       0.227963      0.0737628         1.8276
        1.02177        0.86417       0.648653       0.212552      0.0648691        1.79024
        1.03687       0.860863       0.637361       0.196794      0.0563806         1.7514
        1.05197       0.856977       0.624838       0.180765      0.0483626        1.71094
        1.06707       0.852417       0.610972        0.16461      0.0408779        1.66888
        1.08217       0.847088       0.595554       0.148412      0.0339861        1.62504
        1.09727       0.840824       0.578544       0.132264      0.0277325        1.57936
        1.11237       0.853477       0.598059       0.142046      0.0304616        1.62404
        1.12747        0.86851       0.624065       0.157718      0.0353831        1.68568
        1.14258       0.881687        0.64809        0.17351      0.0406158         1.7439
        1.15768       0.893315       0.670342       0.189407      0.0461396         1.7992
