           IM.1            DS1          E(DS)
           0.01    9.90592e-14    9.90592e-14
       0.025101    3.54519e-09    3.54519e-09
       0.040202    3.47335e-07    3.47335e-07
       0.055303    5.88608e-06    5.88608e-06
       0.070404    4.34499e-05    4.34499e-05
      0.0855051    0.000197495    0.000197495
       0.100606    0.000639576    0.000639576
       0.115707      0.0011277      0.0011277
       0.130808     0.00184356     0.00184356
       0.145909     0.00283637     0.00283637
        0.16101     0.00415265     0.00415265
       0.176111     0.00583419     0.00583419
       0.191212     0.00791842     0.00791842
       0.206313      0.0107798      0.0107798
       0.221414      0.0148074      0.0148074
       0.236515      0.0196291      0.0196291
       0.251616      0.0252659      0.0252659
       0.266717      0.0317115      0.0317115
       0.281818       0.038948       0.038948
       0.296919      0.0469385      0.0469385
        0.31202      0.0542941      0.0542941
       0.327121       0.061758       0.061758
       0.342222      0.0696384      0.0696384
       0.357323      0.0779099      0.0779099
       0.372424      0.0865444      0.0865444
       0.387525      0.0955215      0.0955215
       0.402626       0.104473       0.104473
       0.417727       0.112126       0.112126
       0.432828       0.119971       0.119971
       0.447929          0.128          0.128
        0.46303       0.136205       0.136205
       0.478131        0.14458        0.14458
       0.493232       0.153106       0.153106
       0.508333       0.156848       0.156848
       0.523434       0.156622       0.156622
       0.538535       0.156406       0.156406
       0.553636       0.156197       0.156197
       0.568737       0.155998       0.155998
       0.583838       0.155806       0.155806
       0.598939       0.155622       0.155622
        0.61404        0.16462        0.16462
       0.629141       0.174755       0.174755
       0.644242       0.184301       0.184301
       0.659343       0.194259       0.194259
       0.674444       0.204275       0.204275
       0.689545       0.214368       0.214368
       0.704646        0.22008        0.22008
       0.719747       0.215968       0.215968
       0.734848        0.21187        0.21187
       0.749949       0.207786       0.207786
       0.765051       0.202988       0.202988
       0.780152       0.199678       0.199678
       0.795253       0.195659       0.195659
       0.810354       0.196702       0.196702
       0.825455       0.200078       0.200078
       0.840556       0.203474       0.203474
       0.855657       0.206892       0.206892
       0.870758        0.21033        0.21033
       0.885859       0.213747       0.213747
        0.90096        0.21782        0.21782
       0.916061       0.230816       0.230816
       0.931162       0.243806       0.243806
       0.946263       0.256811       0.256811
       0.961364       0.269809       0.269809
       0.976465       0.282775       0.282775
       0.991566       0.295732       0.295732
        1.00667       0.297457       0.297457
        1.02177       0.284957       0.284957
        1.03687       0.269536       0.269536
        1.05197       0.259818       0.259818
        1.06707       0.247189       0.247189
        1.08217       0.234551       0.234551
        1.09727       0.221844       0.221844
        1.11237       0.217068       0.217068
        1.12747       0.214025       0.214025
        1.14258       0.211071       0.211071
        1.15768        0.20804        0.20804
        1.17278       0.205019       0.205019
        1.18788       0.202007       0.202007
        1.20298       0.202755       0.202755
        1.21808        0.21923        0.21923
        1.23318       0.235737       0.235737
        1.24828       0.252254       0.252254
        1.26338       0.268705       0.268705
        1.27848       0.285032       0.285032
        1.29359       0.301167       0.301167
        1.30869       0.302411       0.302411
        1.32379       0.292835       0.292835
        1.33889       0.283351       0.283351
        1.35399       0.274088       0.274088
        1.36909       0.265134       0.265134
        1.38419       0.256592       0.256592
        1.39929       0.248574       0.248574
        1.41439       0.250828       0.250828
        1.42949       0.253702       0.253702
         1.4446       0.256634       0.256634
         1.4597       0.259674       0.259674
         1.4748       0.262787       0.262787
         1.4899       0.265958       0.265958
          1.505       0.268114       0.268114
         1.5201       0.268114       0.268114
         1.5352       0.268114       0.268114
         1.5503       0.268114       0.268114
         1.5654       0.268114       0.268114
        1.58051       0.268114       0.268114
        1.59561       0.268114       0.268114
        1.61071       0.268114       0.268114
        1.62581       0.268114       0.268114
        1.64091       0.268114       0.268114
        1.65601       0.268114       0.268114
        1.67111       0.268114       0.268114
        1.68621       0.268114       0.268114
        1.70131       0.268114       0.268114
        1.71641       0.268114       0.268114
        1.73152       0.268114       0.268114
        1.74662       0.268114       0.268114
        1.76172       0.268114       0.268114
        1.77682       0.268114       0.268114
        1.79192       0.268114       0.268114
        1.80702       0.268114       0.268114
        1.82212       0.268114       0.268114
        1.83722       0.268114       0.268114
        1.85232       0.268114       0.268114
        1.86742       0.268114       0.268114
        1.88253       0.268114       0.268114
        1.89763       0.268114       0.268114
        1.91273       0.268114       0.268114
        1.92783       0.268114       0.268114
        1.94293       0.268114       0.268114
        1.95803       0.268114       0.268114
        1.97313       0.268114       0.268114
        1.98823       0.268114       0.268114
        2.00333       0.268114       0.268114
        2.01843       0.268114       0.268114
        2.03354       0.268114       0.268114
        2.04864       0.268114       0.268114
        2.06374       0.268114       0.268114
        2.07884       0.268114       0.268114
        2.09394       0.268114       0.268114
        2.10904       0.268114       0.268114
        2.12414       0.268114       0.268114
        2.13924       0.268114       0.268114
        2.15434       0.268114       0.268114
        2.16944       0.268114       0.268114
        2.18455       0.268114       0.268114
        2.19965       0.268114       0.268114
        2.21475       0.268114       0.268114
        2.22985       0.268114       0.268114
        2.24495       0.268114       0.268114
        2.26005       0.268114       0.268114
        2.27515       0.268114       0.268114
        2.29025       0.268114       0.268114
        2.30535       0.268114       0.268114
        2.32045       0.268114       0.268114
        2.33556       0.268114       0.268114
        2.35066       0.268114       0.268114
        2.36576       0.268114       0.268114
        2.38086       0.268114       0.268114
        2.39596       0.268114       0.268114
        2.41106       0.268114       0.268114
        2.42616       0.268114       0.268114
        2.44126       0.268114       0.268114
        2.45636       0.268114       0.268114
        2.47146       0.268114       0.268114
        2.48657       0.268114       0.268114
        2.50167       0.268114       0.268114
        2.51677       0.268114       0.268114
        2.53187       0.268114       0.268114
        2.54697       0.268114       0.268114
        2.56207       0.268114       0.268114
        2.57717       0.268114       0.268114
        2.59227       0.268114       0.268114
        2.60737       0.268114       0.268114
        2.62247       0.268114       0.268114
        2.63758       0.268114       0.268114
        2.65268       0.268114       0.268114
        2.66778       0.268114       0.268114
        2.68288       0.268114       0.268114
        2.69798       0.268114       0.268114
        2.71308       0.268114       0.268114
        2.72818       0.268114       0.268114
        2.74328       0.268114       0.268114
        2.75838       0.268114       0.268114
        2.77348       0.268114       0.268114
        2.78859       0.268114       0.268114
        2.80369       0.268114       0.268114
        2.81879       0.268114       0.268114
        2.83389       0.268114       0.268114
        2.84899       0.268114       0.268114
        2.86409       0.268114       0.268114
        2.87919       0.268114       0.268114
        2.89429       0.268114       0.268114
        2.90939       0.268114       0.268114
        2.92449       0.268114       0.268114
         2.9396       0.268114       0.268114
         2.9547       0.268114       0.268114
         2.9698       0.268114       0.268114
         2.9849       0.268114       0.268114
            3.0       0.268114       0.268114
