            EDP            DS1          E(DS)
            0.0            0.0            0.0
           0.01    1.65093e-24    1.65093e-24
           0.02    9.41764e-19    9.41764e-19
           0.03    9.09338e-16    9.09338e-16
           0.04    8.04881e-14    8.04881e-14
           0.05    2.08242e-12    2.08242e-12
           0.06    2.56991e-11    2.56991e-11
           0.07    1.94315e-10    1.94315e-10
           0.08     1.0398e-09     1.0398e-09
           0.09    4.30911e-09    4.30911e-09
            0.1    1.46828e-08    1.46828e-08
           0.11    4.28831e-08    4.28831e-08
           0.12    1.10626e-07    1.10626e-07
           0.13    2.57754e-07    2.57754e-07
           0.14     5.5172e-07     5.5172e-07
           0.15    1.09935e-06    1.09935e-06
           0.16    2.06064e-06    2.06064e-06
           0.17    3.66419e-06    3.66419e-06
           0.18     6.2236e-06     6.2236e-06
           0.19    1.01543e-05    1.01543e-05
            0.2    1.59904e-05    1.59904e-05
