           IM.1            DS1            DS2            DS3            DS4          E(DS)
         1.4597       0.999505       0.957932       0.386338      0.0991789        2.44295
         1.4748       0.999684        0.96244        0.39601       0.101605        2.45974
         1.4899       0.999772       0.966524       0.405736        0.10411        2.47614
          1.505       0.999803       0.969049       0.412308       0.105834        2.48699
         1.5201       0.999803       0.969049       0.412308       0.105834        2.48699
         1.5352       0.999803       0.969049       0.412308       0.105834        2.48699
         1.5503       0.999803       0.969049       0.412308       0.105834        2.48699
         1.5654       0.999803       0.969049       0.412308       0.105834        2.48699
        1.58051       0.999803       0.969049       0.412308       0.105834        2.48699
        1.59561       0.999803       0.969049       0.412308       0.105834        2.48699
        1.61071       0.999803       0.969049       0.412308       0.105834        2.48699
        1.62581       0.999803       0.969049       0.412308       0.105834        2.48699
        1.64091       0.999803       0.969049       0.412308       0.105834        2.48699
        1.65601       0.999803       0.969049       0.412308       0.105834        2.48699
        1.67111       0.999803       0.969049       0.412308       0.105834        2.48699
        1.68621       0.999803       0.969049       0.412308       0.105834        2.48699
        1.70131       0.999803       0.969049       0.412308       0.105834        2.48699
        1.71641       0.999803       0.969049       0.412308       0.105834        2.48699
        1.73152       0.999803       0.969049       0.412308       0.105834        2.48699
        1.74662       0.999803       0.969049       0.412308       0.105834        2.48699
        1.76172       0.999803       0.969049       0.412308       0.105834        2.48699
        1.77682       0.999803       0.969049       0.412308       0.105834        2.48699
        1.79192       0.999803       0.969049       0.412308       0.105834        2.48699
        1.80702       0.999803       0.969049       0.412308       0.105834        2.48699
        1.82212       0.999803       0.969049       0.412308       0.105834        2.48699
        1.83722       0.999803       0.969049       0.412308       0.105834        2.48699
        1.85232       0.999803       0.969049       0.412308       0.105834        2.48699
        1.86742       0.999803       0.969049       0.412308       0.105834        2.48699
        1.88253       0.999803       0.969049       0.412308       0.105834        2.48699
        1.89763       0.999803       0.969049       0.412308       0.105834        2.48699
        1.91273       0.999803       0.969049       0.412308       0.105834        2.48699
        1.92783       0.999803       0.969049       0.412308       0.105834        2.48699
        1.94293       0.999803       0.969049       0.412308       0.105834        2.48699
        1.95803       0.999803       0.969049       0.412308       0.105834        2.48699
        1.97313       0.999803       0.969049       0.412308       0.105834        2.48699
        1.98823       0.999803       0.969049       0.412308       0.105834        2.48699
        2.00333       0.999803       0.969049       0.412308       0.105834        2.48699
        2.01843       0.999803       0.969049       0.412308       0.105834        2.48699
        2.03354       0.999803       0.969049       0.412308       0.105834        2.48699
        2.04864       0.999803       0.969049       0.412308       0.105834        2.48699
        2.06374       0.999803       0.969049       0.412308       0.105834        2.48699
        2.07884       0.999803       0.969049       0.412308       0.105834        2.48699
        2.09394       0.999803       0.969049       0.412308       0.105834        2.48699
        2.10904       0.999803       0.969049       0.412308       0.105834        2.48699
        2.12414       0.999803       0.969049       0.412308       0.105834        2.48699
        2.13924       0.999803       0.969049       0.412308       0.105834        2.48699
        2.15434       0.999803       0.969049       0.412308       0.105834        2.48699
        2.16944       0.999803       0.969049       0.412308       0.105834        2.48699
        2.18455       0.999803       0.969049       0.412308       0.105834        2.48699
        2.19965       0.999803       0.969049       0.412308       0.105834        2.48699
        2.21475       0.999803       0.969049       0.412308       0.105834        2.48699
        2.22985       0.999803       0.969049       0.412308       0.105834        2.48699
        2.24495       0.999803       0.969049       0.412308       0.105834        2.48699
        2.26005       0.999803       0.969049       0.412308       0.105834        2.48699
        2.27515       0.999803       0.969049       0.412308       0.105834        2.48699
        2.29025       0.999803       0.969049       0.412308       0.105834        2.48699
        2.30535       0.999803       0.969049       0.412308       0.105834        2.48699
        2.32045       0.999803       0.969049       0.412308       0.105834        2.48699
        2.33556       0.999803       0.969049       0.412308       0.105834        2.48699
        2.35066       0.999803       0.969049       0.412308       0.105834        2.48699
        2.36576       0.999803       0.969049       0.412308       0.105834        2.48699
