           IM.1         mean_x        sd_ln_x
           0.01     5.8551e-62        12.2693
       0.025101    1.25376e-43        10.4081
       0.040202    8.63683e-35        9.37964
       0.055303     7.9972e-29        8.61621
       0.070404    2.95407e-24        7.98261
      0.0855051      1.508e-20         7.4286
       0.100606    1.69024e-17        6.93991
       0.115707    5.69512e-16        6.68169
       0.130808    1.30495e-14        6.44308
       0.145909    2.17041e-13        6.22109
        0.16101    2.75278e-12        6.01346
       0.176111    2.76683e-11        5.81842
       0.191212    2.27002e-10        5.63465
       0.206313    3.66604e-09        5.38214
       0.221414    1.31256e-07        5.03879
       0.236515    2.93133e-06        4.72052
       0.251616    4.24373e-05         4.4284
       0.266717    0.000418231        4.16206
       0.281818     0.00295349        3.92021
       0.296919      0.0156904        3.70107
        0.31202       0.126104        3.40792
       0.327121       0.750426        3.13534
       0.342222        3.05099        2.90306
       0.357323        9.30546        2.70419
       0.372424        22.8068        2.53302
       0.387525        47.2581        2.38487
       0.402626        88.7715        2.24882
       0.417727          168.3        2.10179
       0.432828        279.611        1.97733
       0.447929        421.105        1.87093
        0.46303         588.67        1.77915
       0.478131        776.975        1.69936
       0.493232        980.323        1.62953
       0.508333        1095.35        1.59512
       0.523434        1132.48        1.58464
       0.538535        1169.71         1.5744
       0.553636        1207.01         1.5644
       0.568737        1244.38        1.55462
       0.583838        1281.79        1.54507
       0.598939        1319.24        1.53572
        0.61404        1536.96        1.48515
       0.629141        1921.75        1.40793
       0.644242        1978.11        1.39762
       0.659343        2187.99        1.36107
       0.674444        2391.02        1.32807
       0.689545        2587.58        1.29799
       0.704646        2748.15        1.27458
       0.719747         2838.6        1.26182
       0.734848         2927.8         1.2495
       0.749949        3015.77        1.23759
       0.765051        3102.52        1.22608
       0.780152        3188.48        1.21489
       0.795253        3272.86        1.20409
       0.810354        3237.79        1.20855
       0.825455        3147.17        1.22024
       0.840556        3054.79        1.23239
       0.855657        2961.45        1.24491
       0.870758        2866.72         1.2579
       0.885859         2770.6        1.27139
        0.90096        2681.99        1.28411
       0.916061        2723.43        1.27812
       0.931162        2763.35        1.27242
       0.946263        2801.82        1.26697
       0.961364        2838.94        1.26177
       0.976465        2874.78        1.25679
       0.991566        2909.41        1.25201
        1.00667        2918.36        1.25079
        1.02177        2882.91        1.25566
        1.03687        2826.71        1.26348
        1.05197         2747.9        1.27462
        1.06707        2644.16        1.28963
        1.08217        2514.57        1.30897
        1.09727        2361.34        1.33277
        1.11237        2434.57        1.32126
        1.12747        2549.81        1.30364
        1.14258        2650.78        1.28866
        1.15768         2737.1        1.27616
        1.17278        2809.06        1.26596
