            EDP         mean_x        sd_ln_x
           0.05      0.0406199         3.7605
          0.075       0.157358        3.57591
            0.1       0.391743        3.44602
          0.125       0.773003        3.34595
           0.15        1.32299        3.26466
          0.175        2.05785        3.19628
            0.2        2.98931        3.13733
          0.225        4.12575        3.08555
           0.25         5.4729        3.03942
          0.275        7.03443        2.99784
            0.3        8.81243        2.96002
          0.325        10.8077        2.92534
           0.35          13.02        2.89334
          0.375        15.4484        2.86363
            0.4        18.0913        2.83592
          0.425        20.9464        2.80997
           0.45        24.0114        2.78556
          0.475        27.2833        2.76254
            0.5         30.759        2.74075
          0.525        34.4354        2.72007
           0.55         38.309        2.70041
          0.575        42.3764        2.68166
            0.6        46.6338        2.66375
          0.625        51.0778        2.64661
           0.65        55.7048        2.63018
          0.675        60.5109         2.6144
            0.7        65.4927        2.59922
          0.725        70.6465        2.58461
           0.75        75.9687        2.57052
          0.775        81.4558        2.55692
            0.8        87.1042        2.54377
          0.825        92.9105        2.53106
           0.85        98.8713        2.51874
          0.875        104.983        2.50681
            0.9        111.243        2.49523
          0.925        117.647        2.48399
           0.95        124.193        2.47307
          0.975        130.877        2.46244
            1.0        137.697        2.45211
          1.025        144.648        2.44205
           1.05        151.729        2.43224
          1.075        158.937        2.42268
            1.1        166.268        2.41336
          1.125        173.719        2.40426
           1.15         181.29        2.39537
          1.175        188.975        2.38669
            1.2        196.774         2.3782
          1.225        204.683         2.3699
           1.25          212.7        2.36178
          1.275        220.823        2.35383
            1.3        229.049        2.34605
          1.325        237.377        2.33843
           1.35        245.802        2.33096
          1.375        254.325        2.32363
            1.4        262.942        2.31645
          1.425        271.651        2.30941
           1.45         280.45         2.3025
          1.475        289.338        2.29571
            1.5        298.311        2.28905
          1.525         307.37        2.28251
           1.55         316.51        2.27608
          1.575        325.732        2.26976
            1.6        335.032        2.26355
          1.625        344.409        2.25745
           1.65        353.862        2.25144
          1.675        363.388        2.24553
            1.7        372.987        2.23972
          1.725        382.656          2.234
           1.75        392.394        2.22837
          1.775        402.199        2.22282
            1.8         412.07        2.21736
          1.825        422.006        2.21198
           1.85        432.005        2.20668
          1.875        442.065        2.20146
            1.9        452.185        2.19631
          1.925        462.365        2.19124
           1.95        472.601        2.18624
          1.975        482.895         2.1813
            2.0        493.243        2.17644
          2.025        503.645        2.17164
           2.05        514.099         2.1669
          2.075        524.605        2.16223
            2.1        535.161        2.15762
          2.125        545.766        2.15307
           2.15        556.419        2.14857
          2.175        567.119        2.14414
            2.2        577.865        2.13975
          2.225        588.656        2.13543
           2.25         599.49        2.13115
          2.275        610.367        2.12693
            2.3        621.286        2.12276
          2.325        632.246        2.11863
           2.35        643.245        2.11456
          2.375        654.284        2.11053
            2.4        665.361        2.10655
          2.425        676.474        2.10262
           2.45        687.625        2.09872
          2.475         698.81        2.09488
            2.5         710.03        2.09107
          2.525        721.284        2.08731
           2.55        732.571        2.08359
          2.575         743.89         2.0799
            2.6        755.241        2.07626
          2.625        766.622        2.07265
           2.65        778.033        2.06909
          2.675        789.474        2.06556
            2.7        800.943        2.06206
          2.725        812.439         2.0586
           2.75        823.963        2.05518
          2.775        835.514        2.05179
            2.8         847.09        2.04843
          2.825        858.691        2.04511
           2.85        870.317        2.04182
          2.875        881.966        2.03856
            2.9        893.639        2.03533
          2.925        905.335        2.03214
           2.95        917.052        2.02897
          2.975        928.791        2.02583
            3.0        940.551        2.02273
          3.025        952.332        2.01965
           3.05        964.132         2.0166
          3.075        975.951        2.01357
            3.1         987.79        2.01058
          3.125        999.646        2.00761
           3.15        1011.52        2.00466
          3.175        1023.41        2.00175
            3.2        1035.32        1.99886
          3.225        1047.24        1.99599
           3.25        1059.19        1.99315
          3.275        1071.14        1.99033
            3.3        1083.11        1.98754
          3.325         1095.1        1.98476
           3.35         1107.1        1.98202
          3.375        1119.11        1.97929
            3.4        1131.13        1.97659
          3.425        1143.17        1.97391
           3.45        1155.22        1.97125
          3.475        1167.29        1.96862
            3.5        1179.36          1.966
          3.525        1191.45        1.96341
           3.55        1203.54        1.96083
          3.575        1215.65        1.95828
            3.6        1227.76        1.95575
          3.625        1239.89        1.95323
           3.65        1252.03        1.95074
          3.675        1264.17        1.94826
            3.7        1276.32         1.9458
          3.725        1288.48        1.94336
           3.75        1300.65        1.94094
          3.775        1312.83        1.93854
            3.8        1325.01        1.93616
          3.825        1337.21        1.93379
           3.85         1349.4        1.93144
          3.875        1361.61        1.92911
            3.9        1373.82         1.9268
          3.925        1386.03         1.9245
           3.95        1398.26        1.92221
          3.975        1410.48        1.91995
            4.0        1422.71         1.9177
          4.025        1434.95        1.91546
           4.05        1447.19        1.91325
          4.075        1459.44        1.91104
            4.1        1471.68        1.90885
          4.125        1483.94        1.90668
           4.15        1496.19        1.90452
          4.175        1508.45        1.90238
            4.2        1520.71        1.90025
          4.225        1532.98        1.89814
           4.25        1545.24        1.89604
          4.275        1557.51        1.89395
            4.3        1569.78        1.89188
          4.325        1582.06        1.88982
           4.35        1594.33        1.88777
          4.375        1606.61        1.88574
            4.4        1618.88        1.88372
          4.425        1631.16        1.88171
           4.45        1643.44        1.87972
          4.475        1655.72        1.87774
            4.5        1667.99        1.87577
          4.525        1680.27        1.87381
           4.55        1692.55        1.87187
          4.575        1704.83        1.86994
            4.6        1717.11        1.86802
          4.625        1729.38        1.86611
           4.65        1741.66        1.86421
          4.675        1753.94        1.86233
            4.7        1766.21        1.86046
          4.725        1778.48        1.85859
           4.75        1790.75        1.85674
          4.775        1803.02         1.8549
            4.8        1815.29        1.85308
          4.825        1827.55        1.85126
           4.85        1839.82        1.84945
          4.875        1852.08        1.84765
            4.9        1864.34        1.84587
          4.925        1876.59        1.84409
           4.95        1888.84        1.84233
          4.975        1901.09        1.84057
            5.0        1913.34        1.83883
