           IM.1         mean_x        sd_ln_x
           0.01    8.21473e-10        5.72888
       0.025101    0.000107941        4.47797
       0.040202      0.0580611        3.58333
       0.055303        2.18813         2.9987
       0.070404        21.9607        2.57644
      0.0855051        104.062        2.25657
       0.100606        306.001        2.01424
       0.115707        558.521         1.8704
       0.130808         900.29        1.75332
       0.145909        1322.78        1.65901
        0.16101        1812.71        1.58415
       0.176111        2354.98          1.526
       0.191212        2939.01        1.48193
       0.206313        4319.04        1.43542
       0.221414        7497.01        1.39362
       0.236515        11744.1         1.3328
       0.251616        16498.1        1.26922
       0.266717        21208.6        1.21519
       0.281818        26503.6        1.14073
       0.296919        29500.0        1.13631
        0.31202        32899.0        1.10194
       0.327121        36000.3        1.07117
       0.342222        38847.2        1.04461
       0.357323        41463.0         1.0214
       0.372424        43864.2        1.00101
       0.387525        46067.4       0.983038
       0.402626        48139.0       0.966259
       0.417727        50298.4       0.947374
       0.432828        52359.3        0.92985
       0.447929        54330.5        0.91352
        0.46303        56219.3       0.898273
       0.478131        58031.8       0.883959
       0.493232        59773.3       0.870489
       0.508333        60557.0       0.865206
       0.523434        60640.6       0.865308
       0.538535        60706.9        0.86569
       0.553636        60770.3       0.866074
       0.568737        60831.0        0.86646
       0.583838        60889.0       0.866848
       0.598939        60944.4       0.867239
        0.61404        60877.2       0.867477
       0.629141        60799.6       0.867708
       0.644242        60720.9       0.867944
       0.659343        60640.8       0.868186
       0.674444        60559.5       0.868434
       0.689545        60476.9       0.868687
       0.704646        60990.3        0.86445
       0.719747        62789.8       0.850885
       0.734848        64538.0       0.837854
       0.749949        66226.9       0.825517
       0.765051        67853.1       0.813936
       0.780152        69419.7       0.803046
       0.795253        70927.9        0.79282
       0.810354        71295.6       0.789744
       0.825455        71149.7       0.789761
       0.840556        70992.1       0.789822
       0.855657        70822.7       0.789916
       0.870758        70642.6       0.790015
       0.885859        70445.3       0.790255
        0.90096        70287.1       0.790199
       0.916061        70913.3       0.785547
       0.931162        71535.9       0.780971
       0.946263        72152.9       0.776583
       0.961364        72762.8       0.772351
       0.976465        73364.1       0.768291
       0.991566        73950.7       0.764494
        1.00667        73991.4       0.763603
        1.02177        73317.5       0.766417
        1.03687        72600.5       0.769408
        1.05197        71837.2       0.772588
        1.06707        71030.1       0.775873
        1.08217        70166.2       0.779446
        1.09727        69222.2        0.78369
        1.11237        69289.4       0.781786
        1.12747        69547.3       0.779546
        1.14258        69784.2       0.778068
        1.15768        70023.8       0.776158
        1.17278        70254.8       0.774371
        1.18788        70347.7        0.77517
        1.20298        70940.6       0.770266
        1.21808        72328.6       0.764527
        1.23318        73603.9       0.758603
        1.24828        74801.7       0.754681
        1.26338        75918.3       0.750149
        1.27848        76960.8       0.745886
        1.29359        77933.3       0.741902
        1.30869        77278.1       0.745327
        1.32379        75286.5       0.756086
        1.33889        73098.5        0.76957
        1.35399        70760.3       0.785671
        1.36909        68344.1       0.803624
        1.38419        65905.5       0.822885
        1.39929        63483.5       0.843077
        1.41439        62468.3        0.85044
        1.42949        61492.6       0.857444
         1.4446        60486.4       0.864756
         1.4597        59463.9       0.872119
         1.4748        58395.0       0.880061
         1.4899        57291.4       0.888371
          1.505        56533.1       0.894148
         1.5201        56533.1       0.894148
         1.5352        56533.1       0.894148
         1.5503        56533.1       0.894148
         1.5654        56533.1       0.894148
        1.58051        56533.1       0.894148
        1.59561        56533.1       0.894148
        1.61071        56533.1       0.894148
        1.62581        56533.1       0.894148
        1.64091        56533.1       0.894148
        1.65601        56533.1       0.894148
        1.67111        56533.1       0.894148
        1.68621        56533.1       0.894148
        1.70131        56533.1       0.894148
        1.71641        56533.1       0.894148
        1.73152        56533.1       0.894148
        1.74662        56533.1       0.894148
        1.76172        56533.1       0.894148
        1.77682        56533.1       0.894148
        1.79192        56533.1       0.894148
        1.80702        56533.1       0.894148
        1.82212        56533.1       0.894148
        1.83722        56533.1       0.894148
        1.85232        56533.1       0.894148
        1.86742        56533.1       0.894148
        1.88253        56533.1       0.894148
        1.89763        56533.1       0.894148
        1.91273        56533.1       0.894148
        1.92783        56533.1       0.894148
        1.94293        56533.1       0.894148
        1.95803        56533.1       0.894148
        1.97313        56533.1       0.894148
        1.98823        56533.1       0.894148
        2.00333        56533.1       0.894148
        2.01843        56533.1       0.894148
        2.03354        56533.1       0.894148
        2.04864        56533.1       0.894148
        2.06374        56533.1       0.894148
        2.07884        56533.1       0.894148
        2.09394        56533.1       0.894148
        2.10904        56533.1       0.894148
        2.12414        56533.1       0.894148
        2.13924        56533.1       0.894148
        2.15434        56533.1       0.894148
        2.16944        56533.1       0.894148
        2.18455        56533.1       0.894148
        2.19965        56533.1       0.894148
        2.21475        56533.1       0.894148
        2.22985        56533.1       0.894148
        2.24495        56533.1       0.894148
        2.26005        56533.1       0.894148
        2.27515        56533.1       0.894148
        2.29025        56533.1       0.894148
        2.30535        56533.1       0.894148
        2.32045        56533.1       0.894148
        2.33556        56533.1       0.894148
        2.35066        56533.1       0.894148
        2.36576        56533.1       0.894148
        2.38086        56533.1       0.894148
        2.39596        56533.1       0.894148
        2.41106        56533.1       0.894148
        2.42616        56533.1       0.894148
        2.44126        56533.1       0.894148
        2.45636        56533.1       0.894148
        2.47146        56533.1       0.894148
        2.48657        56533.1       0.894148
        2.50167        56533.1       0.894148
        2.51677        56533.1       0.894148
