            EDP            DS1          E(DS)
            0.0            0.0            0.0
           0.01    9.41764e-19    9.41764e-19
           0.02    8.04881e-14    8.04881e-14
           0.03    2.56991e-11    2.56991e-11
           0.04     1.0398e-09     1.0398e-09
           0.05    1.46828e-08    1.46828e-08
           0.06    1.10626e-07    1.10626e-07
           0.07     5.5172e-07     5.5172e-07
           0.08    2.06064e-06    2.06064e-06
           0.09     6.2236e-06     6.2236e-06
            0.1    1.59904e-05    1.59904e-05
           0.11    3.61992e-05    3.61992e-05
           0.12    7.40482e-05    7.40482e-05
           0.13    0.000139447    0.000139447
           0.14    0.000245207    0.000245207
           0.15    0.000407054    0.000407054
           0.16    0.000643471    0.000643471
           0.17    0.000975385    0.000975385
           0.18     0.00142575     0.00142575
           0.19     0.00201902     0.00201902
            0.2     0.00278062     0.00278062
