            EDP            DS1          E(DS)
            0.0            0.0            0.0
           0.01    4.08452e-09    4.08452e-09
           0.02    6.82759e-08    6.82759e-08
           0.03    3.17577e-07    3.17577e-07
           0.04    8.99775e-07    8.99775e-07
           0.05    1.96231e-06    1.96231e-06
           0.06    3.64391e-06    3.64391e-06
           0.07     6.0717e-06     6.0717e-06
           0.08    9.36074e-06    9.36074e-06
           0.09    1.36143e-05    1.36143e-05
            0.1    1.89248e-05    1.89248e-05
           0.11    2.53745e-05    2.53745e-05
           0.12    3.30367e-05    3.30367e-05
           0.13    4.19765e-05    4.19765e-05
           0.14    5.22514e-05    5.22514e-05
           0.15    6.39126e-05    6.39126e-05
           0.16    7.70051e-05    7.70051e-05
           0.17    9.15685e-05    9.15685e-05
           0.18    0.000107638    0.000107638
           0.19    0.000125243    0.000125243
            0.2    0.000144411    0.000144411
