           IM.1            DS1          E(DS)
           0.01    2.67331e-66    2.67331e-66
       0.025101    1.58613e-28    1.58613e-28
       0.040202    1.56899e-14    1.56899e-14
       0.055303    4.92632e-08    4.92632e-08
       0.070404    7.86357e-05    7.86357e-05
      0.0855051      0.0035272      0.0035272
       0.100606      0.0271598      0.0271598
       0.115707      0.0739269      0.0739269
       0.130808       0.149367       0.149367
       0.145909       0.247072       0.247072
        0.16101       0.355744       0.355744
       0.176111       0.464286       0.464286
       0.191212       0.564685       0.564685
       0.206313       0.705209       0.705209
       0.221414       0.824524       0.824524
       0.236515       0.877753       0.877753
       0.251616       0.903243       0.903243
       0.266717       0.916084       0.916084
       0.281818       0.922561       0.922561
       0.296919       0.925417       0.925417
        0.31202       0.936349       0.936349
       0.327121       0.947281       0.947281
       0.342222       0.956064       0.956064
       0.357323       0.963133       0.963133
       0.372424       0.968943       0.968943
       0.387525       0.973906       0.973906
       0.402626       0.978172       0.978172
       0.417727       0.983337       0.983337
       0.432828       0.987486       0.987486
       0.447929       0.990772       0.990772
        0.46303       0.993332       0.993332
       0.478131       0.995278       0.995278
       0.493232       0.996713       0.996713
       0.508333       0.996865       0.996865
       0.523434       0.996112       0.996112
       0.538535       0.995251       0.995251
       0.553636       0.994308       0.994308
       0.568737        0.99324        0.99324
       0.583838       0.992064       0.992064
       0.598939       0.990783       0.990783
        0.61404       0.991688       0.991688
       0.629141       0.992688       0.992688
       0.644242       0.993611       0.993611
       0.659343       0.994458       0.994458
       0.674444       0.995209       0.995209
       0.689545       0.995915       0.995915
       0.704646       0.996055       0.996055
       0.719747       0.994943       0.994943
       0.734848       0.993672       0.993672
       0.749949       0.992176       0.992176
       0.765051       0.990471       0.990471
       0.780152       0.988552       0.988552
       0.795253       0.986417       0.986417
       0.810354       0.989609       0.989609
       0.825455       0.993956       0.993956
       0.840556       0.996849       0.996849
       0.855657       0.998572       0.998572
       0.870758       0.999418       0.999418
       0.885859       0.999877       0.999877
        0.90096        1.00003        1.00003
       0.916061        1.00001        1.00001
       0.931162        0.99999        0.99999
       0.946263       0.999972       0.999972
       0.961364       0.999954       0.999954
       0.976465       0.999886       0.999886
       0.991566       0.999868       0.999868
        1.00667       0.999757       0.999757
        1.02177        0.99971        0.99971
        1.03687       0.999547       0.999547
        1.05197       0.999478       0.999478
        1.06707       0.999396       0.999396
        1.08217       0.999398       0.999398
        1.09727       0.999263       0.999263
        1.11237       0.999275       0.999275
        1.12747        0.99932        0.99932
        1.14258       0.999364       0.999364
        1.15768       0.999405       0.999405
        1.17278       0.999444       0.999444
        1.18788       0.999481       0.999481
        1.20298       0.999596       0.999596
        1.21808       0.999774       0.999774
        1.23318        0.99993        0.99993
        1.24828       0.999977       0.999977
        1.26338       0.999994       0.999994
        1.27848       0.998121       0.998121
        1.29359        1.00002        1.00002
        1.30869        1.00002        1.00002
        1.32379        1.00002        1.00002
        1.33889       0.999992       0.999992
        1.35399        1.00007        1.00007
        1.36909       0.999903       0.999903
        1.38419       0.999694       0.999694
        1.39929       0.999521       0.999521
        1.41439       0.999681       0.999681
        1.42949       0.999662       0.999662
         1.4446       0.999768       0.999768
         1.4597       0.999981       0.999981
         1.4748            1.0            1.0
         1.4899        1.00016        1.00016
          1.505        1.00011        1.00011
         1.5201        1.00011        1.00011
         1.5352        1.00011        1.00011
         1.5503        1.00011        1.00011
         1.5654        1.00011        1.00011
        1.58051        1.00011        1.00011
        1.59561        1.00011        1.00011
        1.61071        1.00011        1.00011
        1.62581        1.00011        1.00011
        1.64091        1.00011        1.00011
        1.65601        1.00011        1.00011
        1.67111        1.00011        1.00011
        1.68621        1.00011        1.00011
        1.70131        1.00011        1.00011
        1.71641        1.00011        1.00011
        1.73152        1.00011        1.00011
        1.74662        1.00011        1.00011
        1.76172        1.00011        1.00011
        1.77682        1.00011        1.00011
        1.79192        1.00011        1.00011
        1.80702        1.00011        1.00011
        1.82212        1.00011        1.00011
        1.83722        1.00011        1.00011
        1.85232        1.00011        1.00011
        1.86742        1.00011        1.00011
        1.88253        1.00011        1.00011
        1.89763        1.00011        1.00011
        1.91273        1.00011        1.00011
        1.92783        1.00011        1.00011
        1.94293        1.00011        1.00011
        1.95803        1.00011        1.00011
        1.97313        1.00011        1.00011
        1.98823        1.00011        1.00011
        2.00333        1.00011        1.00011
        2.01843        1.00011        1.00011
        2.03354        1.00011        1.00011
        2.04864        1.00011        1.00011
        2.06374        1.00011        1.00011
        2.07884        1.00011        1.00011
        2.09394        1.00011        1.00011
        2.10904        1.00011        1.00011
        2.12414        1.00011        1.00011
        2.13924        1.00011        1.00011
        2.15434        1.00011        1.00011
        2.16944        1.00011        1.00011
        2.18455        1.00011        1.00011
        2.19965        1.00011        1.00011
        2.21475        1.00011        1.00011
        2.22985        1.00011        1.00011
        2.24495        1.00011        1.00011
        2.26005        1.00011        1.00011
        2.27515        1.00011        1.00011
        2.29025        1.00011        1.00011
        2.30535        1.00011        1.00011
        2.32045        1.00011        1.00011
        2.33556        1.00011        1.00011
        2.35066        1.00011        1.00011
        2.36576        1.00011        1.00011
        2.38086        1.00011        1.00011
        2.39596        1.00011        1.00011
        2.41106        1.00011        1.00011
        2.42616        1.00011        1.00011
        2.44126        1.00011        1.00011
        2.45636        1.00011        1.00011
        2.47146        1.00011        1.00011
        2.48657        1.00011        1.00011
        2.50167        1.00011        1.00011
        2.51677        1.00011        1.00011
        2.53187        1.00011        1.00011
        2.54697        1.00011        1.00011
        2.56207        1.00011        1.00011
        2.57717        1.00011        1.00011
        2.59227        1.00011        1.00011
        2.60737        1.00011        1.00011
        2.62247        1.00011        1.00011
        2.63758        1.00011        1.00011
        2.65268        1.00011        1.00011
        2.66778        1.00011        1.00011
        2.68288        1.00011        1.00011
        2.69798        1.00011        1.00011
        2.71308        1.00011        1.00011
        2.72818        1.00011        1.00011
        2.74328        1.00011        1.00011
        2.75838        1.00011        1.00011
        2.77348        1.00011        1.00011
        2.78859        1.00011        1.00011
        2.80369        1.00011        1.00011
        2.81879        1.00011        1.00011
        2.83389        1.00011        1.00011
        2.84899        1.00011        1.00011
        2.86409        1.00011        1.00011
        2.87919        1.00011        1.00011
        2.89429        1.00011        1.00011
        2.90939        1.00011        1.00011
        2.92449        1.00011        1.00011
         2.9396        1.00011        1.00011
         2.9547        1.00011        1.00011
         2.9698        1.00011        1.00011
         2.9849        1.00011        1.00011
            3.0        1.00011        1.00011
