           IM.1         mean_x        sd_ln_x
           0.01    1.93584e-09         5.6533
       0.025101    0.000296274        4.34116
       0.040202       0.148765        3.43758
       0.055303        5.00475        2.85282
       0.070404        44.8318        2.43422
      0.0855051        190.606        2.12441
       0.100606        509.973        1.89837
       0.115707        926.144        1.75239
       0.130808        1464.68        1.63926
       0.145909         2102.5        1.55219
        0.16101        2813.23        1.48678
       0.176111        3578.98         1.4382
       0.191212        4389.37        1.40287
       0.206313        6126.28        1.37113
       0.221414        9901.14        1.32836
       0.236515        14615.7        1.26634
       0.251616        19622.6        1.20627
       0.266717        24442.9        1.15636
       0.281818        28849.6        1.11585
       0.296919        32778.1        1.08429
        0.31202        36657.1        1.04727
       0.327121        40317.9        1.01313
       0.342222        43689.1       0.983604
       0.357323        46789.1       0.957911
       0.372424        49623.0       0.935742
       0.387525        52260.1       0.915612
       0.402626        54406.4       0.899784
       0.417727        55111.3       0.894576
       0.432828        55801.1       0.889527
       0.447929        56476.3       0.884632
        0.46303        57137.2       0.879883
       0.478131        57784.2       0.875275
       0.493232        58417.8       0.870801
       0.508333        58532.3       0.870629
       0.523434        58235.9        0.87386
       0.538535        57943.0       0.877073
       0.553636        57653.8       0.880265
       0.568737        57368.1       0.883435
       0.583838        57086.0       0.886583
       0.598939        56825.6       0.889352
        0.61404        56417.9       0.892407
       0.629141        55994.2        0.89552
       0.644242        55564.4       0.898695
       0.659343        55128.1       0.901936
       0.674444        54685.4       0.905243
       0.689545        54236.1       0.908618
       0.704646        53875.5       0.911671
       0.719747        53729.2       0.913845
       0.734848        53585.1        0.91599
       0.749949        53443.4       0.918108
       0.765051        53303.9       0.920198
       0.780152        53166.6       0.922261
       0.795253        53031.5       0.924297
       0.810354        54135.8       0.915208
       0.825455        55768.4       0.901603
       0.840556        57356.9        0.88866
       0.855657        58903.7       0.876287
       0.870758        60398.1       0.864714
       0.885859        61870.2       0.853335
        0.90096        63172.8       0.843423
       0.916061        62501.4       0.847554
       0.931162        61802.7       0.851859
       0.946263        61075.6       0.856378
       0.961364        60318.5       0.861124
       0.976465        59529.9       0.866113
       0.991566        58708.2       0.871362
        1.00667        58731.6       0.869885
        1.02177        59865.7       0.859711
        1.03687        61008.5       0.849678
        1.05197        62157.4       0.839821
        1.06707        63309.3       0.830183
        1.08217        64460.0       0.820813
        1.09727        65604.6       0.811768
        1.11237        65485.3       0.811669
        1.12747        65078.5       0.813545
        1.14258        64660.7       0.815467
        1.15768        64230.2       0.817353
        1.17278        63795.8       0.819248
        1.18788        63339.9       0.821376
        1.20298        63322.4       0.820796
        1.21808        65081.8       0.809548
        1.23318        66736.5       0.799568
        1.24828        68313.6       0.790482
        1.26338        69827.8       0.781607
        1.27848        71236.1       0.774034
        1.29359        72572.2       0.767068
        1.30869        72955.8       0.764789
        1.32379        72664.2       0.765693
        1.33889        72360.5       0.766638
        1.35399        71995.2       0.767843
        1.36909        71714.1       0.768108
        1.38419        71371.7       0.769744
        1.39929        71015.9       0.770857
        1.41439        71647.3       0.767765
        1.42949        72319.5       0.764441
         1.4446        72959.2       0.761631
         1.4597        73579.9       0.758896
         1.4748        74183.1       0.756282
         1.4899        74767.0       0.753843
          1.505        75149.0       0.752265
         1.5201        75149.0       0.752265
         1.5352        75149.0       0.752265
         1.5503        75149.0       0.752265
         1.5654        75149.0       0.752265
        1.58051        75149.0       0.752265
        1.59561        75149.0       0.752265
        1.61071        75149.0       0.752265
        1.62581        75149.0       0.752265
        1.64091        75149.0       0.752265
        1.65601        75149.0       0.752265
        1.67111        75149.0       0.752265
        1.68621        75149.0       0.752265
        1.70131        75149.0       0.752265
        1.71641        75149.0       0.752265
        1.73152        75149.0       0.752265
        1.74662        75149.0       0.752265
        1.76172        75149.0       0.752265
        1.77682        75149.0       0.752265
        1.79192        75149.0       0.752265
        1.80702        75149.0       0.752265
        1.82212        75149.0       0.752265
        1.83722        75149.0       0.752265
        1.85232        75149.0       0.752265
        1.86742        75149.0       0.752265
        1.88253        75149.0       0.752265
        1.89763        75149.0       0.752265
        1.91273        75149.0       0.752265
        1.92783        75149.0       0.752265
        1.94293        75149.0       0.752265
        1.95803        75149.0       0.752265
        1.97313        75149.0       0.752265
        1.98823        75149.0       0.752265
        2.00333        75149.0       0.752265
        2.01843        75149.0       0.752265
        2.03354        75149.0       0.752265
        2.04864        75149.0       0.752265
        2.06374        75149.0       0.752265
        2.07884        75149.0       0.752265
        2.09394        75149.0       0.752265
        2.10904        75149.0       0.752265
        2.12414        75149.0       0.752265
        2.13924        75149.0       0.752265
        2.15434        75149.0       0.752265
        2.16944        75149.0       0.752265
        2.18455        75149.0       0.752265
        2.19965        75149.0       0.752265
