            EDP         lambda
          0.001      0.0256602
     0.00102353      0.0246799
     0.00104762       0.023745
     0.00107227      0.0228407
      0.0010975       0.021971
     0.00112332      0.0211379
     0.00114976      0.0203337
     0.00117681      0.0195608
      0.0012045      0.0188347
     0.00123285      0.0181109
     0.00126186      0.0174246
     0.00129155      0.0167647
     0.00132194      0.0161295
     0.00135305      0.0155182
     0.00138489      0.0149386
     0.00141747       0.014378
     0.00145083      0.0138305
     0.00148497       0.013302
     0.00151991      0.0127913
     0.00155568      0.0122973
     0.00159228      0.0118207
     0.00162975      0.0113571
      0.0016681      0.0109108
     0.00170735      0.0104696
     0.00174753      0.0100507
     0.00178865     0.00964038
     0.00183074     0.00924245
     0.00187382     0.00885662
     0.00191791     0.00848263
     0.00196304     0.00812034
     0.00200923     0.00776965
     0.00205651     0.00743052
      0.0021049     0.00710294
     0.00215443     0.00678307
     0.00220513     0.00647393
     0.00225702     0.00618124
     0.00231013     0.00590022
     0.00236449     0.00563086
     0.00242013     0.00537336
     0.00247708     0.00512513
     0.00253536     0.00489048
     0.00259502     0.00466743
     0.00265609     0.00445502
     0.00271859     0.00425476
     0.00278256     0.00406538
     0.00284804     0.00388582
     0.00291505     0.00371625
     0.00298365     0.00355742
     0.00305386     0.00340771
     0.00312572     0.00326613
     0.00319927      0.0031331
     0.00327455     0.00300818
      0.0033516     0.00289092
     0.00343047     0.00278065
     0.00351119     0.00267723
     0.00359381     0.00258011
     0.00367838     0.00248884
     0.00376494     0.00240298
     0.00385353     0.00232093
     0.00394421      0.0022448
     0.00403702     0.00217285
     0.00413201     0.00210471
     0.00422924     0.00204122
     0.00432876     0.00197816
     0.00443062     0.00191978
     0.00453488     0.00186394
     0.00464159     0.00181103
     0.00475081     0.00175951
      0.0048626     0.00170683
     0.00497702     0.00166505
     0.00509414     0.00161915
     0.00521401     0.00157208
      0.0053367     0.00152915
     0.00546228     0.00148759
     0.00559081     0.00144729
     0.00572237     0.00140817
     0.00585702     0.00137019
     0.00599484     0.00133326
     0.00613591     0.00129735
     0.00628029     0.00126241
     0.00642807      0.0012284
     0.00657933     0.00119534
     0.00673415     0.00116306
     0.00689261     0.00113163
      0.0070548     0.00110101
     0.00722081     0.00107119
     0.00739072     0.00104214
     0.00756463     0.00101385
     0.00774264    0.000986297
     0.00792483    0.000959468
     0.00811131    0.000933345
     0.00830218    0.000907915
     0.00849753     0.00088328
     0.00869749    0.000859192
     0.00890215    0.000835757
     0.00911163    0.000812963
     0.00932603    0.000790797
     0.00954548     0.00076925
      0.0097701    0.000748309
           0.01    0.000727965
      0.0102353     0.00070865
      0.0104762    0.000689457
      0.0107227    0.000670829
       0.010975    0.000652757
      0.0112332    0.000635232
      0.0114976    0.000618245
      0.0117681    0.000601786
       0.012045    0.000585845
      0.0123285    0.000570415
      0.0126186    0.000554232
      0.0129155    0.000539853
      0.0132194    0.000525953
      0.0135305     0.00051252
      0.0138489    0.000499547
      0.0141747    0.000487022
      0.0145083    0.000474838
      0.0148497    0.000463184
      0.0151991    0.000451997
      0.0155568     0.00044117
      0.0159228    0.000430744
      0.0162975    0.000420709
       0.016681    0.000411054
      0.0170735    0.000401771
      0.0174753    0.000392848
      0.0178865    0.000384277
      0.0183074    0.000376048
      0.0187382    0.000368151
      0.0191791    0.000360577
      0.0196304    0.000353315
      0.0200923    0.000346357
      0.0205651    0.000339693
       0.021049    0.000337283
      0.0215443    0.000324141
      0.0220513    0.000318378
      0.0225702    0.000315795
      0.0231013    0.000310465
      0.0236449    0.000305375
      0.0242013    0.000300113
      0.0247708    0.000295482
      0.0253536    0.000291065
      0.0259502    0.000286856
      0.0265609    0.000282846
      0.0271859    0.000279028
      0.0278256    0.000275394
      0.0284804    0.000271937
      0.0291505    0.000268649
      0.0298365    0.000265524
      0.0305386    0.000262556
      0.0312572    0.000259736
      0.0319927     0.00025706
      0.0327455    0.000257582
       0.033516    0.000255163
      0.0343047    0.000252869
      0.0351119    0.000250659
      0.0359381    0.000248599
      0.0367838    0.000246649
      0.0376494    0.000244803
      0.0385353    0.000243056
      0.0394421    0.000241404
      0.0403702    0.000239841
      0.0413201    0.000238365
      0.0422924    0.000236969
      0.0432876    0.000235651
      0.0443062    0.000234407
      0.0453488    0.000233233
      0.0464159    0.000232125
      0.0475081     0.00023108
       0.048626    0.000230095
      0.0497702    0.000229166
      0.0509414    0.000228292
      0.0521401    0.000227468
       0.053367    0.000226692
      0.0546228    0.000225962
      0.0559081    0.000225275
      0.0572237    0.000224629
      0.0585702    0.000224021
      0.0599484    0.000223371
      0.0613591    0.000222834
      0.0628029     0.00022233
      0.0642807    0.000221857
      0.0657933    0.000221413
      0.0673415    0.000220996
      0.0689261    0.000220606
       0.070548    0.000220239
      0.0722081    0.000219896
      0.0739072    0.000219574
      0.0756463    0.000219272
      0.0774264     0.00021899
      0.0792483    0.000218726
      0.0811131    0.000218478
      0.0830218    0.000218247
      0.0849753    0.000218031
      0.0869749    0.000217829
      0.0890215     0.00021764
      0.0911163    0.000217463
      0.0932603    0.000217299
      0.0954548    0.000217145
       0.097701    0.000217002
            0.1    0.000216868
