           IM.1         mean_x        sd_ln_x
           0.01    1.13123e-12          6.278
       0.025101    1.67836e-07        5.23403
       0.040202    9.72878e-05        4.48757
       0.055303     0.00887297        3.85855
       0.070404       0.204079        3.38588
      0.0855051        1.95508        3.01664
       0.100606        10.1413        2.72353
       0.115707        17.6676        2.61877
       0.130808        28.9283        2.52253
       0.145909        44.9518         2.4337
        0.16101        66.8001        2.35141
       0.176111         95.538         2.2749
       0.191212        132.148        2.20362
       0.206313        179.192        2.13557
       0.221414        240.076        2.06993
       0.236515        314.345        2.00901
       0.251616        402.752        1.95279
       0.266717        505.604        1.90159
       0.281818        622.833        1.85546
       0.296919        754.116        1.81439
        0.31202        888.613        1.77959
       0.327121        1031.48        1.74901
       0.342222        1184.61        1.72213
       0.357323        1347.97        1.69862
       0.372424        1521.53        1.67825
       0.387525         1705.5        1.66068
       0.402626        1927.35        1.64556
       0.417727        2313.35        1.63418
       0.432828        2759.71        1.62498
       0.447929        3273.91        1.61462
        0.46303        3859.32        1.60203
       0.478131        4514.91        1.58703
       0.493232        5236.08        1.57004
       0.508333        5326.82        1.56673
       0.523434        4887.56        1.57472
       0.538535        4472.48        1.58152
       0.553636        4083.63        1.58694
       0.568737        3722.65        1.59075
       0.583838        3390.65        1.59277
       0.598939        3087.85        1.59312
        0.61404        3304.51        1.58974
       0.629141        3576.69        1.58552
       0.644242        3866.28        1.58071
       0.659343        4173.57        1.57519
       0.674444        4498.26        1.56902
       0.689545        4839.82        1.56223
       0.704646        5269.04         1.5521
       0.719747        5886.73        1.53541
       0.734848        6536.03        1.51872
       0.749949        7213.66         1.5022
       0.765051        7916.16        1.48591
       0.780152        8639.49        1.46998
       0.795253        9380.16        1.45447
       0.810354        9690.73        1.44662
       0.825455        9798.24        1.44225
       0.840556        9905.24        1.43791
       0.855657        10011.8        1.43361
       0.870758        10117.8        1.42934
       0.885859        11000.3        1.37274
        0.90096        10288.3        1.42152
       0.916061        10591.5         1.3688
       0.931162        9243.42        1.43232
       0.946263        8734.88        1.43693
       0.961364        8239.16         1.4408
       0.976465        7759.31        1.44364
       0.991566        7299.77         1.4451
        1.00667        7557.21        1.43886
        1.02177        9790.84         1.3425
        1.03687        10066.7        1.40302
        1.05197        11412.0        1.38357
        1.06707        12787.4        1.36426
        1.08217        14174.9         1.3455
        1.09727        15559.6        1.32759
        1.11237        17110.6        1.30048
        1.12747        18682.6        1.27348
        1.14258        20239.6        1.24818
        1.15768        21766.3        1.22488
        1.17278        23267.8        1.20303
        1.18788        24741.3        1.18273
        1.20298        25582.3        1.17085
        1.21808        23953.2        1.18841
        1.23318        22261.8        1.20793
        1.24828        20514.6        1.22933
        1.26338        18735.7        1.25219
        1.27848        16928.3        1.27726
        1.29359        15106.7        1.30445
        1.30869        15919.0        1.29105
        1.32379        18664.8        1.25062
        1.33889        21355.8        1.21519
        1.35399        23965.9        1.18344
        1.36909        26447.5        1.15605
        1.38419        28816.0        1.13141
        1.39929        31055.6         1.1095
        1.41439        28591.5        1.12655
        1.42949        25641.5        1.14756
         1.4446        22403.5        1.17441
         1.4597        18893.2         1.2074
         1.4748        15395.1        1.23849
         1.4899        11975.2        1.26891
          1.505        9977.16        1.27878
         1.5201        9977.16        1.27878
         1.5352        9977.16        1.27878
         1.5503        9977.16        1.27878
         1.5654        9977.16        1.27878
        1.58051        9977.16        1.27878
        1.59561        9977.16        1.27878
        1.61071        9977.16        1.27878
        1.62581        9977.16        1.27878
        1.64091        9977.16        1.27878
        1.65601        9977.16        1.27878
        1.67111        9977.16        1.27878
        1.68621        9977.16        1.27878
        1.70131        9977.16        1.27878
        1.71641        9977.16        1.27878
        1.73152        9977.16        1.27878
        1.74662        9977.16        1.27878
        1.76172        9977.16        1.27878
        1.77682        9977.16        1.27878
        1.79192        9977.16        1.27878
        1.80702        9977.16        1.27878
        1.82212        9977.16        1.27878
        1.83722        9977.16        1.27878
        1.85232        9977.16        1.27878
        1.86742        9977.16        1.27878
        1.88253        9977.16        1.27878
        1.89763        9977.16        1.27878
        1.91273        9977.16        1.27878
        1.92783        9977.16        1.27878
        1.94293        9977.16        1.27878
        1.95803        9977.16        1.27878
        1.97313        9977.16        1.27878
        1.98823        9977.16        1.27878
        2.00333        9977.16        1.27878
        2.01843        9977.16        1.27878
        2.03354        9977.16        1.27878
        2.04864        9977.16        1.27878
        2.06374        9977.16        1.27878
        2.07884        9977.16        1.27878
        2.09394        9977.16        1.27878
        2.10904        9977.16        1.27878
        2.12414        9977.16        1.27878
        2.13924        9977.16        1.27878
        2.15434        9977.16        1.27878
        2.16944        9977.16        1.27878
        2.18455        9977.16        1.27878
        2.19965        9977.16        1.27878
        2.21475        9977.16        1.27878
        2.22985        9977.16        1.27878
        2.24495        9977.16        1.27878
        2.26005        9977.16        1.27878
        2.27515        9977.16        1.27878
        2.29025        9977.16        1.27878
        2.30535        9977.16        1.27878
        2.32045        9977.16        1.27878
        2.33556        9977.16        1.27878
        2.35066        9977.16        1.27878
        2.36576        9977.16        1.27878
        2.38086        9977.16        1.27878
        2.39596        9977.16        1.27878
        2.41106        9977.16        1.27878
        2.42616        9977.16        1.27878
        2.44126        9977.16        1.27878
        2.45636        9977.16        1.27878
        2.47146        9977.16        1.27878
        2.48657        9977.16        1.27878
        2.50167        9977.16        1.27878
        2.51677        9977.16        1.27878
        2.53187        9977.16        1.27878
        2.54697        9977.16        1.27878
        2.56207        9977.16        1.27878
        2.57717        9977.16        1.27878
        2.59227        9977.16        1.27878
        2.60737        9977.16        1.27878
        2.62247        9977.16        1.27878
        2.63758        9977.16        1.27878
        2.65268        9977.16        1.27878
        2.66778        9977.16        1.27878
        2.68288        9977.16        1.27878
        2.69798        9977.16        1.27878
        2.71308        9977.16        1.27878
        2.72818        9977.16        1.27878
        2.74328        9977.16        1.27878
        2.75838        9977.16        1.27878
        2.77348        9977.16        1.27878
        2.78859        9977.16        1.27878
        2.80369        9977.16        1.27878
        2.81879        9977.16        1.27878
        2.83389        9977.16        1.27878
        2.84899        9977.16        1.27878
        2.86409        9977.16        1.27878
        2.87919        9977.16        1.27878
        2.89429        9977.16        1.27878
        2.90939        9977.16        1.27878
        2.92449        9977.16        1.27878
         2.9396        9977.16        1.27878
         2.9547        9977.16        1.27878
         2.9698        9977.16        1.27878
         2.9849        9977.16        1.27878
            3.0        9977.16        1.27878
