              t           Rate
         0.0001       0.111987
         0.0049       0.071285
         0.0097      0.0652573
         0.0145      0.0618404
         0.0193      0.0595013
         0.0241      0.0577201
         0.0289      0.0562867
         0.0337      0.0553666
         0.0385       0.054065
         0.0433      0.0531697
         0.0481      0.0523759
         0.0529      0.0516601
         0.0577      0.0510129
         0.0625      0.0504092
         0.0673      0.0498731
         0.0721      0.0493711
         0.0769       0.048904
         0.0817      0.0484675
         0.0865       0.048058
         0.0913      0.0476725
         0.0961      0.0472783
         0.1009      0.0469333
         0.1057      0.0466057
         0.1105      0.0462939
         0.1153      0.0459964
         0.1201      0.0457121
         0.1249      0.0454398
         0.1297      0.0451787
         0.1345      0.0449279
         0.1393      0.0446867
         0.1441      0.0444542
         0.1489      0.0442301
         0.1537      0.0440137
         0.1585      0.0438045
         0.1633      0.0436021
         0.1681       0.043406
         0.1729       0.043216
         0.1777      0.0430426
         0.1825      0.0428634
         0.1873      0.0426892
         0.1921      0.0425199
         0.1969      0.0423551
         0.2017      0.0421946
         0.2065      0.0420382
         0.2113      0.0418874
         0.2161      0.0417386
         0.2209      0.0415934
         0.2257      0.0414515
         0.2305      0.0412988
         0.2353      0.0411632
         0.2401      0.0410306
         0.2449      0.0409009
         0.2497      0.0407739
         0.2545      0.0406495
         0.2593      0.0405277
         0.2641      0.0404083
         0.2689       0.040306
         0.2737      0.0401913
         0.2785      0.0400787
         0.2833      0.0399682
         0.2881      0.0398598
         0.2929      0.0397533
         0.2977      0.0396487
         0.3025      0.0395459
         0.3073      0.0394449
         0.3121      0.0393455
         0.3169      0.0392479
         0.3217      0.0391518
         0.3265      0.0390573
         0.3313       0.038961
         0.3361      0.0388694
         0.3409      0.0387793
         0.3457      0.0386905
         0.3505      0.0386031
         0.3553      0.0385169
         0.3601       0.038432
         0.3649      0.0383484
         0.3697      0.0382659
         0.3745      0.0381846
         0.3793      0.0381044
         0.3841      0.0380253
         0.3889      0.0379473
         0.3937      0.0378704
         0.3985      0.0377944
         0.4033      0.0377195
         0.4081      0.0376455
         0.4129      0.0375724
         0.4177      0.0375003
         0.4225      0.0374291
         0.4273      0.0373587
