            EDP         lambda
          0.001      0.0387602
     0.00102353      0.0373043
     0.00104762      0.0358983
     0.00107227      0.0345277
      0.0010975      0.0332251
     0.00112332      0.0319626
     0.00114976      0.0307525
     0.00117681      0.0296182
      0.0012045      0.0273853
     0.00123285      0.0274236
     0.00126186      0.0263934
     0.00129155      0.0253984
     0.00132194      0.0244376
     0.00135305      0.0235198
     0.00138489      0.0226415
     0.00141747      0.0217944
     0.00145083      0.0209842
     0.00148497      0.0202039
     0.00151991      0.0194553
     0.00155568      0.0187465
     0.00159228      0.0180607
     0.00162975      0.0173985
      0.0016681      0.0167655
     0.00170735      0.0161584
     0.00174753      0.0155761
     0.00178865      0.0150244
     0.00183074      0.0144943
     0.00187382      0.0139785
     0.00191791      0.0134827
     0.00196304      0.0130058
     0.00200923      0.0125468
     0.00205651      0.0121045
      0.0021049      0.0116782
     0.00215443       0.011268
     0.00220513      0.0108706
     0.00225702      0.0104908
     0.00231013      0.0101166
     0.00236449       0.009757
     0.00242013     0.00941029
     0.00247708     0.00907362
     0.00253536     0.00874785
     0.00259502     0.00843256
     0.00265609     0.00812741
     0.00271859     0.00783211
     0.00278256     0.00754645
     0.00284804     0.00726612
     0.00291505     0.00699916
     0.00298365     0.00674134
     0.00305386     0.00648768
     0.00312572     0.00624783
     0.00319927     0.00601681
     0.00327455     0.00579451
      0.0033516     0.00558085
     0.00343047     0.00537456
     0.00351119     0.00517563
     0.00359381     0.00498954
     0.00367838     0.00480935
     0.00376494     0.00463718
     0.00385353     0.00447284
     0.00394421     0.00431657
     0.00403702     0.00416732
     0.00413201     0.00402529
     0.00422924     0.00389033
     0.00432876     0.00376411
     0.00443062     0.00364233
     0.00453488     0.00352707
     0.00464159     0.00341739
     0.00475081     0.00331339
      0.0048626     0.00321478
     0.00497702     0.00312795
     0.00509414     0.00303917
     0.00521401     0.00295493
      0.0053367     0.00287495
     0.00546228     0.00279894
     0.00559081     0.00272524
     0.00572237     0.00265657
     0.00585702     0.00259108
     0.00599484     0.00252854
     0.00613591     0.00246872
     0.00628029      0.0024128
     0.00642807     0.00235569
     0.00657933     0.00230342
     0.00673415     0.00225869
     0.00689261     0.00220444
      0.0070548     0.00215683
     0.00722081     0.00211075
     0.00739072      0.0020614
     0.00756463     0.00202277
     0.00774264     0.00198065
     0.00792483     0.00193965
     0.00811131     0.00189971
     0.00830218     0.00186074
     0.00849753     0.00182269
     0.00869749      0.0017855
     0.00890215     0.00174911
     0.00911163     0.00171349
     0.00932603      0.0016786
     0.00954548     0.00164444
      0.0097701      0.0016109
           0.01       0.001578
      0.0102353      0.0015457
      0.0104762       0.001514
      0.0107227     0.00148286
       0.010975     0.00145234
      0.0112332     0.00142226
      0.0114976      0.0013927
      0.0117681     0.00136366
       0.012045     0.00133511
      0.0123285     0.00130706
      0.0126186     0.00127948
      0.0129155     0.00125236
      0.0132194     0.00122571
      0.0135305      0.0011995
      0.0138489     0.00117374
      0.0141747     0.00114841
      0.0145083     0.00112351
      0.0148497     0.00109902
      0.0151991     0.00107495
      0.0155568     0.00105106
      0.0159228      0.0010278
      0.0162975     0.00100494
       0.016681     0.00098248
      0.0170735    0.000960406
      0.0174753    0.000938719
      0.0178865    0.000917716
      0.0183074     0.00089678
      0.0187382     0.00087622
      0.0191791    0.000856036
      0.0196304    0.000836224
      0.0200923    0.000816784
      0.0205651    0.000797713
       0.021049    0.000779011
      0.0215443    0.000760676
      0.0220513    0.000742706
      0.0225702    0.000725101
      0.0231013    0.000707858
      0.0236449    0.000690978
      0.0242013    0.000674459
      0.0247708    0.000658485
      0.0253536    0.000642683
      0.0259502     0.00062605
      0.0265609    0.000611018
      0.0271859    0.000596339
      0.0278256    0.000582012
      0.0284804    0.000568021
      0.0291505    0.000554405
      0.0298365    0.000541139
      0.0305386     0.00052822
      0.0312572    0.000515648
      0.0319927    0.000503419
      0.0327455    0.000491532
       0.033516    0.000479984
      0.0343047    0.000468674
      0.0351119    0.000457779
      0.0359381    0.000443349
      0.0367838     0.00043315
      0.0376494    0.000426908
      0.0385353    0.000417417
      0.0394421    0.000406222
      0.0403702    0.000399169
      0.0413201    0.000390507
      0.0422924    0.000381265
      0.0432876    0.000373281
      0.0443062    0.000365585
      0.0453488    0.000358171
      0.0464159    0.000351035
      0.0475081    0.000344171
       0.048626    0.000337574
      0.0497702    0.000331237
      0.0509414    0.000325156
      0.0521401    0.000319324
       0.053367    0.000313735
      0.0546228    0.000308383
      0.0559081    0.000303262
      0.0572237    0.000298212
      0.0585702    0.000293536
      0.0599484    0.000289072
      0.0613591    0.000284814
      0.0628029    0.000280634
      0.0642807    0.000276769
      0.0657933    0.000273091
      0.0673415    0.000269594
      0.0689261    0.000266271
       0.070548    0.000263154
      0.0722081    0.000260155
      0.0739072    0.000257313
      0.0756463    0.000254623
      0.0774264    0.000252078
      0.0792483    0.000249673
      0.0811131    0.000247401
      0.0830218    0.000245258
      0.0849753    0.000243237
      0.0869749    0.000241332
      0.0890215     0.00023954
      0.0911163    0.000237854
      0.0932603    0.000236269
      0.0954548    0.000234781
       0.097701    0.000233385
            0.1    0.000232076
