            EDP            DS1            DS2          E(DS)
            0.0            0.0            0.0            0.0
           0.01    5.88621e-05     1.8783e-06    6.07404e-05
           0.02      0.0270891     0.00580194      0.0328911
           0.03       0.212111       0.097611       0.309722
           0.04            0.5       0.335958       0.835958
           0.05       0.732319       0.599739        1.33206
           0.06       0.869979       0.789637        1.65962
           0.07       0.939966       0.898364        1.83833
           0.08       0.972911       0.953221        1.92613
           0.09       0.987857       0.979016        1.96687
            0.1        0.99454       0.990692        1.98523
           0.11       0.997523       0.995878         1.9934
           0.12       0.998862       0.998167        1.99703
           0.13        0.99947       0.999178        1.99865
           0.14       0.999749       0.999628        1.99938
           0.15       0.999879       0.999829        1.99971
           0.16       0.999941       0.999921        1.99986
           0.17       0.999971       0.999963        1.99993
           0.18       0.999985       0.999982        1.99997
           0.19       0.999992       0.999991        1.99998
            0.2       0.999996       0.999996        1.99999
