           IM.1            DS1            DS2          E(DS)
           0.01      7.801e-49    1.26696e-60      7.801e-49
       0.025101    6.84927e-33    7.42285e-41    6.84927e-33
       0.040202    3.90534e-25    5.02627e-31    3.90534e-25
       0.055303    6.11211e-20    2.29873e-24    6.11234e-20
       0.070404    4.23386e-16    1.94467e-19    4.23581e-16
      0.0855051    3.71519e-13    1.09459e-15    3.72614e-13
       0.100606    6.62234e-11    7.46348e-13    6.69697e-11
       0.115707    6.67366e-10    1.10125e-11    6.78379e-10
       0.130808    4.44452e-09    1.00814e-10    4.54533e-09
       0.145909    2.18443e-08    6.49812e-10    2.24941e-08
        0.16101    8.52165e-08    3.20538e-09    8.84219e-08
       0.176111    2.77385e-07    1.28223e-08    2.90208e-07
       0.191212    7.80943e-07    4.33312e-08    8.24274e-07
       0.206313     7.4315e-06    6.91552e-07    8.12305e-06
       0.221414      0.0001583    3.03054e-05    0.000188606
       0.236515     0.00125031    0.000378843     0.00162915
       0.251616     0.00524143     0.00214738     0.00738881
       0.266717      0.0145095     0.00729601      0.0218055
       0.281818      0.0304109      0.0176496      0.0480605
       0.296919      0.0526776      0.0338961      0.0865737
        0.31202      0.0672338      0.0447402       0.111974
       0.327121      0.0796762      0.0540256       0.133702
       0.342222      0.0927808      0.0640077       0.156788
       0.357323       0.106454      0.0746126       0.181067
       0.372424       0.120586       0.085767       0.206353
       0.387525       0.135098      0.0973998       0.232498
       0.402626       0.148921       0.108565       0.257486
       0.417727       0.158243       0.115399       0.273641
       0.432828        0.16767       0.122289       0.289958
       0.447929       0.177215       0.129244       0.306459
        0.46303       0.186892       0.136274       0.323166
       0.478131       0.196718       0.143391       0.340109
       0.493232       0.206712       0.150606       0.357318
       0.508333       0.215863       0.158132       0.373995
       0.523434        0.22407       0.166517       0.390587
       0.538535       0.232074       0.174776        0.40685
       0.553636       0.239871       0.183188       0.423059
       0.568737       0.247458       0.191148       0.438605
       0.583838       0.254834       0.198945       0.453779
       0.598939          0.262       0.206487       0.468486
        0.61404       0.259771       0.203855       0.463626
       0.629141        0.25678       0.200297       0.457077
       0.644242       0.253724       0.197493       0.451216
       0.659343       0.250601        0.19298       0.443581
       0.674444       0.247411        0.18922       0.436631
       0.689545       0.244153       0.185393       0.429546
       0.704646        0.24242       0.183622       0.426041
       0.719747       0.244203       0.186538       0.430741
       0.734848        0.24592       0.189355       0.435274
       0.749949        0.24757       0.192074       0.439644
       0.765051       0.249156       0.194697       0.443852
       0.780152       0.250677       0.197226       0.447903
       0.795253       0.252137       0.199583        0.45172
       0.810354       0.253091       0.198905       0.451997
       0.825455       0.253695       0.197138       0.450833
       0.840556       0.254157        0.19331       0.447467
       0.855657        0.25451       0.189818       0.444328
       0.870758       0.254805       0.185861       0.440666
       0.885859       0.255136       0.181478       0.436613
        0.90096       0.255856       0.177347       0.433203
       0.916061       0.260817       0.182853        0.44367
       0.931162       0.265692         0.1883       0.453993
       0.946263       0.270479       0.193888       0.464368
       0.961364       0.275177       0.198979       0.474156
       0.976465       0.279781       0.204221       0.484002
       0.991566       0.284271       0.209388       0.493659
        1.00667       0.278611          0.205       0.483611
        1.02177       0.260085       0.188686       0.448771
        1.03687       0.241431        0.17255       0.413982
        1.05197       0.222753       0.156231       0.378985
        1.06707       0.204128       0.141148       0.345275
        1.08217       0.185663       0.126038       0.311701
        1.09727       0.167446        0.11145       0.278896
        1.11237       0.157774       0.103465        0.26124
        1.12747       0.149967       0.096965       0.246932
        1.14258       0.142211      0.0905914       0.232802
        1.15768       0.134537      0.0843608       0.218898
        1.17278       0.126925      0.0782905       0.205215
        1.18788       0.119409      0.0723903       0.191799
        1.20298       0.116443      0.0696221       0.186065
        1.21808       0.132178      0.0793015       0.211479
        1.23318       0.148947      0.0896742       0.238621
        1.24828         0.1669       0.100815       0.267715
        1.26338       0.186058       0.112809       0.298867
        1.27848       0.206562       0.124604       0.331166
        1.29359       0.228463       0.139841       0.368304
