              t           Rate
         0.0001      0.0133467
         0.0049      0.0107267
         0.0097      0.0101923
         0.0145     0.00987043
         0.0193     0.00963897
         0.0241     0.00945806
         0.0289     0.00930954
         0.0337     0.00918359
         0.0385     0.00907427
         0.0433     0.00897772
         0.0481     0.00889128
         0.0529      0.0088131
         0.0577     0.00872046
         0.0625     0.00865518
         0.0673     0.00859483
         0.0721     0.00853866
         0.0769     0.00848614
         0.0817     0.00843684
         0.0865     0.00839037
         0.0913     0.00834645
         0.0961      0.0083048
         0.1009     0.00826522
         0.1057     0.00822749
         0.1105     0.00819147
         0.1153     0.00815701
         0.1201     0.00812398
         0.1249     0.00809226
         0.1297     0.00806176
         0.1345      0.0080324
         0.1393     0.00800408
         0.1441     0.00797674
         0.1489     0.00795032
         0.1537     0.00792475
         0.1585     0.00789999
         0.1633     0.00787598
         0.1681     0.00785269
         0.1729     0.00783007
         0.1777     0.00780808
         0.1825      0.0077867
         0.1873     0.00776588
         0.1921      0.0077456
         0.1969     0.00772584
         0.2017     0.00756594
         0.2065     0.00754746
         0.2113     0.00752943
         0.2161     0.00751182
         0.2209     0.00764665
         0.2257     0.00762938
         0.2305     0.00761248
         0.2353     0.00759595
         0.2401     0.00757976
         0.2449      0.0075639
         0.2497     0.00754835
         0.2545     0.00753312
         0.2593     0.00751818
         0.2641     0.00750352
         0.2689     0.00748913
         0.2737     0.00747501
         0.2785     0.00746114
         0.2833     0.00744752
         0.2881     0.00743413
         0.2929     0.00742098
         0.2977     0.00740804
         0.3025     0.00739532
         0.3073     0.00738281
         0.3121      0.0073705
         0.3169     0.00735838
         0.3217     0.00734646
         0.3265     0.00733471
         0.3313     0.00731905
         0.3361     0.00730765
         0.3409     0.00729643
         0.3457     0.00728537
         0.3505     0.00727446
         0.3553     0.00726372
         0.3601     0.00725312
         0.3649     0.00724267
         0.3697     0.00723235
         0.3745     0.00722218
         0.3793     0.00721215
         0.3841     0.00720224
         0.3889     0.00719246
         0.3937     0.00718281
         0.3985     0.00717328
         0.4033     0.00716387
         0.4081     0.00715457
         0.4129     0.00714539
         0.4177     0.00713632
         0.4225     0.00712736
         0.4273      0.0071185
         0.4321     0.00710975
         0.4369     0.00710109
         0.4417     0.00709254
         0.4465     0.00708408
         0.4513     0.00707572
         0.4561     0.00706745
         0.4609     0.00705927
         0.4657     0.00705117
         0.4705     0.00704317
         0.4753     0.00703525
         0.4801     0.00702741
         0.4849     0.00701966
         0.4897     0.00701198
         0.4945     0.00700438
         0.4993     0.00699686
         0.5041     0.00698942
         0.5089     0.00698205
         0.5137     0.00697475
         0.5185     0.00696752
         0.5233     0.00696036
         0.5281     0.00695327
         0.5329     0.00694625
         0.5377      0.0069393
         0.5425     0.00693241
         0.5473     0.00692558
         0.5521     0.00691881
         0.5569     0.00691211
         0.5617     0.00690546
         0.5665     0.00689888
         0.5713     0.00689235
         0.5761     0.00688589
         0.5809     0.00687947
         0.5857     0.00687312
         0.5905     0.00686681
         0.5953     0.00686057
         0.6001     0.00685437
         0.6049     0.00684823
         0.6097     0.00684213
         0.6145     0.00683609
         0.6193     0.00683009
         0.6241     0.00682415
         0.6289     0.00681425
         0.6337      0.0068084
         0.6385      0.0068026
         0.6433     0.00679684
         0.6481     0.00679113
         0.6529     0.00678546
         0.6577       0.006786
         0.6625     0.00678022
         0.6673     0.00677447
         0.6721     0.00676877
         0.6769     0.00676312
         0.6817      0.0067575
         0.6865     0.00675194
         0.6913     0.00674641
         0.6961     0.00673634
         0.7009     0.00673108
         0.7057     0.00672586
         0.7105     0.00672068
         0.7153     0.00671441
         0.7201      0.0067093
         0.7249     0.00670422
         0.7297     0.00669918
         0.7345     0.00669417
         0.7393     0.00668843
         0.7441     0.00668351
         0.7489     0.00667862
         0.7537     0.00667376
         0.7585     0.00666894
         0.7633     0.00666414
         0.7681     0.00665938
         0.7729     0.00665465
         0.7777     0.00664995
         0.7825     0.00664529
         0.7873     0.00664065
         0.7921     0.00663604
         0.7969     0.00663146
         0.8017     0.00662691
         0.8065     0.00662239
         0.8113     0.00661789
         0.8161     0.00661343
         0.8209     0.00660899
         0.8257     0.00660458
         0.8305     0.00660019
         0.8353     0.00659583
         0.8401      0.0065915
         0.8449      0.0065872
         0.8497     0.00658292
         0.8545     0.00657866
         0.8593     0.00657443
         0.8641     0.00657023
         0.8689     0.00656605
         0.8737     0.00656189
         0.8785     0.00655776
         0.8833     0.00655365
         0.8881     0.00654957
         0.8929      0.0065455
         0.8977     0.00654147
         0.9025     0.00653745
         0.9073     0.00653346
         0.9121     0.00652948
         0.9169     0.00652553
         0.9217     0.00652161
         0.9265      0.0065177
         0.9313     0.00651382
         0.9361     0.00650995
         0.9409     0.00650611
         0.9457     0.00650229
         0.9505     0.00649848
         0.9553      0.0064947
         0.9601     0.00649094
         0.9649      0.0064872
         0.9697     0.00648347
         0.9745     0.00647977
         0.9793     0.00647609
         0.9841     0.00647242
         0.9889     0.00646878
         0.9937     0.00646515
         0.9985     0.00646154
         1.0033     0.00645795
         1.0081     0.00645438
         1.0129     0.00645082
         1.0177     0.00644728
         1.0225     0.00644376
         1.0273     0.00644026
         1.0321     0.00643678
         1.0369     0.00643331
         1.0417     0.00642986
         1.0465     0.00642642
         1.0513     0.00642301
         1.0561     0.00641961
         1.0609     0.00641622
         1.0657     0.00641285
         1.0705      0.0064095
         1.0753     0.00640616
         1.0801     0.00640284
         1.0849     0.00639954
         1.0897     0.00639625
         1.0945     0.00639297
         1.0993     0.00638971
         1.1041     0.00638647
         1.1089     0.00638324
         1.1137     0.00638002
         1.1185     0.00637682
         1.1233     0.00637364
         1.1281     0.00637047
         1.1329     0.00636731
         1.1377     0.00636417
         1.1425     0.00636104
         1.1473     0.00635792
         1.1521     0.00635482
         1.1569     0.00635173
         1.1617     0.00634866
         1.1665      0.0063456
         1.1713     0.00634255
         1.1761     0.00633952
         1.1809     0.00633649
         1.1857     0.00633349
         1.1905     0.00633049
         1.1953     0.00632751
         1.2001     0.00632454
