              t           Rate
         0.0001      0.0551064
         0.0049      0.0388748
         0.0097      0.0364424
         0.0145      0.0350629
         0.0193      0.0340936
         0.0241      0.0333619
         0.0289      0.0327719
         0.0337      0.0322787
         0.0385      0.0318556
         0.0433      0.0314855
         0.0481       0.031157
         0.0529      0.0308305
         0.0577      0.0305634
         0.0625      0.0303626
         0.0673      0.0301371
         0.0721      0.0299281
         0.0769      0.0297336
         0.0817      0.0295516
         0.0865      0.0293808
         0.0913      0.0292198
         0.0961      0.0290677
         0.1009      0.0289235
         0.1057      0.0287864
         0.1105      0.0286559
         0.1153      0.0285313
         0.1201      0.0284121
         0.1249      0.0282991
         0.1297      0.0281895
         0.1345      0.0280879
         0.1393      0.0279865
         0.1441      0.0278888
         0.1489      0.0277945
         0.1537      0.0277035
         0.1585      0.0276154
         0.1633      0.0275301
         0.1681      0.0274475
         0.1729      0.0273674
         0.1777      0.0272896
         0.1825       0.027214
         0.1873      0.0271405
         0.1921      0.0270691
         0.1969      0.0269995
         0.2017      0.0269317
         0.2065      0.0268656
         0.2113      0.0268011
         0.2161      0.0267382
         0.2209      0.0266767
         0.2257      0.0266167
         0.2305       0.026558
         0.2353      0.0265053
         0.2401      0.0264492
         0.2449      0.0263942
         0.2497      0.0263404
         0.2545      0.0262877
         0.2593      0.0262361
         0.2641      0.0261854
         0.2689      0.0261357
         0.2737       0.026087
         0.2785      0.0260392
         0.2833      0.0259922
         0.2881      0.0259461
         0.2929      0.0259008
         0.2977      0.0258563
         0.3025      0.0258126
         0.3073      0.0257696
         0.3121      0.0257273
         0.3169      0.0256857
         0.3217      0.0256448
         0.3265      0.0256045
         0.3313      0.0255648
         0.3361      0.0255258
         0.3409      0.0254873
         0.3457      0.0254495
         0.3505      0.0254122
         0.3553      0.0253754
         0.3601      0.0253391
         0.3649      0.0253034
         0.3697      0.0252682
         0.3745      0.0252334
         0.3793      0.0251991
         0.3841      0.0251653
         0.3889       0.025132
         0.3937       0.025099
         0.3985      0.0250665
         0.4033      0.0250345
         0.4081      0.0250028
         0.4129      0.0249701
         0.4177      0.0249392
         0.4225      0.0249087
         0.4273      0.0248786
         0.4321      0.0248488
         0.4369      0.0248193
         0.4417      0.0247902
         0.4465      0.0247614
         0.4513       0.024733
         0.4561      0.0247049
         0.4609      0.0246771
         0.4657      0.0246496
         0.4705      0.0246224
         0.4753      0.0245955
         0.4801      0.0245689
         0.4849      0.0245426
         0.4897      0.0245165
         0.4945      0.0244907
         0.4993      0.0244652
         0.5041        0.02444
         0.5089       0.024415
         0.5137      0.0243902
         0.5185      0.0243657
         0.5233      0.0243415
         0.5281      0.0243175
         0.5329      0.0242937
         0.5377      0.0242701
         0.5425      0.0242468
         0.5473      0.0242237
         0.5521      0.0242008
         0.5569      0.0241781
         0.5617      0.0241556
         0.5665      0.0241333
         0.5713      0.0241112
         0.5761      0.0240894
         0.5809      0.0240677
         0.5857      0.0240462
         0.5905      0.0240249
         0.5953      0.0240038
         0.6001      0.0239828
         0.6049      0.0239621
         0.6097      0.0239415
         0.6145      0.0239211
         0.6193      0.0239008
         0.6241      0.0238807
         0.6289      0.0238608
         0.6337      0.0238411
         0.6385      0.0238233
         0.6433      0.0238039
         0.6481      0.0237846
         0.6529      0.0237655
         0.6577      0.0237465
         0.6625      0.0237277
         0.6673       0.023709
         0.6721      0.0236905
         0.6769      0.0236721
