              t           Rate
         0.0001      0.0187265
         0.0049      0.0159926
         0.0097       0.015496
         0.0145      0.0152014
         0.0193      0.0149974
         0.0241      0.0148315
         0.0289      0.0146954
         0.0337      0.0145799
         0.0385      0.0144789
         0.0433      0.0143894
         0.0481      0.0143089
         0.0529      0.0142358
         0.0577      0.0141688
         0.0625      0.0141069
         0.0673      0.0140494
         0.0721      0.0139957
         0.0769      0.0139453
         0.0817      0.0138978
         0.0865      0.0138529
         0.0913      0.0138102
         0.0961      0.0137697
         0.1009       0.013731
         0.1057      0.0136941
         0.1105      0.0136586
         0.1153      0.0136247
         0.1201        0.01359
         0.1249      0.0135586
         0.1297      0.0135283
         0.1345       0.013499
         0.1393      0.0134708
         0.1441      0.0134434
         0.1489      0.0134169
         0.1537      0.0133911
         0.1585      0.0133662
         0.1633      0.0133419
         0.1681      0.0133183
         0.1729      0.0132953
         0.1777      0.0132729
         0.1825       0.013251
         0.1873      0.0132297
         0.1921      0.0132089
         0.1969      0.0131886
         0.2017      0.0131687
         0.2065      0.0131493
         0.2113      0.0131303
         0.2161      0.0131117
         0.2209      0.0130935
         0.2257      0.0130756
         0.2305      0.0130581
         0.2353      0.0130409
         0.2401      0.0130241
         0.2449      0.0130076
         0.2497      0.0129913
         0.2545      0.0129754
         0.2593      0.0129597
         0.2641      0.0129443
         0.2689      0.0129292
         0.2737      0.0129143
         0.2785      0.0128997
         0.2833      0.0128853
         0.2881      0.0128711
         0.2929      0.0128572
         0.2977      0.0128434
         0.3025      0.0128299
         0.3073      0.0128165
         0.3121      0.0128034
         0.3169      0.0127904
         0.3217      0.0127776
         0.3265       0.012765
         0.3313      0.0127526
         0.3361      0.0127403
         0.3409      0.0127282
         0.3457      0.0127163
         0.3505      0.0127045
         0.3553      0.0126928
         0.3601      0.0126813
         0.3649        0.01267
         0.3697      0.0126588
         0.3745      0.0126477
         0.3793      0.0126367
         0.3841      0.0126259
         0.3889      0.0126152
         0.3937      0.0126047
         0.3985      0.0125942
         0.4033      0.0125839
         0.4081      0.0125736
         0.4129      0.0125635
         0.4177      0.0125535
         0.4225      0.0125436
         0.4273      0.0125338
         0.4321      0.0125242
         0.4369      0.0125146
         0.4417      0.0125051
         0.4465      0.0124957
         0.4513      0.0124864
         0.4561      0.0124772
         0.4609       0.012468
         0.4657       0.012459
         0.4705      0.0124501
         0.4753      0.0124412
         0.4801      0.0124324
         0.4849      0.0124237
         0.4897      0.0124151
         0.4945      0.0124066
         0.4993      0.0123981
         0.5041      0.0123897
         0.5089      0.0123814
         0.5137      0.0123732
         0.5185       0.012365
         0.5233      0.0123569
         0.5281      0.0123489
         0.5329      0.0123409
         0.5377      0.0123329
         0.5425      0.0123251
         0.5473      0.0123173
         0.5521      0.0123096
         0.5569      0.0123019
         0.5617      0.0122943
         0.5665      0.0122868
         0.5713      0.0122793
         0.5761      0.0122719
         0.5809      0.0122646
         0.5857      0.0122573
         0.5905        0.01225
         0.5953      0.0122429
         0.6001      0.0122357
         0.6049      0.0122286
         0.6097      0.0122216
         0.6145      0.0122146
         0.6193      0.0122077
         0.6241      0.0122008
         0.6289       0.012194
         0.6337      0.0121872
         0.6385      0.0121805
         0.6433      0.0121738
         0.6481      0.0121672
         0.6529      0.0121606
         0.6577      0.0121541
         0.6625      0.0121476
         0.6673      0.0121411
         0.6721      0.0121347
         0.6769      0.0121283
         0.6817       0.012122
         0.6865      0.0121157
         0.6913      0.0121094
         0.6961      0.0121032
         0.7009      0.0120971
         0.7057      0.0120909
         0.7105      0.0120849
         0.7153      0.0120788
         0.7201      0.0120728
         0.7249      0.0120668
         0.7297      0.0120609
         0.7345       0.012055
         0.7393      0.0120491
         0.7441      0.0120433
         0.7489      0.0120375
         0.7537      0.0120317
         0.7585       0.012026
         0.7633      0.0120203
         0.7681      0.0120146
         0.7729       0.012009
         0.7777      0.0120034
         0.7825      0.0119979
         0.7873      0.0119923
         0.7921      0.0119868
         0.7969      0.0119814
         0.8017      0.0119759
         0.8065      0.0119705
         0.8113      0.0119651
         0.8161      0.0119598
         0.8209      0.0119545
         0.8257      0.0119492
         0.8305      0.0119439
         0.8353      0.0119387
         0.8401      0.0119335
         0.8449      0.0119283
         0.8497      0.0119232
         0.8545       0.011918
         0.8593      0.0119129
         0.8641      0.0119079
         0.8689      0.0119028
         0.8737      0.0118978
         0.8785      0.0118928
         0.8833      0.0118878
         0.8881      0.0118829
         0.8929       0.011878
         0.8977      0.0118731
         0.9025      0.0118682
         0.9073      0.0118634
         0.9121      0.0118586
         0.9169      0.0118538
         0.9217       0.011849
         0.9265      0.0118443
         0.9313      0.0118395
         0.9361      0.0118348
         0.9409      0.0118301
         0.9457      0.0118255
         0.9505      0.0118208
         0.9553      0.0118162
         0.9601      0.0118116
         0.9649      0.0118071
         0.9697      0.0118025
         0.9745       0.011798
         0.9793      0.0117935
         0.9841       0.011789
         0.9889      0.0117845
         0.9937      0.0117801
         0.9985      0.0117756
         1.0033      0.0117712
         1.0081      0.0117669
         1.0129      0.0117625
         1.0177      0.0117581
         1.0225      0.0117538
         1.0273      0.0117495
         1.0321      0.0117452
         1.0369      0.0117409
         1.0417      0.0117367
         1.0465      0.0117324
         1.0513      0.0117282
         1.0561       0.011724
         1.0609      0.0117198
         1.0657      0.0117157
         1.0705      0.0117115
         1.0753      0.0117074
         1.0801      0.0117033
         1.0849      0.0116992
         1.0897      0.0116951
         1.0945       0.011691
         1.0993       0.011687
         1.1041       0.011683
         1.1089      0.0116789
         1.1137       0.011675
         1.1185      0.0116717
         1.1233      0.0116677
         1.1281      0.0116638
         1.1329      0.0116598
         1.1377      0.0116559
         1.1425       0.011652
         1.1473      0.0116481
         1.1521      0.0116442
         1.1569      0.0116404
         1.1617      0.0116365
         1.1665      0.0116327
         1.1713      0.0116289
         1.1761      0.0116251
         1.1809      0.0116213
         1.1857      0.0116175
         1.1905      0.0116138
         1.1953        0.01161
         1.2001      0.0116063
