              t           Rate
         0.0001      0.0383184
         0.0049       0.026956
         0.0097      0.0252143
         0.0145       0.024039
         0.0193      0.0235112
         0.0241      0.0229787
         0.0289      0.0225451
         0.0337      0.0221814
         0.0385      0.0218684
         0.0433      0.0215939
         0.0481      0.0213496
         0.0529      0.0211295
         0.0577      0.0209294
         0.0625      0.0207459
         0.0673      0.0205766
         0.0721      0.0204194
         0.0769      0.0202728
         0.0817      0.0201354
         0.0865      0.0200062
         0.0913      0.0198842
         0.0961      0.0197687
         0.1009       0.019659
         0.1057      0.0195546
         0.1105       0.019455
         0.1153      0.0193598
         0.1201       0.019268
         0.1249      0.0191805
         0.1297      0.0190965
         0.1345      0.0190247
         0.1393      0.0189468
         0.1441      0.0188715
         0.1489      0.0187988
         0.1537      0.0187285
         0.1585      0.0186604
         0.1633      0.0185944
         0.1681      0.0185303
         0.1729      0.0184681
         0.1777      0.0184077
         0.1825      0.0183489
         0.1873      0.0182917
         0.1921      0.0185704
         0.1969      0.0181817
         0.2017      0.0181287
         0.2065       0.018077
         0.2113      0.0180266
         0.2161      0.0179773
         0.2209      0.0179291
         0.2257       0.017882
         0.2305      0.0178358
         0.2353      0.0177907
         0.2401      0.0177465
         0.2449      0.0177032
         0.2497      0.0176607
         0.2545      0.0176191
         0.2593      0.0175783
         0.2641      0.0175382
         0.2689      0.0174989
         0.2737      0.0175088
         0.2785        0.01747
         0.2833      0.0174319
         0.2881      0.0173485
         0.2929      0.0173125
         0.2977      0.0172771
         0.3025      0.0172422
         0.3073       0.017208
         0.3121      0.0171742
         0.3169       0.017141
         0.3217      0.0171083
         0.3265      0.0170761
         0.3313      0.0170444
         0.3361      0.0170132
         0.3409      0.0169824
         0.3457       0.016952
         0.3505      0.0169221
         0.3553      0.0168925
         0.3601      0.0168634
         0.3649      0.0168294
         0.3697      0.0168011
         0.3745      0.0167732
         0.3793      0.0167456
         0.3841      0.0167184
         0.3889      0.0166915
         0.3937      0.0166649
         0.3985      0.0166387
         0.4033      0.0166128
         0.4081      0.0165872
         0.4129      0.0165619
         0.4177      0.0165369
         0.4225      0.0165122
         0.4273      0.0164878
         0.4321      0.0164637
         0.4369      0.0164398
         0.4417      0.0164162
         0.4465      0.0163929
         0.4513      0.0163698
         0.4561      0.0163469
         0.4609      0.0163243
         0.4657       0.016302
         0.4705      0.0162798
         0.4753      0.0162579
         0.4801      0.0162363
         0.4849      0.0162148
         0.4897      0.0161935
         0.4945      0.0161725
         0.4993      0.0161517
         0.5041      0.0161311
         0.5089      0.0161106
         0.5137      0.0160904
         0.5185      0.0160703
         0.5233      0.0160505
         0.5281      0.0160308
         0.5329      0.0160113
         0.5377       0.015992
         0.5425      0.0159729
         0.5473      0.0159561
         0.5521      0.0159373
         0.5569      0.0159186
         0.5617      0.0159001
         0.5665      0.0158818
         0.5713      0.0158636
         0.5761      0.0158456
         0.5809      0.0158278
         0.5857        0.01581
         0.5905      0.0157925
         0.5953      0.0157751
         0.6001      0.0157578
         0.6049      0.0157406
         0.6097      0.0157236
         0.6145      0.0157067
         0.6193        0.01569
         0.6241      0.0156734
         0.6289      0.0156569
         0.6337      0.0156406
         0.6385      0.0156243
         0.6433      0.0156082
         0.6481      0.0155922
         0.6529      0.0155764
         0.6577      0.0155606
         0.6625       0.015545
         0.6673      0.0155295
         0.6721      0.0155141
         0.6769      0.0154988
         0.6817      0.0154836
         0.6865      0.0154685
         0.6913      0.0154535
         0.6961      0.0154387
         0.7009      0.0154239
         0.7057      0.0154092
         0.7105      0.0153947
         0.7153      0.0153802
         0.7201      0.0153659
         0.7249      0.0153516
         0.7297      0.0153374
         0.7345      0.0153233
         0.7393      0.0153093
         0.7441      0.0152954
         0.7489      0.0152816
         0.7537      0.0152679
         0.7585      0.0152543
         0.7633      0.0152408
         0.7681      0.0152273
         0.7729      0.0152139
         0.7777      0.0152006
         0.7825      0.0151874
         0.7873      0.0151743
         0.7921      0.0151612
         0.7969      0.0151483
         0.8017      0.0151354
         0.8065      0.0151226
         0.8113      0.0151099
         0.8161      0.0150972
         0.8209      0.0150846
         0.8257      0.0150721
         0.8305      0.0150597
         0.8353      0.0150473
         0.8401      0.0150426
         0.8449      0.0150303
         0.8497      0.0150182
         0.8545      0.0150061
         0.8593      0.0149941
         0.8641      0.0149822
         0.8689      0.0149703
         0.8737      0.0149585
         0.8785      0.0149467
         0.8833      0.0149346
         0.8881       0.014923
         0.8929      0.0149114
         0.8977      0.0148999
         0.9025      0.0148885
         0.9073      0.0148771
         0.9121      0.0148658
         0.9169      0.0148546
         0.9217      0.0148439
         0.9265      0.0148328
         0.9313      0.0148217
         0.9361      0.0148107
         0.9409      0.0147997
         0.9457      0.0147888
         0.9505       0.014778
         0.9553      0.0147672
         0.9601      0.0147565
         0.9649      0.0147458
         0.9697      0.0147351
         0.9745      0.0147246
         0.9793       0.014714
         0.9841      0.0147036
         0.9889      0.0146931
         0.9937      0.0146828
         0.9985      0.0146724
         1.0033      0.0146622
         1.0081       0.014652
         1.0129      0.0146418
         1.0177      0.0146317
         1.0225      0.0146216
         1.0273      0.0146115
         1.0321      0.0146016
         1.0369      0.0145916
         1.0417      0.0145817
         1.0465      0.0145719
         1.0513      0.0145621
         1.0561      0.0145523
         1.0609      0.0145426
         1.0657       0.014533
         1.0705      0.0145234
         1.0753      0.0145138
         1.0801      0.0145042
         1.0849      0.0144947
         1.0897      0.0144853
         1.0945      0.0144759
         1.0993      0.0144665
         1.1041      0.0144572
         1.1089      0.0144479
         1.1137      0.0144387
         1.1185      0.0144295
         1.1233      0.0144203
         1.1281      0.0144112
         1.1329      0.0144021
         1.1377       0.014393
         1.1425       0.014384
         1.1473      0.0143751
         1.1521      0.0143661
         1.1569      0.0143572
         1.1617      0.0143484
         1.1665      0.0143396
         1.1713      0.0143308
         1.1761       0.014322
         1.1809      0.0143133
         1.1857      0.0143046
         1.1905       0.014296
         1.1953      0.0142874
         1.2001      0.0142788
