              t           Rate
         0.0001      0.0426343
         0.0049      0.0302404
         0.0097       0.028336
         0.0145       0.027253
         0.0193      0.0264913
         0.0241      0.0259043
         0.0289      0.0254366
         0.0337      0.0250448
         0.0385       0.024708
         0.0433      0.0244129
         0.0481        0.02415
         0.0529      0.0239138
         0.0577      0.0236992
         0.0625      0.0235026
         0.0673      0.0233223
         0.0721      0.0231544
         0.0769      0.0229978
         0.0817      0.0228513
         0.0865      0.0227135
         0.0913      0.0225761
         0.0961      0.0224534
         0.1009       0.022337
         0.1057      0.0222262
         0.1105      0.0221207
         0.1153      0.0220199
         0.1201      0.0219234
         0.1249      0.0218308
         0.1297       0.021742
         0.1345      0.0216565
         0.1393      0.0215742
         0.1441      0.0214948
         0.1489      0.0214182
         0.1537      0.0213441
         0.1585      0.0212724
         0.1633      0.0212029
         0.1681      0.0211356
         0.1729      0.0210702
         0.1777      0.0210067
         0.1825       0.020945
         0.1873       0.020885
         0.1921      0.0208266
         0.1969      0.0207696
         0.2017      0.0207142
         0.2065      0.0206601
         0.2113      0.0206073
         0.2161      0.0205557
         0.2209      0.0205053
         0.2257      0.0204561
         0.2305      0.0204079
         0.2353      0.0203608
         0.2401      0.0203147
         0.2449      0.0202695
         0.2497      0.0202253
         0.2545      0.0201819
         0.2593      0.0201394
         0.2641      0.0200977
         0.2689      0.0200568
         0.2737      0.0200166
         0.2785      0.0199772
         0.2833      0.0199385
         0.2881      0.0199004
         0.2929      0.0198631
         0.2977      0.0198263
         0.3025      0.0197902
         0.3073      0.0197546
         0.3121      0.0197197
         0.3169      0.0196853
         0.3217      0.0196514
         0.3265      0.0196181
         0.3313      0.0195852
         0.3361      0.0195529
         0.3409       0.019521
         0.3457      0.0194896
         0.3505      0.0194587
         0.3553      0.0194282
         0.3601      0.0193981
         0.3649      0.0193685
         0.3697      0.0193392
         0.3745      0.0193104
         0.3793      0.0192819
         0.3841      0.0192538
         0.3889       0.019226
         0.3937      0.0191986
         0.3985      0.0191716
         0.4033      0.0191449
         0.4081      0.0191185
         0.4129      0.0190925
         0.4177      0.0190667
         0.4225      0.0190505
         0.4273      0.0190254
         0.4321      0.0190005
         0.4369       0.018976
         0.4417      0.0189517
         0.4465      0.0189277
         0.4513       0.018904
         0.4561      0.0188805
         0.4609      0.0188573
         0.4657      0.0188343
         0.4705      0.0188116
         0.4753      0.0187891
         0.4801      0.0187669
         0.4849      0.0187449
         0.4897      0.0187231
         0.4945      0.0187015
         0.4993      0.0186802
         0.5041       0.018659
         0.5089      0.0186381
         0.5137      0.0186174
         0.5185      0.0185968
         0.5233      0.0185765
         0.5281      0.0185564
         0.5329      0.0185364
         0.5377      0.0185167
         0.5425      0.0184971
         0.5473      0.0184777
         0.5521      0.0186281
         0.5569      0.0184394
         0.5617      0.0184206
         0.5665      0.0184019
         0.5713      0.0183833
         0.5761       0.018644
         0.5809      0.0183467
         0.5857      0.0183286
         0.5905      0.0183107
         0.5953      0.0182929
         0.6001      0.0182753
         0.6049      0.0182578
         0.6097      0.0182405
         0.6145      0.0182233
         0.6193      0.0182063
         0.6241      0.0181894
         0.6289      0.0181726
         0.6337      0.0181559
         0.6385      0.0181394
         0.6433       0.018123
         0.6481      0.0181068
         0.6529      0.0180906
         0.6577      0.0180746
         0.6625      0.0180587
         0.6673      0.0180429
         0.6721      0.0180273
         0.6769      0.0180117
         0.6817      0.0179963
         0.6865       0.017981
         0.6913      0.0179658
         0.6961      0.0179507
         0.7009      0.0179357
         0.7057      0.0179208
         0.7105       0.017906
         0.7153      0.0178914
         0.7201      0.0178768
         0.7249      0.0178623
         0.7297      0.0178479
         0.7345      0.0178337
         0.7393      0.0178195
         0.7441      0.0178054
         0.7489      0.0177914
         0.7537      0.0177775
         0.7585      0.0177637
         0.7633        0.01775
         0.7681      0.0177364
         0.7729      0.0177228
         0.7777      0.0177094
         0.7825       0.017696
         0.7873      0.0176827
         0.7921      0.0176695
         0.7969      0.0176564
         0.8017      0.0176434
         0.8065      0.0176304
         0.8113      0.0176175
         0.8161      0.0176047
         0.8209       0.017592
         0.8257      0.0176358
         0.8305      0.0176229
         0.8353      0.0176101
         0.8401      0.0175974
         0.8449      0.0175848
         0.8497      0.0175722
         0.8545      0.0175597
         0.8593      0.0175473
         0.8641      0.0175349
         0.8689      0.0174689
         0.8737       0.017457
         0.8785      0.0174451
         0.8833      0.0174333
         0.8881      0.0174216
         0.8929        0.01741
         0.8977      0.0173984
         0.9025      0.0173868
         0.9073      0.0173754
         0.9121       0.017364
         0.9169      0.0173526
         0.9217      0.0173414
         0.9265      0.0173301
         0.9313       0.017319
         0.9361      0.0173079
         0.9409      0.0172968
         0.9457      0.0172859
         0.9505      0.0172749
         0.9553      0.0172641
         0.9601      0.0172532
         0.9649      0.0172425
         0.9697      0.0172318
         0.9745      0.0172211
         0.9793      0.0172105
         0.9841         0.0172
         0.9889      0.0171895
         0.9937      0.0171791
         0.9985      0.0171687
         1.0033      0.0171584
         1.0081      0.0171481
         1.0129      0.0171379
         1.0177      0.0171258
         1.0225      0.0171157
         1.0273      0.0171056
         1.0321      0.0170956
         1.0369      0.0170856
         1.0417      0.0170757
         1.0465      0.0170658
         1.0513       0.017056
         1.0561      0.0170462
         1.0609      0.0170365
         1.0657      0.0170268
         1.0705      0.0170171
         1.0753      0.0170075
         1.0801      0.0169979
         1.0849      0.0169884
         1.0897      0.0169789
         1.0945      0.0169695
         1.0993      0.0169601
         1.1041      0.0169507
         1.1089      0.0169414
         1.1137      0.0169322
         1.1185      0.0169229
         1.1233      0.0169138
         1.1281      0.0169046
         1.1329      0.0168955
         1.1377      0.0168864
         1.1425      0.0168774
         1.1473      0.0168684
         1.1521      0.0168595
         1.1569      0.0168506
         1.1617      0.0168417
         1.1665      0.0168329
         1.1713      0.0168241
         1.1761      0.0168153
         1.1809      0.0168066
         1.1857      0.0167979
         1.1905      0.0167892
         1.1953      0.0167806
         1.2001       0.016772
