           IM.1  repair.mean_x    demo.mean_x    coll.mean_x
        1.67111     3.1037e+05    1.58678e+06    1.15681e+07
        1.68621    2.98765e+05    1.55025e+06    1.16362e+07
        1.70131    2.87603e+05    1.51434e+06    1.17025e+07
        1.71641    2.76866e+05    1.47907e+06     1.1767e+07
        1.73152     2.6654e+05    1.44442e+06    1.18298e+07
        1.74662    2.56607e+05     1.4104e+06    1.18909e+07
        1.76172    2.47054e+05    1.37702e+06    1.19502e+07
        1.77682    2.37866e+05    1.34427e+06     1.2008e+07
        1.79192    2.29028e+05    1.31216e+06    1.20642e+07
        1.80702    2.20527e+05    1.28067e+06    1.21188e+07
        1.82212    2.12351e+05    1.24981e+06     1.2172e+07
        1.83722    2.04487e+05    1.21957e+06    1.22236e+07
        1.85232    1.96922e+05    1.18995e+06    1.22738e+07
        1.86742    1.89646e+05    1.16094e+06    1.23226e+07
        1.88253    1.82647e+05    1.13255e+06    1.23701e+07
        1.89763    1.75915e+05    1.10475e+06    1.24162e+07
        1.91273    1.69439e+05    1.07755e+06    1.24611e+07
        1.92783     1.6321e+05    1.05094e+06    1.25046e+07
        1.94293    1.57217e+05    1.02491e+06     1.2547e+07
        1.95803    1.51452e+05    9.99457e+05    1.25881e+07
        1.97313    1.45906e+05    9.74569e+05    1.26281e+07
        1.98823     1.4057e+05     9.5024e+05     1.2667e+07
        2.00333    1.35436e+05    9.26462e+05    1.27047e+07
        2.01843    1.30497e+05    9.03226e+05    1.27414e+07
        2.03354    1.25745e+05    8.80523e+05    1.27771e+07
        2.04864    1.21173e+05    8.58346e+05    1.28117e+07
        2.06374    1.16773e+05    8.36685e+05    1.28453e+07
        2.07884    1.12539e+05    8.15532e+05     1.2878e+07
        2.09394    1.08465e+05    7.94876e+05    1.29098e+07
        2.10904    1.04544e+05    7.74711e+05    1.29406e+07
        2.12414    1.00771e+05    7.55026e+05    1.29706e+07
        2.13924        97139.7    7.35812e+05    1.29997e+07
        2.15434        93644.6    7.17061e+05    1.30279e+07
        2.16944        90280.5    6.98763e+05    1.30554e+07
        2.18455        87042.3     6.8091e+05    1.30821e+07
        2.19965        83925.3    6.63493e+05     1.3108e+07
        2.21475        80924.7    6.46502e+05    1.31331e+07
        2.22985        78036.1    6.29928e+05    1.31576e+07
        2.24495        75255.1    6.13765e+05    1.31813e+07
        2.26005        72577.6    5.98001e+05    1.32044e+07
        2.27515        69999.6    5.82629e+05    1.32268e+07
        2.29025        67517.3    5.67641e+05    1.32485e+07
        2.30535        65127.0    5.53028e+05    1.32696e+07
        2.32045        62825.2    5.38781e+05    1.32901e+07
        2.33556        60608.4    5.24893e+05    1.33101e+07
        2.35066        58473.5    5.11355e+05    1.33294e+07
        2.36576        56417.3    4.98159e+05    1.33482e+07
        2.38086        54436.7    4.85298e+05    1.33665e+07
        2.39596        52529.0    4.72764e+05    1.33842e+07
        2.41106        50691.3    4.60549e+05    1.34014e+07
        2.42616        48920.9    4.48646e+05    1.34181e+07
        2.44126        47215.3    4.37048e+05    1.34344e+07
        2.45636        45572.0    4.25746e+05    1.34502e+07
        2.47146        43988.7    4.14735e+05    1.34655e+07
        2.48657        42463.0    4.04007e+05    1.34804e+07
        2.50167        40992.8    3.93555e+05    1.34948e+07
        2.51677        39576.1    3.83373e+05    1.35089e+07
        2.53187        38210.7    3.73454e+05    1.35225e+07
        2.54697        36894.7    3.63791e+05    1.35357e+07
        2.56207        35626.3    3.54379e+05    1.35486e+07
        2.57717        34403.6    3.45211e+05    1.35611e+07
        2.59227        33225.0     3.3628e+05    1.35732e+07
        2.60737        32088.9    3.27582e+05     1.3585e+07
        2.62247        30993.5    3.19111e+05    1.35965e+07
        2.63758        29937.4     3.1086e+05    1.36076e+07
        2.65268        28919.1    3.02824e+05    1.36184e+07
        2.66778        27937.2    2.94997e+05    1.36289e+07
        2.68288        26990.3    2.87376e+05    1.36391e+07
        2.69798        26077.2    2.79953e+05     1.3649e+07
        2.71308        25196.5    2.72724e+05    1.36587e+07
        2.72818        24347.2    2.65684e+05     1.3668e+07
        2.74328        23527.9    2.58829e+05    1.36771e+07
        2.75838        22737.6    2.52153e+05    1.36859e+07
        2.77348        21975.2    2.45652e+05    1.36945e+07
        2.78859        21239.8    2.39322e+05    1.37028e+07
        2.80369        20530.2    2.33158e+05    1.37109e+07
        2.81879        19845.6    2.27155e+05    1.37188e+07
        2.83389        19185.0     2.2131e+05    1.37264e+07
        2.84899        18547.5    2.15618e+05    1.37339e+07
        2.86409        17932.3    2.10075e+05    1.37411e+07
        2.87919        17338.6    2.04678e+05    1.37481e+07
        2.89429        16765.6    1.99423e+05    1.37549e+07
        2.90939        16212.6    1.94306e+05    1.37615e+07
        2.92449        15678.7    1.89323e+05     1.3768e+07
         2.9396        15163.4    1.84472e+05    1.37742e+07
         2.9547        14665.9    1.79747e+05    1.37803e+07
         2.9698        14185.6    1.75147e+05    1.37862e+07
         2.9849        13721.9    1.70667e+05     1.3792e+07
            3.0        13274.1    1.66305e+05    1.37975e+07
