           IM.1            DS1            DS2          E(DS)
           0.01    1.08459e-99    2.60022e-81    2.60022e-81
       0.025101    6.05948e-53    7.33073e-50    7.33679e-50
       0.040202    4.76746e-33     1.5428e-35    4.78289e-33
       0.055303    1.03408e-21    1.55475e-26    1.03409e-21
       0.070404    9.95968e-15    2.84615e-20    9.95971e-15
      0.0855051    2.71292e-10    9.67312e-16    2.71293e-10
       0.100606    1.73436e-07    1.73073e-12    1.73438e-07
       0.115707    7.27629e-07    9.29148e-12    7.27639e-07
       0.130808    2.58797e-06    4.01053e-11    2.58801e-06
       0.145909     8.0088e-06    1.54528e-10    8.00896e-06
        0.16101    2.20048e-05    5.27973e-10    2.20053e-05
       0.176111    5.45854e-05    1.62565e-09     5.4587e-05
       0.191212    0.000124015    4.57136e-09     0.00012402
       0.206313    0.000327979    1.89234e-08    0.000327997
       0.221414    0.000996956     1.2425e-07     0.00099708
       0.236515     0.00249951    6.54398e-07     0.00250016
       0.251616     0.00535265     2.8202e-06     0.00535547
       0.266717      0.0100765    1.01477e-05      0.0100867
       0.281818      0.0170857     3.1149e-05      0.0171169
       0.296919      0.0266072    8.32577e-05      0.0266904
        0.31202       0.037294    0.000175435      0.0374694
       0.327121        0.04959    0.000332827      0.0499228
       0.342222      0.0636228    0.000592645      0.0642155
       0.357323      0.0792015    0.000997455       0.080199
       0.372424       0.096063     0.00159651      0.0976595
       0.387525       0.113938     0.00244496       0.116383
       0.402626       0.135299     0.00389066        0.13919
       0.417727       0.169598      0.0079891       0.177588
       0.432828       0.202504      0.0142265       0.216731
       0.447929       0.233304      0.0227155       0.256019
        0.46303       0.261686      0.0333275       0.295014
       0.478131       0.287571      0.0457792        0.33335
       0.493232       0.311075      0.0596994       0.370774
       0.508333       0.314837       0.061238       0.376075
       0.523434       0.303253      0.0523046       0.355557
       0.538535       0.290766      0.0437953       0.334561
       0.553636       0.277317      0.0358244       0.313141
       0.568737       0.262788      0.0285081       0.291296
       0.583838       0.247123      0.0219559       0.269079
       0.598939       0.230256        0.01626       0.246516
        0.61404       0.243771      0.0198366       0.263608
       0.629141       0.258969      0.0246316         0.2836
       0.644242       0.273469       0.029962       0.303431
       0.659343       0.287276       0.035796       0.323072
       0.674444       0.300401      0.0420914       0.342492
       0.689545       0.312841      0.0487995        0.36164
       0.704646       0.328129      0.0570203        0.38515
       0.719747       0.350079      0.0684747       0.418554
       0.734848       0.370625      0.0806215       0.451246
       0.749949       0.389802      0.0933111       0.483113
       0.765051       0.407665         0.1064       0.514065
       0.780152       0.424281       0.119755       0.544037
       0.795253       0.439723       0.133257        0.57298
       0.810354       0.448528       0.138658       0.587185
       0.825455        0.45465       0.140319       0.594969
       0.840556       0.460802       0.141975       0.602777
       0.855657       0.466983       0.143626       0.610609
       0.870758       0.473196       0.145273       0.618469
       0.885859       0.479442       0.146915       0.626357
        0.90096       0.485207       0.147796       0.633003
       0.916061       0.483331       0.137361       0.620691
       0.931162       0.481285       0.126649       0.607933
       0.946263       0.479046       0.115704        0.59475
       0.961364       0.476588       0.104585       0.581172
       0.976465       0.473878      0.0933656       0.567244
       0.991566       0.470879      0.0821444       0.553024
        1.00667        0.48123      0.0869995        0.56823
        1.02177       0.505325       0.113148       0.618473
        1.03687       0.525434       0.139882       0.665316
        1.05197       0.542186       0.166361       0.708546
        1.06707       0.556273       0.190833       0.747105
        1.08217       0.568182       0.216437       0.784619
        1.09727       0.578299        0.23946       0.817758
        1.11237       0.608928       0.265483       0.874412
        1.12747       0.641692       0.292021       0.933713
        1.14258       0.671817       0.318108       0.989926
        1.15768       0.699441       0.343683        1.04312
        1.17278       0.724908         0.3687        1.09361
        1.18788       0.748328       0.393131        1.14146
        1.20298       0.763506       0.407681        1.17119
        1.21808       0.751018       0.383166        1.13418
        1.23318        0.73651       0.356797        1.09331
        1.24828       0.719633       0.328564         1.0482
        1.26338       0.699873       0.298529       0.998403
        1.27848       0.676733       0.266845       0.943578
        1.29359       0.649519       0.233805       0.883324
        1.30869       0.664966       0.248747       0.913713
        1.32379       0.706232       0.297943        1.00417
        1.33889        0.73915       0.344006        1.08316
        1.35399       0.765506       0.386334        1.15184
        1.36909       0.786796       0.424748        1.21154
        1.38419       0.804093       0.459327        1.26342
        1.39929       0.818265       0.490293        1.30856
        1.41439        0.82391       0.462926        1.28684
        1.42949       0.828829       0.424678        1.25351
         1.4446       0.833128       0.375747        1.20888
         1.4597       0.836065       0.313666        1.14973
