           IM.1            DS1          E(DS)
           0.01    8.10486e-71    8.10486e-71
       0.025101    9.60336e-32    9.60336e-32
       0.040202    8.18777e-17    8.18777e-17
       0.055303    1.42777e-09    1.42777e-09
       0.070404    7.69972e-06    7.69972e-06
      0.0855051    0.000768246    0.000768246
       0.100606     0.00975165     0.00975165
       0.115707      0.0307959      0.0307959
       0.130808      0.0711103      0.0711103
       0.145909       0.132039       0.132039
        0.16101       0.209801       0.209801
       0.176111       0.297699       0.297699
       0.191212        0.38851        0.38851
       0.206313       0.538413       0.538413
       0.221414       0.691768       0.691768
       0.236515       0.770518       0.770518
       0.251616       0.812171       0.812171
       0.266717       0.835063       0.835063
       0.281818       0.847816       0.847816
       0.296919       0.854747       0.854747
        0.31202       0.881192       0.881192
       0.327121       0.906263       0.906263
       0.342222       0.925493       0.925493
       0.357323       0.940364       0.940364
       0.372424       0.951937       0.951937
       0.387525       0.961065       0.961065
       0.402626       0.967558       0.967558
       0.417727       0.969678       0.969678
       0.432828       0.971658       0.971658
       0.447929       0.973509       0.973509
        0.46303       0.975238       0.975238
       0.478131       0.977048       0.977048
       0.493232       0.978551       0.978551
       0.508333       0.977899       0.977899
       0.523434       0.975261       0.975261
       0.538535       0.972682       0.972682
       0.553636       0.969986       0.969986
       0.568737       0.967175       0.967175
       0.583838       0.964244       0.964244
       0.598939       0.961224       0.961224
        0.61404       0.959694       0.959694
       0.629141       0.958228       0.958228
       0.644242       0.956704       0.956704
       0.659343        0.95512        0.95512
       0.674444       0.953473       0.953473
       0.689545       0.951761       0.951761
       0.704646       0.949628       0.949628
       0.719747       0.946646       0.946646
       0.734848        0.94362        0.94362
       0.749949       0.940555       0.940555
       0.765051       0.937446       0.937446
       0.780152       0.934313       0.934313
       0.795253       0.931149       0.931149
       0.810354       0.937712       0.937712
       0.825455       0.947672       0.947672
       0.840556       0.956449       0.956449
       0.855657       0.964134       0.964134
       0.870758       0.970822       0.970822
       0.885859       0.976566       0.976566
        0.90096       0.981118       0.981118
       0.916061       0.980332       0.980332
       0.931162       0.979476       0.979476
       0.946263       0.978544       0.978544
       0.961364       0.977525       0.977525
       0.976465       0.976415       0.976415
       0.991566       0.975192       0.975192
        1.00667       0.977268       0.977268
        1.02177       0.983098       0.983098
        1.03687        0.98779        0.98779
        1.05197       0.991558       0.991558
        1.06707       0.994459       0.994459
        1.08217       0.996587       0.996587
        1.09727       0.998053       0.998053
        1.11237       0.998272       0.998272
        1.12747       0.998288       0.998288
        1.14258       0.998302       0.998302
        1.15768       0.998315       0.998315
        1.17278       0.998326       0.998326
        1.18788       0.998335       0.998335
        1.20298       0.998512       0.998512
        1.21808       0.999168       0.999168
        1.23318       0.999561       0.999561
        1.24828       0.999788       0.999788
        1.26338       0.999851       0.999851
        1.27848       0.999629       0.999629
        1.29359       0.999765       0.999765
        1.30869       0.999748       0.999748
