            EDP            DS1            DS2          E(DS)
            0.0            0.0            0.0            0.0
           0.01    6.33103e-24    5.67798e-31    6.33103e-24
           0.02    5.88242e-17    6.85663e-23    5.88243e-17
           0.03    1.77361e-13    9.22392e-19    1.77362e-13
           0.04    2.82725e-11    4.23585e-16    2.82729e-11
           0.05    1.01907e-09    3.46129e-14     1.0191e-09
           0.06    1.52159e-08    1.00689e-12    1.52169e-08
           0.07    1.27795e-07      1.484e-11     1.2781e-07
           0.08    7.18766e-07    1.35675e-10    7.18902e-07
           0.09     3.0159e-06    8.72818e-10    3.01677e-06
            0.1    1.01362e-05    4.29474e-09    1.01405e-05
           0.11    2.86583e-05    1.71257e-08    2.86754e-05
           0.12    7.05973e-05    5.76928e-08     7.0655e-05
           0.13    0.000155501    1.69332e-07     0.00015567
           0.14    0.000312313    4.43273e-07    0.000312756
           0.15    0.000580673    1.05392e-06    0.000581727
           0.16     0.00101141    2.30877e-06     0.00101372
           0.17     0.00166613    4.71401e-06     0.00167084
           0.18      0.0026159    9.05527e-06     0.00262496
           0.19     0.00393922    1.64915e-05     0.00395571
            0.2     0.00571936    2.86583e-05     0.00574802
