           IM.1         mean_x        sd_ln_x
           0.01    1.56473e-44        10.5076
       0.025101    9.14267e-29        8.60844
       0.040202    3.50066e-21        7.52624
       0.055303    3.95925e-16        6.70884
       0.070404    2.20287e-12        6.03196
      0.0855051    1.72307e-09        5.45183
       0.100606    2.97054e-07        4.95708
       0.115707    2.96382e-06        4.71935
       0.130808    2.03531e-05         4.5106
       0.145909    0.000105246        4.32463
        0.16101     0.00043598        4.15706
       0.176111     0.00151258        4.00465
       0.191212     0.00454005        3.86498
       0.206313      0.0467399        3.55055
       0.221414        1.13245        3.06902
       0.236515        10.0659        2.68963
       0.251616        46.2681        2.38931
       0.266717        137.221         2.1498
       0.281818        302.752        1.95712
       0.296919        545.072        1.80065
        0.31202        743.308        1.71235
       0.327121        935.527        1.64382
       0.342222        1142.35         1.5819
       0.357323        1360.29        1.52571
       0.372424        1586.31        1.47448
       0.387525        1817.49         1.4276
       0.402626        2037.55        1.38699
       0.417727        2193.08        1.36021
       0.432828        2349.09        1.33471
       0.447929        2505.79         1.3103
        0.46303         2663.4        1.28681
       0.478131        2822.18        1.26411
       0.493232        2982.42        1.24208
       0.508333        3116.86         1.2242
       0.523434        3228.03         1.2098
       0.538535        3337.38        1.19595
       0.553636        3444.82        1.18263
       0.568737        3550.28        1.16981
       0.583838        3653.71        1.15747
       0.598939        3755.08        1.14559
        0.61404        3734.99        1.14793
       0.629141        3704.91        1.15145
       0.644242        3673.87         1.1551
       0.659343        3641.84        1.15888
       0.674444        3608.79        1.16281
       0.689545        3574.69        1.16688
       0.704646         3593.8        1.16459
       0.719747         3735.4        1.14788
       0.734848        3878.22        1.13142
       0.749949        4022.31        1.11518
       0.765051        4167.73        1.09914
       0.780152        4314.56        1.08328
       0.795253        4462.85        1.06757
       0.810354        4415.51        1.07255
       0.825455        4276.17         1.0874
       0.840556        4134.74        1.10275
       0.855657        3991.34        1.11864
       0.870758        3846.09        1.13509
       0.885859        3699.13        1.15213
        0.90096        3561.24         1.1685
       0.916061        3578.31        1.16645
       0.931162        3595.64        1.16437
       0.946263        3613.26        1.16227
       0.961364        3631.13        1.16015
       0.976465        3649.69        1.15795
       0.991566        3668.27        1.15576
        1.00667        3569.75        1.16747
        1.02177        3320.74        1.19804
        1.03687        3069.95        1.23038
        1.05197        2818.59        1.26462
