           IM.1            DS1            DS2          E(DS)
           0.01    1.18272e-56    3.38862e-70    1.18272e-56
       0.025101    7.60109e-40    1.59177e-49    7.60109e-40
       0.040202    7.13103e-32    1.48319e-39    7.13103e-32
       0.055303    1.41835e-26    7.77505e-33    1.41835e-26
       0.070404    1.38898e-22    9.94204e-28    1.38899e-22
      0.0855051    2.13334e-19    1.22817e-23    2.13346e-19
       0.100606    7.73668e-17    2.34312e-20    7.73902e-17
       0.115707    5.64677e-16    2.56596e-19    5.64934e-16
       0.130808    3.34926e-15    2.19388e-18    3.35145e-15
       0.145909    1.67006e-14    1.52524e-17    1.67159e-14
        0.16101    7.19541e-14    8.91178e-17    7.20432e-14
       0.176111    2.73607e-13    4.47892e-16    2.74055e-13
       0.191212      9.339e-13    1.98049e-15     9.3588e-13
       0.206313    6.13151e-12    2.23415e-14    6.15386e-12
       0.221414    9.28368e-11    7.98846e-13    9.36357e-11
       0.236515    1.07396e-09    1.91557e-11    1.09312e-09
       0.251616    9.50382e-09    3.12217e-10    9.81603e-09
       0.266717    6.52152e-08    3.56104e-09    6.87762e-08
       0.281818    3.54364e-07    2.94695e-08    3.83833e-07
       0.296919      1.561e-06    1.83867e-07    1.74487e-06
        0.31202     3.0559e-06    4.12961e-07    3.46886e-06
       0.327121    4.88914e-06    7.21463e-07     5.6106e-06
       0.342222    7.63195e-06    1.22328e-06    8.85523e-06
       0.357323    1.16427e-05    2.01736e-06    1.36601e-05
       0.372424    1.73831e-05    3.22541e-06    2.06085e-05
       0.387525    2.54339e-05    5.08366e-06    3.05175e-05
       0.402626    3.94055e-05    8.58477e-06    4.79903e-05
       0.417727    8.28282e-05    2.11569e-05    0.000103985
       0.432828    0.000161479    4.73826e-05    0.000208862
       0.447929    0.000294652    9.73801e-05    0.000392032
        0.46303     0.00050574    0.000185628    0.000691368
       0.478131    0.000824003    0.000331161     0.00115516
       0.493232     0.00128087    0.000557316     0.00183818
       0.508333     0.00156709     0.00070559     0.00227268
       0.523434     0.00161817    0.000731015     0.00234918
       0.538535     0.00167041     0.00075711     0.00242752
       0.553636     0.00172384    0.000783886     0.00250772
       0.568737     0.00177846    0.000811353     0.00258981
       0.583838     0.00183428    0.000839521      0.0026738
       0.598939     0.00189133    0.000868402     0.00275973
        0.61404      0.0029679     0.00147147     0.00443937
       0.629141     0.00454834     0.00241996      0.0069683
       0.644242     0.00663402     0.00374959      0.0103836
       0.659343     0.00927298     0.00552222      0.0147952
       0.674444      0.0124944     0.00778508      0.0202795
       0.689545      0.0163081      0.0105708       0.026879
       0.704646      0.0194785      0.0129383      0.0324168
       0.719747      0.0200838      0.0133403      0.0334241
       0.734848      0.0206876      0.0137403      0.0344279
       0.749949      0.0212895      0.0141383      0.0354278
       0.765051      0.0218894      0.0145339      0.0364234
       0.780152       0.022487      0.0149271      0.0374141
       0.795253      0.0230822      0.0153176      0.0383998
       0.810354      0.0295451       0.020115      0.0496601
       0.825455      0.0399768      0.0281272       0.068104
       0.840556       0.051739      0.0374525      0.0891916
       0.855657      0.0646009      0.0479566       0.112558
       0.870758      0.0783358      0.0594264       0.137762
       0.885859       0.092717      0.0716735       0.164391
        0.90096       0.105844      0.0830362       0.188881
       0.916061      0.0942358      0.0727711       0.167007
       0.931162      0.0828662       0.062878       0.145744
       0.946263      0.0718424      0.0534379        0.12528
       0.961364      0.0612835      0.0445546       0.105838
       0.976465       0.051303      0.0363702      0.0876732
       0.991566      0.0420263      0.0289568      0.0709831
        1.00667      0.0376837      0.0255356      0.0632193
        1.02177      0.0387989      0.0263436      0.0651425
        1.03687      0.0399251      0.0271611      0.0670862
        1.05197      0.0410619      0.0279881      0.0690499
        1.06707      0.0422091      0.0288243      0.0710334
        1.08217      0.0433666      0.0296697      0.0730363
        1.09727      0.0445341       0.030524      0.0750581
        1.11237      0.0419746      0.0282497      0.0702243
        1.12747      0.0385749      0.0253213      0.0638962
        1.14258      0.0351726      0.0224552      0.0576278
        1.15768      0.0317941      0.0196782      0.0514723
        1.17278      0.0284662      0.0170133      0.0454795
        1.18788      0.0252179      0.0144893      0.0397072
        1.20298       0.023519       0.013173      0.0366919
        1.21808      0.0279362      0.0163895      0.0443257
        1.23318      0.0326763      0.0199678      0.0526441
        1.24828      0.0376991      0.0238838      0.0615829
        1.26338      0.0429639      0.0281027      0.0710665
        1.27848      0.0484305      0.0325954      0.0810259
        1.29359      0.0540554      0.0373259      0.0913813
        1.30869      0.0642787      0.0451071       0.109386
        1.32379      0.0782504      0.0554031       0.133653
        1.33889       0.092665      0.0660868       0.158752
        1.35399       0.107441      0.0770888        0.18453
        1.36909       0.122549       0.088366       0.210915
        1.38419       0.137963      0.0998948       0.237857
        1.39929        0.15368       0.111667       0.265347
        1.41439       0.143648       0.103957       0.247605
        1.42949       0.132505      0.0954458       0.227951
         1.4446       0.121539      0.0871082       0.208647
         1.4597       0.110762      0.0789553       0.189718
         1.4748       0.100198      0.0710013       0.171199
         1.4899      0.0898534      0.0632635       0.153117
          1.505      0.0830733      0.0582189       0.141292
         1.5201      0.0830733      0.0582189       0.141292
         1.5352      0.0830733      0.0582189       0.141292
         1.5503      0.0830733      0.0582189       0.141292
         1.5654      0.0830733      0.0582189       0.141292
        1.58051      0.0830733      0.0582189       0.141292
        1.59561      0.0830733      0.0582189       0.141292
        1.61071      0.0830733      0.0582189       0.141292
        1.62581      0.0830733      0.0582189       0.141292
        1.64091      0.0830733      0.0582189       0.141292
        1.65601      0.0830733      0.0582189       0.141292
        1.67111      0.0830733      0.0582189       0.141292
        1.68621      0.0830733      0.0582189       0.141292
        1.70131      0.0830733      0.0582189       0.141292
        1.71641      0.0830733      0.0582189       0.141292
        1.73152      0.0830733      0.0582189       0.141292
        1.74662      0.0830733      0.0582189       0.141292
        1.76172      0.0830733      0.0582189       0.141292
        1.77682      0.0830733      0.0582189       0.141292
        1.79192      0.0830733      0.0582189       0.141292
        1.80702      0.0830733      0.0582189       0.141292
        1.82212      0.0830733      0.0582189       0.141292
        1.83722      0.0830733      0.0582189       0.141292
        1.85232      0.0830733      0.0582189       0.141292
        1.86742      0.0830733      0.0582189       0.141292
        1.88253      0.0830733      0.0582189       0.141292
        1.89763      0.0830733      0.0582189       0.141292
        1.91273      0.0830733      0.0582189       0.141292
        1.92783      0.0830733      0.0582189       0.141292
        1.94293      0.0830733      0.0582189       0.141292
        1.95803      0.0830733      0.0582189       0.141292
        1.97313      0.0830733      0.0582189       0.141292
        1.98823      0.0830733      0.0582189       0.141292
        2.00333      0.0830733      0.0582189       0.141292
        2.01843      0.0830733      0.0582189       0.141292
        2.03354      0.0830733      0.0582189       0.141292
        2.04864      0.0830733      0.0582189       0.141292
        2.06374      0.0830733      0.0582189       0.141292
        2.07884      0.0830733      0.0582189       0.141292
        2.09394      0.0830733      0.0582189       0.141292
        2.10904      0.0830733      0.0582189       0.141292
        2.12414      0.0830733      0.0582189       0.141292
        2.13924      0.0830733      0.0582189       0.141292
        2.15434      0.0830733      0.0582189       0.141292
        2.16944      0.0830733      0.0582189       0.141292
        2.18455      0.0830733      0.0582189       0.141292
        2.19965      0.0830733      0.0582189       0.141292
        2.21475      0.0830733      0.0582189       0.141292
        2.22985      0.0830733      0.0582189       0.141292
        2.24495      0.0830733      0.0582189       0.141292
        2.26005      0.0830733      0.0582189       0.141292
        2.27515      0.0830733      0.0582189       0.141292
        2.29025      0.0830733      0.0582189       0.141292
        2.30535      0.0830733      0.0582189       0.141292
        2.32045      0.0830733      0.0582189       0.141292
        2.33556      0.0830733      0.0582189       0.141292
        2.35066      0.0830733      0.0582189       0.141292
        2.36576      0.0830733      0.0582189       0.141292
        2.38086      0.0830733      0.0582189       0.141292
        2.39596      0.0830733      0.0582189       0.141292
        2.41106      0.0830733      0.0582189       0.141292
        2.42616      0.0830733      0.0582189       0.141292
        2.44126      0.0830733      0.0582189       0.141292
        2.45636      0.0830733      0.0582189       0.141292
        2.47146      0.0830733      0.0582189       0.141292
        2.48657      0.0830733      0.0582189       0.141292
        2.50167      0.0830733      0.0582189       0.141292
        2.51677      0.0830733      0.0582189       0.141292
        2.53187      0.0830733      0.0582189       0.141292
        2.54697      0.0830733      0.0582189       0.141292
        2.56207      0.0830733      0.0582189       0.141292
        2.57717      0.0830733      0.0582189       0.141292
        2.59227      0.0830733      0.0582189       0.141292
        2.60737      0.0830733      0.0582189       0.141292
        2.62247      0.0830733      0.0582189       0.141292
        2.63758      0.0830733      0.0582189       0.141292
        2.65268      0.0830733      0.0582189       0.141292
        2.66778      0.0830733      0.0582189       0.141292
        2.68288      0.0830733      0.0582189       0.141292
        2.69798      0.0830733      0.0582189       0.141292
        2.71308      0.0830733      0.0582189       0.141292
        2.72818      0.0830733      0.0582189       0.141292
        2.74328      0.0830733      0.0582189       0.141292
        2.75838      0.0830733      0.0582189       0.141292
        2.77348      0.0830733      0.0582189       0.141292
        2.78859      0.0830733      0.0582189       0.141292
        2.80369      0.0830733      0.0582189       0.141292
        2.81879      0.0830733      0.0582189       0.141292
        2.83389      0.0830733      0.0582189       0.141292
        2.84899      0.0830733      0.0582189       0.141292
        2.86409      0.0830733      0.0582189       0.141292
        2.87919      0.0830733      0.0582189       0.141292
        2.89429      0.0830733      0.0582189       0.141292
        2.90939      0.0830733      0.0582189       0.141292
        2.92449      0.0830733      0.0582189       0.141292
         2.9396      0.0830733      0.0582189       0.141292
         2.9547      0.0830733      0.0582189       0.141292
         2.9698      0.0830733      0.0582189       0.141292
         2.9849      0.0830733      0.0582189       0.141292
            3.0      0.0830733      0.0582189       0.141292
