              t           Rate
         0.0001      0.0193255
         0.0049       0.013532
         0.0097      0.0125854
         0.0145      0.0120315
         0.0193       0.011641
         0.0241      0.0113398
         0.0289       0.011095
         0.0337      0.0108889
         0.0385      0.0107112
         0.0433       0.010555
         0.0481      0.0104159
         0.0529      0.0102904
         0.0577      0.0101763
         0.0625      0.0100716
         0.0673     0.00997501
         0.0721     0.00988532
         0.0769     0.00980165
         0.0817     0.00972326
         0.0865     0.00964954
         0.0913     0.00957998
         0.0961     0.00951415
         0.1009     0.00945167
         0.1057     0.00939223
         0.1105     0.00933556
         0.1153     0.00928141
         0.1201     0.00922958
         0.1249     0.00917988
         0.1297     0.00913216
         0.1345     0.00908625
         0.1393     0.00904204
         0.1441      0.0089994
         0.1489     0.00895824
         0.1537     0.00891845
         0.1585     0.00887995
         0.1633     0.00884266
         0.1681     0.00880652
         0.1729     0.00877144
         0.1777     0.00873738
         0.1825     0.00870429
         0.1873     0.00867209
         0.1921     0.00864077
         0.1969     0.00861025
         0.2017     0.00858052
         0.2065     0.00855153
         0.2113     0.00852324
         0.2161     0.00849563
         0.2209     0.00846866
         0.2257      0.0084423
         0.2305     0.00841654
         0.2353     0.00839133
         0.2401     0.00836667
         0.2449     0.00834253
         0.2497     0.00831993
         0.2545     0.00829675
         0.2593     0.00827403
         0.2641     0.00825175
         0.2689     0.00822991
         0.2737     0.00820847
         0.2785     0.00818743
         0.2833     0.00816677
         0.2881     0.00814648
         0.2929     0.00812655
         0.2977     0.00810697
         0.3025     0.00808772
         0.3073     0.00806879
         0.3121     0.00805017
         0.3169     0.00803186
         0.3217     0.00801385
         0.3265     0.00799611
         0.3313     0.00797866
         0.3361     0.00796147
         0.3409     0.00794454
         0.3457     0.00792787
         0.3505     0.00791144
         0.3553     0.00789525
         0.3601      0.0078793
         0.3649     0.00786357
         0.3697     0.00784806
         0.3745     0.00783276
         0.3793     0.00781767
         0.3841     0.00780279
         0.3889      0.0077881
         0.3937     0.00777361
         0.3985     0.00775931
         0.4033     0.00774518
         0.4081     0.00773124
         0.4129     0.00771747
         0.4177     0.00770388
         0.4225     0.00769045
         0.4273     0.00767718
         0.4321     0.00766407
         0.4369     0.00765112
         0.4417     0.00763832
         0.4465     0.00762567
         0.4513     0.00761316
         0.4561      0.0076008
         0.4609     0.00758857
         0.4657     0.00757648
         0.4705     0.00756453
         0.4753      0.0075527
         0.4801     0.00754101
         0.4849     0.00752943
         0.4897     0.00751798
         0.4945     0.00750665
         0.4993     0.00749544
         0.5041     0.00748435
         0.5089     0.00747336
         0.5137     0.00746249
         0.5185     0.00745173
         0.5233     0.00744107
         0.5281     0.00743052
         0.5329     0.00742007
         0.5377     0.00740973
         0.5425     0.00739948
         0.5473     0.00738933
         0.5521     0.00737927
         0.5569     0.00736931
         0.5617     0.00735944
         0.5665     0.00734966
         0.5713     0.00733997
         0.5761     0.00733037
         0.5809     0.00731675
         0.5857     0.00730732
         0.5905     0.00729797
         0.5953      0.0072887
         0.6001     0.00727951
         0.6049     0.00727041
         0.6097     0.00726138
         0.6145     0.00725242
         0.6193     0.00724354
         0.6241     0.00723474
         0.6289     0.00722601
         0.6337     0.00721735
         0.6385     0.00720876
         0.6433     0.00720024
         0.6481     0.00719179
         0.6529     0.00718341
         0.6577     0.00717509
         0.6625     0.00716684
         0.6673     0.00715865
         0.6721     0.00715053
         0.6769     0.00714246
         0.6817     0.00713447
         0.6865     0.00712653
         0.6913     0.00711865
         0.6961     0.00711083
         0.7009     0.00710307
         0.7057     0.00709536
         0.7105     0.00708667
         0.7153     0.00707908
         0.7201     0.00707154
         0.7249     0.00706406
         0.7297     0.00705663
         0.7345     0.00704925
         0.7393     0.00704193
         0.7441     0.00703466
         0.7489     0.00702744
         0.7537     0.00702026
         0.7585     0.00701314
         0.7633     0.00700607
         0.7681     0.00699904
         0.7729     0.00699206
         0.7777     0.00698513
         0.7825     0.00697825
         0.7873     0.00697141
         0.7921     0.00696461
         0.7969     0.00695786
         0.8017     0.00695116
         0.8065      0.0069445
         0.8113     0.00693788
         0.8161      0.0069313
         0.8209     0.00692476
         0.8257     0.00691827
         0.8305     0.00691182
         0.8353      0.0069054
         0.8401     0.00689903
         0.8449      0.0068927
         0.8497      0.0068864
         0.8545     0.00688015
         0.8593     0.00687393
         0.8641     0.00686775
         0.8689     0.00686161
         0.8737      0.0068555
         0.8785     0.00684943
         0.8833      0.0068434
         0.8881      0.0068374
         0.8929     0.00683144
         0.8977     0.00682551
         0.9025     0.00681562
         0.9073     0.00680976
         0.9121     0.00680393
         0.9169     0.00679814
         0.9217     0.00679238
         0.9265     0.00678665
         0.9313     0.00678096
         0.9361     0.00677529
         0.9409     0.00676966
         0.9457     0.00676406
         0.9505     0.00675849
         0.9553     0.00675295
         0.9601     0.00674744
