            EDP            DS1          E(DS)
            0.0            0.0            0.0
           0.01    7.36705e-16    7.36705e-16
           0.02    4.42984e-12    4.42984e-12
           0.03    3.92003e-10    3.92003e-10
           0.04    7.19584e-09    7.19584e-09
           0.05    5.89389e-08    5.89389e-08
           0.06    2.97417e-07    2.97417e-07
           0.07    1.09005e-06    1.09005e-06
           0.08    3.18957e-06    3.18957e-06
           0.09     7.9042e-06     7.9042e-06
            0.1    1.72513e-05    1.72513e-05
           0.11     3.4074e-05     3.4074e-05
           0.12    6.21107e-05    6.21107e-05
           0.13    0.000106014    0.000106014
           0.14    0.000171322    0.000171322
           0.15    0.000264391    0.000264391
           0.16    0.000392299    0.000392299
           0.17    0.000562723    0.000562723
           0.18    0.000783807    0.000783807
           0.19     0.00106402     0.00106402
            0.2     0.00141204     0.00141204
