           IM.1            DS1            DS2            DS3            DS4          E(DS)
           0.01    4.93097e-21    1.15916e-72    1.19829e-17    8.02357e-63    1.19878e-17
       0.025101    2.02647e-12    1.95905e-45    1.57527e-12    5.27377e-45    3.60174e-12
       0.040202    7.17765e-09    5.12873e-33    3.12826e-10    1.85335e-36    7.49048e-09
       0.055303    8.52085e-07    3.75152e-25    8.78469e-09    1.01967e-30     8.6087e-07
       0.070404    2.06427e-05    1.32441e-19    9.75917e-08     2.4001e-26    2.07403e-05
      0.0855051    0.000200766    1.62748e-15    6.34007e-07    8.13945e-23      0.0002014
       0.100606     0.00104622    1.61588e-12    2.80717e-06    5.83751e-20     0.00104903
       0.115707     0.00182373    7.84344e-12    4.78444e-06    2.85654e-19     0.00182851
       0.130808     0.00298675    3.25904e-11    7.76835e-06    1.19797e-18     0.00299452
       0.145909     0.00464083    1.18651e-10    1.21014e-05    4.58399e-18     0.00465293
        0.16101     0.00689439    3.85635e-10    1.81895e-05    1.55895e-17     0.00691258
       0.176111     0.00985549    1.13603e-09     2.6506e-05     4.8436e-17       0.009882
       0.191212       0.013623    3.07131e-09    3.75771e-05    1.38999e-16      0.0136605
       0.206313      0.0184504     1.1823e-08    5.31822e-05    6.31214e-16      0.0185036
       0.221414      0.0246656    7.06119e-08    7.66259e-05     5.5285e-15      0.0247423
       0.236515      0.0322058    3.49868e-07    0.000109386    4.39488e-14      0.0323155
       0.251616      0.0411196    1.45611e-06     0.00015462    3.14131e-13      0.0412757
       0.266717      0.0514009    5.16489e-06    0.000216288    2.00682e-12      0.0516224
       0.281818      0.0629942    1.58623e-05    0.000299278    1.14331e-11      0.0633093
       0.296919      0.0758021    4.28166e-05    0.000409609    5.80992e-11      0.0762545
        0.31202      0.0887603    9.15175e-05    0.000537579    2.07985e-10      0.0893894
       0.327121       0.102306    0.000176484    0.000692698    6.48964e-10       0.103175
       0.342222       0.116545    0.000320111    0.000883463    1.89087e-09       0.117749
       0.357323       0.131318    0.000549473     0.00111568    5.16329e-09       0.132983
       0.372424       0.146538    0.000898215     0.00139558    1.32617e-08       0.148832
       0.387525       0.162074     0.00140449      0.0017298    3.21512e-08       0.165208
       0.402626       0.179604     0.00229572     0.00220468    9.06984e-08       0.184105
       0.417727       0.205478     0.00497098      0.0032821    5.60994e-07       0.213731
       0.432828       0.230583     0.00929291     0.00475447    2.67223e-06       0.244633
       0.447929       0.254555       0.015489     0.00670481    1.01704e-05       0.276759
        0.46303        0.27717      0.0236046     0.00917272    3.19866e-05       0.309979
       0.478131       0.298292      0.0335203      0.0122904    8.56439e-05       0.344189
       0.493232       0.317931      0.0449954      0.0160198    0.000200109       0.379146
       0.508333       0.321279       0.046242      0.0164363    0.000212632        0.38417
       0.523434       0.311884      0.0387435      0.0139794    0.000122182       0.364729
       0.538535        0.30197       0.031757      0.0117793    6.61681e-05       0.345572
       0.553636       0.291543      0.0253761     0.00983216    3.35081e-05       0.326785
       0.568737       0.280555      0.0196794     0.00812921    1.57374e-05       0.308379
       0.583838       0.269027      0.0147334     0.00665818    6.79147e-06       0.290425
       0.598939       0.256971      0.0105804     0.00540156    2.66606e-06       0.272955
        0.61404       0.267294      0.0131492     0.00621275    4.71744e-06       0.286661
       0.629141       0.278984      0.0166701     0.00729236    8.95138e-06       0.302956
       0.644242       0.290299      0.0206827     0.00850717    1.62163e-05       0.319506
       0.659343       0.301228      0.0251732     0.00986421     2.8149e-05       0.336294
       0.674444       0.311765      0.0301191      0.0113696    4.69798e-05         0.3533
       0.689545       0.321885      0.0354911      0.0130283    7.56208e-05        0.37048
       0.704646       0.334709      0.0421595      0.0151383    0.000122679       0.392129
       0.719747        0.35364       0.051541      0.0181918    0.000209046       0.423582
       0.734848       0.371548      0.0616867      0.0215972    0.000340115       0.455172
       0.749949       0.388443      0.0720813      0.0253518    0.000530894       0.486407
       0.765051       0.404351      0.0838044      0.0294492    0.000798406       0.518403
       0.780152       0.419303      0.0955412      0.0338755     0.00116115       0.549881
       0.795253       0.433341       0.107579      0.0386236     0.00163852       0.581181
       0.810354       0.441381       0.112264      0.0404155     0.00179392       0.595854
       0.825455       0.446946       0.113504      0.0407541     0.00176181       0.602966
       0.840556       0.452523       0.114735      0.0410865     0.00172884       0.610073
       0.855657       0.458113       0.115956      0.0414127     0.00169508       0.617177
       0.870758       0.463716       0.117169      0.0417328      0.0016606       0.624278
       0.885859       0.469333       0.118373       0.042047     0.00162547       0.631378
        0.90096       0.474482       0.118872      0.0420701     0.00155741       0.636982
       0.916061       0.472475       0.109032      0.0379978     0.00108239       0.620587
       0.931162       0.470331      0.0990812      0.0341295    0.000725433       0.604267
       0.946263       0.468039      0.0890873       0.030485     0.00046634       0.588078
       0.961364       0.465588      0.0791159      0.0270766    0.000286927       0.572067
       0.976465       0.462966      0.0692578      0.0239156     0.00016757       0.556306
       0.991566       0.460159      0.0596243       0.021005     9.2387e-05       0.540881
        1.00667       0.468956      0.0634619      0.0221774    0.000106945       0.554702
        1.02177       0.490399      0.0855826      0.0290968    0.000294407       0.605373
        1.03687       0.508972       0.109086      0.0371509    0.000691281         0.6559
        1.05197       0.525051       0.133135      0.0462593     0.00142402       0.705869
        1.06707       0.538978       0.157068      0.0563298     0.00263393       0.755009
        1.08217       0.551002       0.180409      0.0672102     0.00445783       0.803079
        1.09727       0.561498        0.20284      0.0787486     0.00700987       0.850097
        1.11237       0.590187       0.226617      0.0894743     0.00883151        0.91511
        1.12747       0.620762       0.250703       0.100099      0.0105096       0.982074
        1.14258       0.649032       0.274565       0.110839      0.0123136        1.04675
        1.15768        0.67511       0.298387       0.121676      0.0142366        1.10941
        1.17278       0.699237       0.321353       0.132573       0.016272        1.16944
        1.18788       0.721619       0.344186       0.143505      0.0184134        1.22772
        1.20298       0.735927       0.357562       0.149419       0.019282        1.26219
        1.21808       0.722728       0.333077       0.134892      0.0149845        1.20568
        1.23318       0.707649       0.307376       0.120494      0.0113215        1.14684
        1.24828       0.690336        0.27965       0.106334     0.00828135         1.0846
        1.26338       0.670522       0.250928      0.0925374     0.00583521        1.01982
        1.27848        0.64767        0.22116        0.07925     0.00393687       0.952017
        1.29359       0.621478       0.190714      0.0666152     0.00252475       0.881332
        1.30869       0.635894       0.204142      0.0718578     0.00299506       0.914889
        1.32379       0.675687       0.249596      0.0910769      0.0053059        1.02167
        1.33889       0.708324       0.293257       0.111403     0.00861581         1.1216
        1.35399       0.735079       0.334287       0.132437      0.0130436        1.21485
        1.36909       0.757223       0.372262       0.153806        0.01865        1.30194
        1.38419       0.775622       0.407042       0.175225      0.0254394        1.38333
        1.39929       0.790987        0.43867       0.196444       0.033363        1.45946
        1.41439       0.792259        0.40725       0.168369      0.0201546        1.38803
        1.42949       0.791299       0.364724       0.137407     0.00994041        1.30337
         1.4446       0.787811       0.312252       0.107129     0.00386558        1.21106
         1.4597       0.780291       0.248869      0.0789997     0.00107319        1.10923
         1.4748       0.766068       0.176117      0.0545901    0.000185392        0.99696
         1.4899       0.742799       0.101632       0.035091    1.68152e-05       0.879539
          1.505       0.718528       0.058485       0.025064    2.17724e-06       0.802079
         1.5201       0.718528       0.058485       0.025064    2.17724e-06       0.802079
         1.5352       0.718528       0.058485       0.025064    2.17724e-06       0.802079
         1.5503       0.718528       0.058485       0.025064    2.17724e-06       0.802079
         1.5654       0.718528       0.058485       0.025064    2.17724e-06       0.802079
