              t           Rate
         0.0001      0.0472319
         0.0049      0.0334382
         0.0097      0.0313105
         0.0145      0.0301125
         0.0193      0.0292661
         0.0241      0.0286184
         0.0289      0.0280951
         0.0337      0.0276568
         0.0385      0.0272838
         0.0433      0.0269539
         0.0481      0.0266607
         0.0529      0.0264016
         0.0577      0.0261621
         0.0625      0.0259429
         0.0673      0.0257408
         0.0721      0.0255534
         0.0769      0.0253789
         0.0817      0.0252155
         0.0865      0.0250619
         0.0913      0.0249172
         0.0961      0.0247803
         0.1009      0.0246504
         0.1057       0.024527
         0.1105      0.0244093
         0.1153      0.0242963
         0.1201      0.0241887
         0.1249      0.0239228
         0.1297      0.0238247
         0.1345      0.0238914
         0.1393      0.0237997
         0.1441      0.0237114
         0.1489       0.023626
         0.1537      0.0235436
         0.1585       0.023465
         0.1633      0.0233878
         0.1681      0.0233129
         0.1729      0.0232403
         0.1777      0.0231698
         0.1825      0.0231013
         0.1873      0.0230346
         0.1921      0.0229698
         0.1969      0.0229066
         0.2017      0.0228451
         0.2065       0.022785
         0.2113      0.0227265
         0.2161      0.0226693
         0.2209      0.0226135
         0.2257      0.0225589
         0.2305      0.0225055
         0.2353      0.0224533
         0.2401      0.0224022
         0.2449      0.0223522
         0.2497      0.0223032
         0.2545      0.0222552
         0.2593      0.0222082
         0.2641       0.022162
         0.2689      0.0221168
         0.2737      0.0220723
         0.2785      0.0220287
         0.2833      0.0219859
         0.2881      0.0219439
         0.2929      0.0219025
         0.2977      0.0218619
         0.3025       0.021822
         0.3073      0.0217827
         0.3121      0.0217441
         0.3169      0.0217061
         0.3217      0.0216687
         0.3265      0.0216319
         0.3313      0.0215957
         0.3361        0.02156
         0.3409      0.0215248
         0.3457      0.0214902
         0.3505       0.021456
         0.3553      0.0214224
         0.3601      0.0213892
         0.3649      0.0213565
         0.3697      0.0213243
         0.3745      0.0212925
         0.3793      0.0212611
         0.3841      0.0212301
         0.3889      0.0211995
         0.3937      0.0211694
         0.3985      0.0211396
         0.4033      0.0211102
