           IM.1            DS1          E(DS)
           0.01    2.05541e-08    2.05541e-08
       0.025101    6.98271e-07    6.98271e-07
       0.040202    3.66767e-06    3.66767e-06
       0.055303    1.07539e-05    1.07539e-05
       0.070404    2.38056e-05    2.38056e-05
      0.0855051    4.47095e-05    4.47095e-05
       0.100606    7.48959e-05    7.48959e-05
       0.115707    9.66639e-05    9.66639e-05
       0.130808    0.000121735    0.000121735
       0.145909    0.000150319    0.000150319
        0.16101    0.000182386    0.000182386
       0.176111    0.000218052    0.000218052
       0.191212     0.00025734     0.00025734
       0.206313    0.000309004    0.000309004
       0.221414     0.00038011     0.00038011
       0.236515    0.000460197    0.000460197
       0.251616    0.000549745    0.000549745
       0.266717    0.000649381    0.000649381
       0.281818    0.000758333    0.000758333
       0.296919    0.000878195    0.000878195
        0.31202    0.000983328    0.000983328
       0.327121     0.00108862     0.00108862
       0.342222      0.0012002      0.0012002
       0.357323     0.00131817     0.00131817
       0.372424      0.0014426      0.0014426
       0.387525     0.00157364     0.00157364
       0.402626     0.00170823     0.00170823
       0.417727     0.00183294     0.00183294
       0.432828     0.00196165     0.00196165
       0.447929     0.00209296     0.00209296
        0.46303     0.00223067     0.00223067
       0.478131     0.00237088     0.00237088
       0.493232     0.00251481     0.00251481
       0.508333     0.00263954     0.00263954
       0.523434     0.00274781     0.00274781
       0.538535     0.00285769     0.00285769
       0.553636     0.00296917     0.00296917
       0.568737     0.00308222     0.00308222
       0.583838     0.00319681     0.00319681
       0.598939     0.00331293     0.00331293
        0.61404     0.00325205     0.00325205
       0.629141     0.00317845     0.00317845
       0.644242     0.00310561     0.00310561
       0.659343     0.00303352     0.00303352
       0.674444      0.0029622      0.0029622
       0.689545     0.00289163     0.00289163
       0.704646     0.00286506     0.00286506
       0.719747     0.00293643     0.00293643
       0.734848     0.00300842     0.00300842
       0.749949     0.00308106     0.00308106
       0.765051     0.00315433     0.00315433
       0.780152     0.00322823     0.00322823
       0.795253     0.00330277     0.00330277
       0.810354     0.00322432     0.00322432
       0.825455     0.00307266     0.00307266
       0.840556     0.00293605     0.00293605
