           IM.1            DS1            DS2          E(DS)
           0.01    6.18145e-20    2.35038e-26    6.18146e-20
       0.025101    1.07688e-11    1.53956e-16    1.07689e-11
       0.040202    2.92173e-08    3.22633e-12    2.92205e-08
       0.055303    3.02924e-06    1.51209e-09    3.03075e-06
       0.070404    6.60657e-05    1.10506e-07    6.61762e-05
      0.0855051     0.00057852    2.62323e-06    0.000581143
       0.100606     0.00272998    2.78524e-05     0.00275783
       0.115707     0.00539463    7.36369e-05     0.00546827
       0.130808     0.00957502    0.000169718     0.00974474
       0.145909      0.0156106    0.000350388       0.015961
        0.16101      0.0237704    0.000661385      0.0244318
       0.176111      0.0342142      0.0011592      0.0353734
       0.191212      0.0470176      0.0019093      0.0489269
       0.206313      0.0642167      0.0031431      0.0673598
       0.221414      0.0875574     0.00520772      0.0927651
       0.236515       0.114218     0.00811998       0.122338
       0.251616       0.143596      0.0120176       0.155614
       0.266717       0.175181      0.0170239       0.192204
       0.281818        0.20834      0.0232308       0.231571
       0.296919       0.242426      0.0306974       0.273124
        0.31202       0.272642      0.0378526       0.310494
       0.327121       0.301874      0.0454434       0.347317
       0.342222       0.331145      0.0538281       0.384973
       0.357323        0.36026      0.0629746       0.423234
       0.372424       0.389051      0.0728787        0.46193
       0.387525       0.417373      0.0835028       0.500876
       0.402626       0.444548      0.0943402       0.538888
       0.417727       0.468652       0.103438       0.572091
       0.432828       0.492474       0.112962       0.605436
       0.447929       0.515954       0.122934       0.638888
        0.46303       0.539039       0.133283       0.672322
       0.478131       0.561743       0.144035       0.705778
       0.493232       0.583845        0.15518       0.739026
       0.508333       0.592185       0.160308       0.752493
       0.523434       0.589627       0.160331       0.749958
       0.538535       0.587082       0.160365       0.747447
       0.553636       0.584551       0.160409       0.744959
       0.568737       0.582022       0.160463       0.742484
       0.583838       0.579521       0.160526       0.740047
       0.598939       0.577035       0.160598       0.737633
        0.61404       0.595336        0.17249       0.767826
       0.629141       0.614396       0.186781       0.801176
       0.644242        0.63264       0.200716       0.833356
       0.659343        0.65006       0.214849       0.864909
       0.674444       0.666684       0.229125       0.895809
       0.689545       0.681387       0.243531       0.924919
       0.704646       0.692403       0.251644       0.944047
       0.719747       0.690186       0.245407       0.935593
       0.734848       0.687846       0.239138       0.926984
       0.749949       0.685378       0.232845       0.918223
       0.765051       0.682944       0.226535       0.909479
       0.780152       0.680191       0.220217       0.900408
       0.795253       0.677243       0.213899       0.891142
       0.810354       0.681532       0.215101       0.896633
       0.825455       0.689101       0.219844       0.908945
       0.840556       0.696587       0.224601       0.921188
       0.855657       0.703986       0.229415       0.933402
       0.870758       0.711297       0.234287       0.945584
       0.885859       0.718516       0.239215       0.957731
        0.90096       0.726445       0.245105        0.97155
       0.916061       0.745574       0.264463        1.01004
       0.931162       0.763167       0.283968        1.04713
       0.946263       0.779735       0.303551        1.08329
       0.961364       0.795346       0.323141        1.11849
       0.976465         0.8097        0.34267        1.15237
       0.991566       0.823042       0.362091        1.18513
        1.00667       0.825715        0.36471        1.19042
        1.02177       0.815225        0.34599        1.16122
        1.03687       0.803829       0.326999        1.13083
        1.05197       0.791453       0.307781        1.09923
        1.06707       0.778024       0.288416        1.06644
        1.08217       0.763216        0.26899        1.03221
        1.09727       0.747705       0.249592       0.997297
        1.11237       0.740392       0.242244       0.982636
        1.12747       0.735036       0.237732       0.972768
        1.14258       0.729112       0.233244       0.962356
        1.15768       0.723631       0.228784       0.952415
        1.17278       0.718488       0.224354       0.942842
        1.18788       0.712821       0.219954       0.932775
        1.20298       0.712565       0.221388       0.933953
        1.21808        0.73301       0.246662       0.979672
        1.23318       0.751504       0.271918        1.02342
        1.24828       0.767835       0.296988        1.06482
        1.26338       0.782335       0.321654        1.10399
        1.27848       0.795195       0.345737        1.14093
        1.29359       0.806555       0.369087        1.17564
        1.30869       0.812981       0.371206        1.18419
        1.32379       0.816087       0.357631        1.17372
        1.33889       0.818407       0.343611        1.16202
        1.35399       0.819765       0.329311        1.14908
        1.36909       0.819982       0.315005        1.13499
        1.38419       0.818881       0.300991        1.11987
        1.39929       0.816399       0.287603          1.104
        1.41439       0.816913       0.291668        1.10858
        1.42949       0.817557        0.29624         1.1138
