           IM.1            DS1          E(DS)
           0.01    4.05321e-08    4.05321e-08
       0.025101    1.84578e-06    1.84578e-06
       0.040202    9.08698e-06    9.08698e-06
       0.055303    2.54887e-05    2.54887e-05
       0.070404     5.4512e-05     5.4512e-05
      0.0855051    9.95823e-05    9.95823e-05
       0.100606    0.000162735    0.000162735
       0.115707    0.000203152    0.000203152
       0.130808    0.000248635    0.000248635
       0.145909    0.000299237    0.000299237
        0.16101     0.00035498     0.00035498
       0.176111    0.000415904    0.000415904
       0.191212    0.000481928    0.000481928
       0.206313    0.000550614    0.000550614
       0.221414    0.000620767    0.000620767
       0.236515    0.000695873    0.000695873
       0.251616     0.00077609     0.00077609
       0.266717     0.00086109     0.00086109
       0.281818    0.000951443    0.000951443
       0.296919     0.00104703     0.00104703
        0.31202     0.00110376     0.00110376
       0.327121     0.00115119     0.00115119
       0.342222     0.00119923     0.00119923
       0.357323      0.0012482      0.0012482
       0.372424      0.0012981      0.0012981
       0.387525     0.00134894     0.00134894
       0.402626     0.00140191     0.00140191
       0.417727     0.00146157     0.00146157
       0.432828     0.00152244     0.00152244
       0.447929     0.00158451     0.00158451
        0.46303     0.00164778     0.00164778
       0.478131     0.00171222     0.00171222
       0.493232     0.00177787     0.00177787
       0.508333     0.00183235     0.00183235
       0.523434     0.00187804     0.00187804
       0.538535       0.001925       0.001925
       0.553636     0.00197326     0.00197326
       0.568737     0.00202279     0.00202279
       0.583838     0.00207375     0.00207375
       0.598939     0.00212628     0.00212628
        0.61404     0.00209769     0.00209769
       0.629141     0.00206417     0.00206417
       0.644242     0.00203182     0.00203182
       0.659343     0.00200047     0.00200047
       0.674444     0.00197016     0.00197016
       0.689545     0.00194088     0.00194088
       0.704646     0.00192194     0.00192194
       0.719747     0.00192442     0.00192442
       0.734848     0.00192697     0.00192697
       0.749949     0.00192959     0.00192959
       0.765051     0.00193227     0.00193227
       0.780152     0.00193503     0.00193503
       0.795253     0.00193785     0.00193785
       0.810354      0.0019648      0.0019648
       0.825455     0.00200348     0.00200348
       0.840556     0.00204302     0.00204302
       0.855657     0.00208363     0.00208363
       0.870758     0.00212498     0.00212498
       0.885859     0.00216807     0.00216807
        0.90096     0.00220687     0.00220687
       0.916061     0.00218534     0.00218534
       0.931162     0.00216419     0.00216419
       0.946263     0.00214346     0.00214346
       0.961364     0.00212374     0.00212374
       0.976465     0.00210464     0.00210464
       0.991566     0.00208505     0.00208505
        1.00667     0.00208664     0.00208664
        1.02177     0.00211431     0.00211431
        1.03687      0.0021423      0.0021423
        1.05197     0.00217046     0.00217046
        1.06707     0.00219884     0.00219884
        1.08217     0.00222746     0.00222746
        1.09727     0.00225527     0.00225527
        1.11237     0.00226511     0.00226511
        1.12747      0.0022708      0.0022708
        1.14258      0.0022765      0.0022765
        1.15768      0.0022822      0.0022822
        1.17278     0.00228896     0.00228896
        1.18788     0.00229487     0.00229487
        1.20298     0.00231784     0.00231784
        1.21808     0.00241188     0.00241188
        1.23318     0.00250793     0.00250793
        1.24828     0.00260545     0.00260545
        1.26338     0.00270486     0.00270486
        1.27848     0.00280597     0.00280597
        1.29359     0.00290789     0.00290789
        1.30869     0.00293214     0.00293214
        1.32379     0.00289916     0.00289916
        1.33889     0.00286579     0.00286579
        1.35399     0.00283279     0.00283279
        1.36909     0.00280006     0.00280006
        1.38419     0.00276763     0.00276763
        1.39929     0.00273543     0.00273543
        1.41439       0.002724       0.002724
        1.42949     0.00271099     0.00271099
         1.4446     0.00269816     0.00269816
         1.4597     0.00268554     0.00268554
         1.4748     0.00267312     0.00267312
         1.4899     0.00266088     0.00266088
          1.505     0.00265281     0.00265281
         1.5201     0.00265281     0.00265281
         1.5352     0.00265281     0.00265281
         1.5503     0.00265281     0.00265281
         1.5654     0.00265281     0.00265281
        1.58051     0.00265281     0.00265281
        1.59561     0.00265281     0.00265281
        1.61071     0.00265281     0.00265281
        1.62581     0.00265281     0.00265281
        1.64091     0.00265281     0.00265281
        1.65601     0.00265281     0.00265281
        1.67111     0.00265281     0.00265281
        1.68621     0.00265281     0.00265281
        1.70131     0.00265281     0.00265281
        1.71641     0.00265281     0.00265281
        1.73152     0.00265281     0.00265281
        1.74662     0.00265281     0.00265281
        1.76172     0.00265281     0.00265281
        1.77682     0.00265281     0.00265281
        1.79192     0.00265281     0.00265281
        1.80702     0.00265281     0.00265281
        1.82212     0.00265281     0.00265281
        1.83722     0.00265281     0.00265281
        1.85232     0.00265281     0.00265281
        1.86742     0.00265281     0.00265281
        1.88253     0.00265281     0.00265281
        1.89763     0.00265281     0.00265281
        1.91273     0.00265281     0.00265281
        1.92783     0.00265281     0.00265281
        1.94293     0.00265281     0.00265281
        1.95803     0.00265281     0.00265281
        1.97313     0.00265281     0.00265281
        1.98823     0.00265281     0.00265281
        2.00333     0.00265281     0.00265281
        2.01843     0.00265281     0.00265281
        2.03354     0.00265281     0.00265281
        2.04864     0.00265281     0.00265281
        2.06374     0.00265281     0.00265281
        2.07884     0.00265281     0.00265281
        2.09394     0.00265281     0.00265281
        2.10904     0.00265281     0.00265281
        2.12414     0.00265281     0.00265281
        2.13924     0.00265281     0.00265281
        2.15434     0.00265281     0.00265281
        2.16944     0.00265281     0.00265281
        2.18455     0.00265281     0.00265281
        2.19965     0.00265281     0.00265281
        2.21475     0.00265281     0.00265281
        2.22985     0.00265281     0.00265281
        2.24495     0.00265281     0.00265281
        2.26005     0.00265281     0.00265281
        2.27515     0.00265281     0.00265281
        2.29025     0.00265281     0.00265281
        2.30535     0.00265281     0.00265281
        2.32045     0.00265281     0.00265281
        2.33556     0.00265281     0.00265281
        2.35066     0.00265281     0.00265281
        2.36576     0.00265281     0.00265281
        2.38086     0.00265281     0.00265281
        2.39596     0.00265281     0.00265281
        2.41106     0.00265281     0.00265281
        2.42616     0.00265281     0.00265281
        2.44126     0.00265281     0.00265281
        2.45636     0.00265281     0.00265281
        2.47146     0.00265281     0.00265281
        2.48657     0.00265281     0.00265281
        2.50167     0.00265281     0.00265281
        2.51677     0.00265281     0.00265281
        2.53187     0.00265281     0.00265281
        2.54697     0.00265281     0.00265281
        2.56207     0.00265281     0.00265281
        2.57717     0.00265281     0.00265281
        2.59227     0.00265281     0.00265281
        2.60737     0.00265281     0.00265281
        2.62247     0.00265281     0.00265281
        2.63758     0.00265281     0.00265281
        2.65268     0.00265281     0.00265281
        2.66778     0.00265281     0.00265281
        2.68288     0.00265281     0.00265281
        2.69798     0.00265281     0.00265281
        2.71308     0.00265281     0.00265281
        2.72818     0.00265281     0.00265281
        2.74328     0.00265281     0.00265281
        2.75838     0.00265281     0.00265281
        2.77348     0.00265281     0.00265281
        2.78859     0.00265281     0.00265281
        2.80369     0.00265281     0.00265281
        2.81879     0.00265281     0.00265281
        2.83389     0.00265281     0.00265281
        2.84899     0.00265281     0.00265281
        2.86409     0.00265281     0.00265281
        2.87919     0.00265281     0.00265281
