              t           Rate
         0.0001       0.257712
         0.0049       0.165281
         0.0097       0.150249
         0.0145       0.141662
         0.0193       0.135665
         0.0241       0.131117
         0.0289       0.127452
         0.0337       0.124392
         0.0385       0.121755
         0.0433       0.119468
         0.0481       0.117439
         0.0529       0.115619
         0.0577       0.113898
         0.0625       0.112391
         0.0673       0.111006
         0.0721       0.109724
         0.0769       0.108532
         0.0817       0.107418
         0.0865       0.106373
         0.0913        0.10539
         0.0961       0.104462
         0.1009       0.103583
         0.1057       0.102749
         0.1105       0.101955
         0.1153       0.101198
         0.1201       0.100475
         0.1249      0.0997827
         0.1297      0.0991191
         0.1345      0.0984818
         0.1393       0.097869
         0.1441       0.097279
         0.1489      0.0967101
         0.1537       0.096161
         0.1585      0.0956305
         0.1633      0.0951173
         0.1681      0.0946205
         0.1729       0.094139
         0.1777       0.093672
         0.1825      0.0932187
         0.1873      0.0927783
         0.1921      0.0923502
         0.1969      0.0919337
         0.2017      0.0915282
         0.2065      0.0911332
         0.2113      0.0907483
         0.2161      0.0903728
         0.2209      0.0900064
         0.2257      0.0896447
         0.2305      0.0893376
         0.2353      0.0889953
         0.2401      0.0886607
         0.2449      0.0883334
         0.2497      0.0880131
         0.2545      0.0876996
         0.2593      0.0873925
         0.2641      0.0870917
         0.2689      0.0867748
         0.2737       0.086486
         0.2785      0.0862027
         0.2833      0.0859247
         0.2881       0.085652
         0.2929      0.0853842
         0.2977      0.0851213
         0.3025       0.084863
         0.3073      0.0846092
         0.3121      0.0843597
         0.3169      0.0841145
         0.3217      0.0838734
         0.3265      0.0836362
         0.3313      0.0834028
         0.3361      0.0831732
         0.3409      0.0829472
         0.3457      0.0827247
         0.3505      0.0825056
         0.3553      0.0822898
         0.3601      0.0820772
         0.3649      0.0818677
         0.3697      0.0816613
         0.3745      0.0814578
         0.3793      0.0812572
         0.3841      0.0810594
         0.3889      0.0808643
         0.3937      0.0806719
         0.3985       0.080482
         0.4033      0.0802947
         0.4081      0.0801099
         0.4129      0.0799274
         0.4177      0.0797473
         0.4225      0.0795695
         0.4273      0.0793939
         0.4321      0.0792205
         0.4369      0.0790492
         0.4417        0.07888
         0.4465      0.0787129
         0.4513      0.0785477
         0.4561      0.0783845
         0.4609      0.0782231
         0.4657      0.0780637
         0.4705       0.077906
         0.4753      0.0777501
         0.4801       0.077596
         0.4849      0.0774436
         0.4897      0.0772928
         0.4945      0.0771437
         0.4993      0.0769962
         0.5041      0.0768502
         0.5089      0.0767058
         0.5137      0.0765629
         0.5185      0.0764215
         0.5233      0.0762815
         0.5281       0.076143
         0.5329      0.0760058
         0.5377      0.0758701
         0.5425      0.0757356
         0.5473      0.0756025
         0.5521      0.0754707
         0.5569      0.0753401
         0.5617      0.0752108
         0.5665      0.0750828
         0.5713      0.0749559
         0.5761      0.0748302
         0.5809      0.0747057
         0.5857      0.0745823
         0.5905        0.07446
         0.5953      0.0743389
         0.6001      0.0742188
         0.6049      0.0740554
         0.6097      0.0739374
         0.6145      0.0738205
         0.6193      0.0737046
         0.6241      0.0735897
         0.6289      0.0734757
         0.6337      0.0733628
         0.6385      0.0732508
         0.6433      0.0731472
         0.6481       0.073037
         0.6529      0.0729278
         0.6577      0.0728194
         0.6625      0.0727119
         0.6673      0.0726053
         0.6721      0.0724995
         0.6769      0.0723946
         0.6817      0.0722905
         0.6865      0.0721872
         0.6913      0.0720847
         0.6961      0.0719831
         0.7009      0.0718821
         0.7057       0.071782
         0.7105      0.0716826
         0.7153       0.071584
         0.7201      0.0714861
         0.7249      0.0713889
         0.7297      0.0712925
         0.7345      0.0711967
         0.7393      0.0711017
         0.7441      0.0710073
         0.7489      0.0709136
         0.7537      0.0708206
         0.7585      0.0707283
         0.7633      0.0706366
         0.7681      0.0705455
         0.7729      0.0704551
         0.7777      0.0703653
         0.7825      0.0702761
         0.7873      0.0701875
         0.7921      0.0700996
         0.7969      0.0700122
         0.8017      0.0699254
         0.8065      0.0698392
         0.8113      0.0697535
         0.8161      0.0696685
         0.8209       0.069584
         0.8257         0.0695
         0.8305      0.0694166
         0.8353      0.0693337
         0.8401      0.0692514
         0.8449        0.06917
         0.8497      0.0690887
         0.8545      0.0690079
         0.8593      0.0689276
         0.8641      0.0688478
         0.8689      0.0687685
         0.8737      0.0686897
         0.8785      0.0686114
         0.8833      0.0685336
         0.8881      0.0684562
         0.8929      0.0683793
         0.8977      0.0683028
         0.9025      0.0682269
         0.9073      0.0681513
         0.9121      0.0680762
         0.9169      0.0680016
         0.9217      0.0679274
         0.9265      0.0678536
         0.9313      0.0677803
         0.9361      0.0677073
         0.9409      0.0676348
         0.9457      0.0675627
         0.9505      0.0674911
         0.9553      0.0674198
         0.9601      0.0673489
         0.9649      0.0672784
         0.9697      0.0672083
         0.9745      0.0671386
         0.9793      0.0670693
         0.9841      0.0670003
         0.9889      0.0669318
         0.9937      0.0668636
         0.9985      0.0667958
         1.0033      0.0667283
         1.0081      0.0666612
         1.0129      0.0665945
         1.0177      0.0665281
         1.0225       0.066462
         1.0273      0.0663964
         1.0321       0.066331
         1.0369       0.066266
         1.0417      0.0662013
         1.0465       0.066137
         1.0513       0.066073
         1.0561      0.0660093
         1.0609       0.065946
         1.0657      0.0658829
         1.0705      0.0658202
         1.0753      0.0657578
         1.0801      0.0656957
         1.0849      0.0656339
         1.0897      0.0655725
         1.0945      0.0655113
         1.0993      0.0654504
         1.1041      0.0653898
         1.1089      0.0653296
         1.1137      0.0652696
         1.1185      0.0652099
         1.1233      0.0651505
         1.1281      0.0650914
         1.1329      0.0650325
         1.1377      0.0649739
         1.1425      0.0649089
         1.1473      0.0648509
         1.1521      0.0647932
         1.1569      0.0647357
         1.1617      0.0646785
         1.1665      0.0646582
         1.1713      0.0646015
         1.1761      0.0645451
         1.1809      0.0644889
         1.1857      0.0644331
         1.1905      0.0643774
         1.1953       0.064322
         1.2001      0.0642669
