              t           Rate
         0.0001      0.0256617
         0.0049      0.0221089
         0.0097      0.0214307
         0.0145        0.02103
         0.0193       0.020744
         0.0241      0.0205212
         0.0289      0.0203385
         0.0337      0.0201867
         0.0385      0.0200521
         0.0433      0.0199332
         0.0481      0.0198279
         0.0529      0.0197311
         0.0577      0.0196427
         0.0625      0.0195612
         0.0673      0.0194857
         0.0721      0.0194153
         0.0769      0.0193493
         0.0817      0.0192873
         0.0865      0.0192287
         0.0913      0.0191733
         0.0961      0.0191206
         0.1009      0.0190705
         0.1057      0.0190318
         0.1105      0.0189861
         0.1153      0.0189422
         0.1201      0.0189001
         0.1249      0.0188596
         0.1297      0.0188207
         0.1345      0.0187831
         0.1393      0.0187468
         0.1441      0.0187117
         0.1489      0.0186777
         0.1537      0.0186448
         0.1585      0.0186129
         0.1633      0.0185819
         0.1681      0.0185518
         0.1729      0.0185336
         0.1777      0.0185068
         0.1825      0.0184791
         0.1873      0.0184521
         0.1921      0.0184257
         0.1969         0.0184
         0.2017      0.0183749
         0.2065      0.0183504
         0.2113      0.0183264
         0.2161       0.018303
         0.2209      0.0182801
         0.2257      0.0182576
         0.2305      0.0182356
         0.2353       0.018214
         0.2401      0.0181929
         0.2449      0.0181722
         0.2497      0.0181519
         0.2545      0.0181319
         0.2593      0.0181123
         0.2641      0.0180931
         0.2689      0.0180742
         0.2737      0.0180556
         0.2785      0.0180374
         0.2833      0.0180194
         0.2881      0.0180018
         0.2929      0.0179844
         0.2977      0.0179673
         0.3025      0.0179504
         0.3073      0.0179339
         0.3121      0.0179176
         0.3169      0.0179015
         0.3217      0.0178856
         0.3265        0.01787
         0.3313      0.0178546
         0.3361      0.0178394
         0.3409      0.0178245
         0.3457      0.0178097
         0.3505      0.0177951
         0.3553      0.0177808
         0.3601      0.0177666
         0.3649      0.0177526
         0.3697      0.0177388
         0.3745      0.0177251
         0.3793      0.0177095
         0.3841      0.0176962
         0.3889       0.017683
         0.3937      0.0176645
         0.3985      0.0176517
         0.4033       0.017639
         0.4081      0.0176265
         0.4129       0.017614
         0.4177      0.0176018
         0.4225      0.0175897
         0.4273      0.0175777
         0.4321      0.0175658
         0.4369      0.0175541
         0.4417      0.0175424
         0.4465      0.0175309
         0.4513      0.0175196
         0.4561      0.0175083
         0.4609      0.0174972
         0.4657      0.0174862
         0.4705      0.0174752
         0.4753      0.0174644
         0.4801      0.0174537
         0.4849      0.0174431
         0.4897      0.0174326
         0.4945      0.0174222
         0.4993      0.0174119
         0.5041      0.0174017
         0.5089      0.0173916
         0.5137      0.0173816
         0.5185      0.0173717
         0.5233      0.0173618
         0.5281      0.0173521
         0.5329      0.0173424
         0.5377      0.0173328
         0.5425      0.0173233
         0.5473      0.0173139
         0.5521      0.0173046
         0.5569      0.0172953
         0.5617      0.0172861
         0.5665       0.017277
         0.5713       0.017268
         0.5761       0.017259
         0.5809      0.0172501
         0.5857      0.0172413
         0.5905      0.0172326
         0.5953      0.0172239
         0.6001      0.0172153
         0.6049      0.0172067
         0.6097      0.0171983
         0.6145      0.0171898
         0.6193      0.0171815
         0.6241      0.0171732
         0.6289       0.017165
         0.6337      0.0171568
         0.6385      0.0171487
         0.6433      0.0171407
         0.6481      0.0171327
         0.6529      0.0171247
         0.6577      0.0171169
         0.6625      0.0171091
         0.6673      0.0171013
         0.6721      0.0170936
         0.6769      0.0170859
         0.6817      0.0170783
         0.6865      0.0170708
         0.6913      0.0170633
         0.6961      0.0170558
         0.7009      0.0170484
         0.7057      0.0170411
         0.7105      0.0170338
         0.7153      0.0170265
         0.7201      0.0170193
         0.7249      0.0170121
         0.7297       0.017005
         0.7345      0.0169979
         0.7393      0.0169909
         0.7441      0.0169839
         0.7489       0.016977
         0.7537      0.0169701
         0.7585      0.0169632
